"mat","dest","mean","sd"
"LDPE","Soil",0.000870178785462645,0.000298262054967522
"LDPE","Soil (MP)",0.00233862897093464,0.00133334080038839
"LDPE","Fresh water",3.2945616523928e-05,2.4509603061781e-05
"LDPE","Fresh water (MP)",2.0149385458465e-07,1.88752133853907e-07
"LDPE","Subsurface soil (MP)",5.94768123427451e-07,3.35392032858626e-07
"LDPE","Coastal and ocean water",0.00149765745961425,0.000971647422398165
"LDPE","Coastal and ocean water (MP)",0.000238270879196723,0.000101691195001213
"HDPE","Soil",0.000697777514429304,0.000335402409676386
"HDPE","Soil (MP)",9.3603332268245e-05,4.63947080318209e-05
"HDPE","Fresh water",3.80178341658829e-05,2.34108185242029e-05
"HDPE","Fresh water (MP)",2.6694888055187e-06,2.76791237303413e-06
"HDPE","Subsurface soil (MP)",9.37047250692469e-06,5.67772464197452e-06
"HDPE","Coastal and ocean water",0.001076130483846,0.000673424250073414
"HDPE","Coastal and ocean water (MP)",0.000175719806486673,7.08209524663399e-05
"PP","Soil",0.00112254784653171,0.000480057866841975
"PP","Soil (MP)",0.000278023444790881,0.00015516975691154
"PP","Fresh water",2.98719097825042e-05,1.86744863116639e-05
"PP","Fresh water (MP)",9.13774876709548e-06,8.87697671748433e-06
"PP","Subsurface soil (MP)",4.16922349032892e-05,2.95830013975552e-05
"PP","Coastal and ocean water",0.000127852934038052,4.17644282813606e-05
"PP","Coastal and ocean water (MP)",7.88442522521227e-05,3.48042630249073e-05
"PS","Soil",0.000531209639504272,0.00030092672552747
"PS","Soil (MP)",5.3068870583294e-05,2.81419390258421e-05
"PS","Fresh water",2.06639883833076e-05,1.65747949658937e-05
"PS","Fresh water (MP)",7.41020307821417e-07,6.69398205030644e-07
"PS","Subsurface soil (MP)",7.22233597890577e-07,8.08996055805782e-07
"PS","Coastal and ocean water",5.12103177953731e-06,3.52545382849302e-06
"PS","Coastal and ocean water (MP)",1.31280795502267e-05,1.33930796273762e-05
"EPS","Soil",0.000123500174054837,6.15785947097008e-05
"EPS","Soil (MP)",5.43595656257917e-05,1.83724576788823e-05
"EPS","Fresh water",8.11191741196708e-06,7.18580324959957e-06
"EPS","Fresh water (MP)",1.33130527520736e-06,7.78146970920388e-07
"EPS","Subsurface soil (MP)",1.85164359121733e-07,2.69812854930911e-07
"EPS","Coastal and ocean water",7.46016360832618e-05,5.84990606756903e-05
"EPS","Coastal and ocean water (MP)",4.05419111192373e-05,1.75244240112917e-05
"PVC","Soil",0.000261476267014251,0.000140097183201027
"PVC","Soil (MP)",0.000217569511741616,0.000101259790834402
"PVC","Fresh water",3.50526808253042e-06,4.00125110424575e-06
"PVC","Fresh water (MP)",3.19356905949675e-05,2.09322962579613e-05
"PVC","Subsurface soil (MP)",1.34445007308583e-05,1.11983678204734e-05
"PVC","Coastal and ocean water",1.04017718615068e-06,9.46426020524354e-07
"PVC","Coastal and ocean water (MP)",8.17489097643437e-05,5.33178470421366e-05
"PET","Soil",0.00298922023979072,0.00177472114369386
"PET","Soil (MP)",0.000339492650008571,0.00023647522702472
"PET","Fresh water",8.04593384533271e-05,6.2373273642261e-05
"PET","Fresh water (MP)",7.6078465642275e-05,7.46145897588947e-05
"PET","Subsurface soil (MP)",0.000176007177696243,0.000126029455802124
"PET","Coastal and ocean water",1.92223204028731e-05,1.46144044111308e-05
"PET","Coastal and ocean water (MP)",0.000207909003651038,0.000205617148958295
