"mat","dest","mean","sd"
"LDPE","Soil",0.00134006710745282,0.000445603667154677
"LDPE","Soil (MP)",0.00227810493066582,0.00133166182642232
"LDPE","Fresh water",3.31160914515866e-06,1.39214724623388e-06
"LDPE","Fresh water (MP)",3.62713909970072e-06,1.74606648930359e-06
"LDPE","Subsurface soil (MP)",6.61351755277819e-07,3.79610519292276e-07
"LDPE","Coastal and ocean water",0.000635547793254299,0.000416917338245257
"LDPE","Coastal and ocean water (MP)",0.000100285817861313,4.31012331712162e-05
"HDPE","Soil",0.00133185526801702,0.000511822464944309
"HDPE","Soil (MP)",6.54362066289313e-05,3.9263162808708e-05
"HDPE","Fresh water",1.13249358392562e-05,1.09385667735585e-05
"HDPE","Fresh water (MP)",4.69381843818324e-06,2.30600232989252e-06
"HDPE","Subsurface soil (MP)",1.10094734373196e-05,6.4548961187083e-06
"HDPE","Coastal and ocean water",0.000456024382080434,0.000289889582702011
"HDPE","Coastal and ocean water (MP)",7.61479531929154e-05,3.14559984149162e-05
"PP","Soil",0.00169513262270613,0.00060941421355267
"PP","Soil (MP)",0.000263355524079995,0.000163510139069016
"PP","Fresh water",8.31833243373407e-06,7.19155249277971e-06
"PP","Fresh water (MP)",9.75380078872144e-06,6.51340398481554e-06
"PP","Subsurface soil (MP)",4.73113977985654e-05,3.153216703922e-05
"PP","Coastal and ocean water",5.82518289075847e-05,1.81598490979421e-05
"PP","Coastal and ocean water (MP)",4.34596775401704e-05,2.29679819403524e-05
"PS","Soil",0.00118220693071023,0.0005031337317851
"PS","Soil (MP)",2.26166774357547e-05,1.72909990191421e-05
"PS","Fresh water",1.56588048944158e-06,9.20657144217644e-07
"PS","Fresh water (MP)",2.27697109856598e-06,2.51786324826828e-06
"PS","Subsurface soil (MP)",9.21932944303351e-07,9.86222452426477e-07
"PS","Coastal and ocean water",7.68066206088237e-06,6.24872768697556e-06
"PS","Coastal and ocean water (MP)",9.39403197645602e-06,1.02880717686538e-05
"EPS","Soil",0.000213497833376066,0.00011887004827432
"EPS","Soil (MP)",5.6096139209046e-05,1.81009195697275e-05
"EPS","Fresh water",7.79528662159279e-06,5.93262466269999e-06
"EPS","Fresh water (MP)",6.62068341977342e-06,4.01451739718177e-06
"EPS","Subsurface soil (MP)",2.38257009023583e-07,3.20695447403067e-07
"EPS","Coastal and ocean water",3.51868469824129e-05,2.71354910401808e-05
"EPS","Coastal and ocean water (MP)",2.88514324868164e-05,1.49961542344049e-05
"PVC","Soil",0.000459939434279975,0.000237046521924787
"PVC","Soil (MP)",0.000258490084837892,0.000120165483372147
"PVC","Fresh water",3.59139456441563e-07,2.79522771660954e-07
"PVC","Fresh water (MP)",1.70959248052784e-05,1.13682571523973e-05
"PVC","Subsurface soil (MP)",1.67128589760111e-05,1.29314535677438e-05
"PVC","Coastal and ocean water",1.75037793197954e-06,1.5324980878367e-06
"PVC","Coastal and ocean water (MP)",6.41939294184666e-05,4.44385855292258e-05
"PET","Soil",0.00394670482670287,0.00202421021444362
"PET","Soil (MP)",0.000685637288121586,0.00036673665645443
"PET","Fresh water",1.50133959229697e-05,1.20449639086892e-05
"PET","Fresh water (MP)",6.7125701544354e-05,4.65950976660228e-05
"PET","Subsurface soil (MP)",0.000212404896132483,0.000137328212527518
"PET","Coastal and ocean water",2.71170002038422e-05,2.54357850823388e-05
"PET","Coastal and ocean water (MP)",0.000162547299073472,0.000155137372922299
