"mat","dest","mean","sd"
"LDPE","Soil",0.00218275685854743,0.00086469826597379
"LDPE","Soil (MP)",0.00232605979394783,0.00138147044800678
"LDPE","Fresh water",4.81794950808702e-05,4.3761829481101e-05
"LDPE","Fresh water (MP)",3.10812270711096e-07,1.81091429384255e-07
"LDPE","Subsurface soil (MP)",6.38639503820778e-07,3.58175649564253e-07
"LDPE","Coastal and ocean water",0.000553944898745444,0.00033444603334385
"LDPE","Coastal and ocean water (MP)",2.20765909733615e-05,9.86239105004477e-06
"HDPE","Soil",0.00191912805153026,0.000927976199237321
"HDPE","Soil (MP)",4.48419612263307e-05,3.46531165215229e-05
"HDPE","Fresh water",5.16998102704414e-05,3.71614773801718e-05
"HDPE","Fresh water (MP)",1.67993195907744e-06,1.16100314630789e-06
"HDPE","Subsurface soil (MP)",9.83377996878877e-06,5.99611695890493e-06
"HDPE","Coastal and ocean water",0.000408428933029048,0.000241726370355745
"HDPE","Coastal and ocean water (MP)",1.95753793533631e-05,9.00162166601709e-06
"PP","Soil",0.00292954630403276,0.00126183647703461
"PP","Soil (MP)",0.000216217475718028,0.00015276108342496
"PP","Fresh water",3.3484073364157e-05,2.16629148650966e-05
"PP","Fresh water (MP)",5.55828605237853e-06,3.58203549417531e-06
"PP","Subsurface soil (MP)",4.45478468681631e-05,3.05995555250523e-05
"PP","Coastal and ocean water",0.000217620029656104,0.000134759094812836
"PP","Coastal and ocean water (MP)",2.81732100224691e-05,2.2644085735239e-05
"PS","Soil",0.00167943920440933,0.00085596507150641
"PS","Soil (MP)",2.03180889621884e-05,1.77243296742737e-05
"PS","Fresh water",2.58444080957441e-05,2.4533920996202e-05
"PS","Fresh water (MP)",5.69977730802126e-07,4.98525682180601e-07
"PS","Subsurface soil (MP)",8.27005864900096e-07,9.03967412708461e-07
"PS","Coastal and ocean water",0.000236671858874362,0.00018084073761492
"PS","Coastal and ocean water (MP)",1.02309664347442e-05,1.09994712004516e-05
"EPS","Soil",0.00123441466775539,0.0007364978051661
"EPS","Soil (MP)",5.79136439696328e-05,1.88609886103038e-05
"EPS","Fresh water",2.99045861992618e-05,1.99967442465253e-05
"EPS","Fresh water (MP)",1.26990931150559e-06,7.80375549106387e-07
"EPS","Subsurface soil (MP)",2.06471198916574e-07,2.89392071297633e-07
"EPS","Coastal and ocean water",0.000626204529410305,0.000430458427714285
"EPS","Coastal and ocean water (MP)",3.15102211638444e-05,1.56752117846121e-05
"PVC","Soil",0.00088229478229636,0.000419216487973732
"PVC","Soil (MP)",0.000220462072885669,0.000104925561594998
"PVC","Fresh water",2.30269146165669e-06,2.60602508369435e-06
"PVC","Fresh water (MP)",9.49243767753973e-06,5.72688459408085e-06
"PVC","Subsurface soil (MP)",1.46778417578531e-05,1.14064626480915e-05
"PVC","Coastal and ocean water",2.16672245802553e-05,2.03878989377984e-05
"PVC","Coastal and ocean water (MP)",9.62264945241989e-05,5.55147360866062e-05
"PET","Soil",0.00815694263867194,0.00456157933148923
"PET","Soil (MP)",0.000335237764968355,0.000268785590738554
"PET","Fresh water",6.86865205533051e-05,4.93056304809239e-05
"PET","Fresh water (MP)",4.40350164496644e-05,2.81529929195418e-05
"PET","Subsurface soil (MP)",0.000195244838186541,0.000131134580689434
"PET","Coastal and ocean water",0.000486088715301064,0.000353796502329063
"PET","Coastal and ocean water (MP)",0.000162494223034053,0.000166605727578171
