"mat","dest","mean","sd"
"LDPE","Soil",0.00132803556624268,0.00046804328995466
"LDPE","Soil (MP)",0.0023630285958355,0.00140498102760208
"LDPE","Fresh water",0.0001127573922657,8.39187913323494e-05
"LDPE","Fresh water (MP)",1.16421368535907e-07,1.32004726853049e-07
"LDPE","Subsurface soil (MP)",6.49227216348817e-07,3.65174964000566e-07
"LDPE","Coastal and ocean water",0.000260860349538172,0.000166819606017528
"LDPE","Coastal and ocean water (MP)",3.99371643105857e-05,1.77461391457155e-05
"HDPE","Soil",0.00118474480705187,0.000570459248943344
"HDPE","Soil (MP)",6.96980110055348e-05,3.90119184536966e-05
"HDPE","Fresh water",8.89796025819951e-05,6.34639776928196e-05
"HDPE","Fresh water (MP)",5.87147497771882e-07,9.31860224481352e-07
"HDPE","Subsurface soil (MP)",1.07304917485823e-05,6.33413183968893e-06
"HDPE","Coastal and ocean water",0.000201466009903254,0.000121548289412321
"HDPE","Coastal and ocean water (MP)",3.11216890563522e-05,1.28721899488567e-05
"PP","Soil",0.00179407138469599,0.000755522646534055
"PP","Soil (MP)",0.000265108913804758,0.000160897045877515
"PP","Fresh water",6.5868118240704e-05,4.63660518649322e-05
"PP","Fresh water (MP)",2.14797808700228e-06,3.24289326016713e-06
"PP","Subsurface soil (MP)",4.77760004952438e-05,3.27635242116353e-05
"PP","Coastal and ocean water",3.49727380358424e-05,1.16690280102834e-05
"PP","Coastal and ocean water (MP)",1.79025858115655e-05,8.90497062474427e-06
"PS","Soil",0.00106404516637125,0.000527080040440611
"PS","Soil (MP)",4.14461901675171e-05,2.55075845829357e-05
"PS","Fresh water",6.64539954735504e-05,5.00918805651827e-05
"PS","Fresh water (MP)",4.04554952553398e-07,4.6656043912894e-07
"PS","Subsurface soil (MP)",8.96972400395216e-07,9.42521982061262e-07
"PS","Coastal and ocean water",6.25771376572782e-06,3.90767470756301e-06
"PS","Coastal and ocean water (MP)",1.87369017361382e-06,2.04450907407615e-06
"EPS","Soil",0.000409854647540093,0.000226443915540545
"EPS","Soil (MP)",8.68524543130781e-05,1.83328834284211e-05
"EPS","Fresh water",2.61582107013027e-05,2.62925243681284e-05
"EPS","Fresh water (MP)",1.12998303924568e-06,7.27282018987962e-07
"EPS","Subsurface soil (MP)",2.34829365505943e-07,3.17810943329106e-07
"EPS","Coastal and ocean water",1.70985908719762e-05,1.23956150526562e-05
"EPS","Coastal and ocean water (MP)",5.2383392793936e-06,3.57157066739213e-06
"PVC","Soil",0.000466677192805985,0.000247497628570169
"PVC","Soil (MP)",0.000279624064499763,0.00012554317904993
"PVC","Fresh water",9.23524738640727e-06,9.39404113716094e-06
"PVC","Fresh water (MP)",4.218883939565e-05,2.83192540694442e-05
"PVC","Subsurface soil (MP)",1.62912981588342e-05,1.28271519811749e-05
"PVC","Coastal and ocean water",1.22890343500593e-06,1.01017803718786e-06
"PVC","Coastal and ocean water (MP)",1.47505392163129e-05,1.06812438950649e-05
"PET","Soil",0.00498320802575898,0.00277914142851602
"PET","Soil (MP)",0.000484017191708118,0.000354953321180444
"PET","Fresh water",0.00018246043342637,0.000147842935355847
"PET","Fresh water (MP)",1.60623772611144e-05,2.46925525404962e-05
"PET","Subsurface soil (MP)",0.000211692944729691,0.000139342703202963
"PET","Coastal and ocean water",3.34076149542272e-05,1.89466272277403e-05
"PET","Coastal and ocean water (MP)",7.49317736895691e-05,5.77057011156319e-05
