"mat","dest","mean","sd"
"LDPE","Soil",0.00154560783832273,0.000230941198237671
"LDPE","Soil (MP)",0.00221627842233267,0.000373221479449886
"LDPE","Fresh water",5.88437608657243e-05,1.43713627059599e-05
"LDPE","Fresh water (MP)",5.03717427783255e-07,1.02194676050419e-07
"LDPE","Subsurface soil (MP)",5.96951191581057e-07,1.00703578226778e-07
"LDPE","Coastal and ocean water",0.000211566261484634,4.58202610541179e-05
"LDPE","Coastal and ocean water (MP)",2.83337906249715e-05,4.07431998672012e-06
"HDPE","Soil",0.00144162804131632,0.000246614094586183
"HDPE","Soil (MP)",7.81949728390069e-05,1.23675339799366e-05
"HDPE","Fresh water",5.34633256110119e-05,1.11364364554679e-05
"HDPE","Fresh water (MP)",1.85479621100158e-06,4.86757010448918e-07
"HDPE","Subsurface soil (MP)",9.62175796338435e-06,1.73399202444351e-06
"HDPE","Coastal and ocean water",0.000158511753645121,3.29904275447926e-05
"HDPE","Coastal and ocean water (MP)",2.19950523733106e-05,2.96216676570922e-06
"PP","Soil",0.00204131270148194,0.00030679334326505
"PP","Soil (MP)",0.000279020776317046,5.49951336964728e-05
"PP","Fresh water",4.03836765605453e-05,8.2982507958923e-06
"PP","Fresh water (MP)",6.19010643838201e-06,1.8887829214802e-06
"PP","Subsurface soil (MP)",4.29136700052546e-05,9.32966889767237e-06
"PP","Coastal and ocean water",3.71185755146482e-05,7.74486381291517e-06
"PP","Coastal and ocean water (MP)",1.38203826003084e-05,3.50558927176095e-06
"PS","Soil",0.00126220890369722,0.000241353439401293
"PS","Soil (MP)",4.56259834260353e-05,8.74767921360046e-06
"PS","Fresh water",3.47095635373532e-05,8.23474662524018e-06
"PS","Fresh water (MP)",1.12017832146292e-06,3.37863395183654e-07
"PS","Subsurface soil (MP)",8.07318561342744e-07,2.7327817094913e-07
"PS","Coastal and ocean water",2.04486014920431e-05,8.42729104205054e-06
"PS","Coastal and ocean water (MP)",2.55585510593927e-06,1.08377188199978e-06
"EPS","Soil",0.000495558071940538,0.000102278187041858
"EPS","Soil (MP)",8.37253931366541e-05,5.89274882809691e-06
"EPS","Fresh water",1.93203505058635e-05,4.02798685923336e-06
"EPS","Fresh water (MP)",3.03631448542462e-06,5.92264095411121e-07
"EPS","Subsurface soil (MP)",1.76531716959095e-07,6.49301836437817e-08
"EPS","Coastal and ocean water",4.02480061147096e-05,1.44037012314396e-05
"EPS","Coastal and ocean water (MP)",7.68177013019311e-06,1.93796652810394e-06
"PVC","Soil",0.000511467228289672,8.9403389973958e-05
"PVC","Soil (MP)",0.000277281981773234,3.80608326893489e-05
"PVC","Fresh water",4.7279076298732e-06,1.42908444956515e-06
"PVC","Fresh water (MP)",2.56835787384941e-05,5.26912219865375e-06
"PVC","Subsurface soil (MP)",1.4272085954597e-05,3.38063897731345e-06
"PVC","Coastal and ocean water",2.56721867581056e-06,1.12452719872364e-06
"PVC","Coastal and ocean water (MP)",2.23602297047952e-05,5.46558188858672e-06
"PET","Soil",0.00538199338184924,0.00109914110369992
"PET","Soil (MP)",0.00058487044978044,0.000223184547756153
"PET","Fresh water",0.000105093128617957,2.78493916821084e-05
"PET","Fresh water (MP)",4.56715425129551e-05,1.44529950972036e-05
"PET","Subsurface soil (MP)",0.000181923094538364,3.92532108349836e-05
"PET","Coastal and ocean water",5.67985215342165e-05,2.35823276226507e-05
"PET","Coastal and ocean water (MP)",5.55787372089618e-05,2.48785042951021e-05
