"mat","dest","mean","sd"
"LDPE","Soil",0.000700705114599799,0.000251006397834328
"LDPE","Soil (MP)",0.00233718401922266,0.00135155442333522
"LDPE","Fresh water",4.08588152738889e-05,2.91014748527028e-05
"LDPE","Fresh water (MP)",9.38611460956546e-06,4.59862907166374e-06
"LDPE","Subsurface soil (MP)",6.1374552073759e-07,3.5065426834657e-07
"LDPE","Coastal and ocean water",0.000362815685470853,0.000237170186605235
"LDPE","Coastal and ocean water (MP)",5.67402276202972e-05,2.58152917302564e-05
"HDPE","Soil",0.000953177017721539,0.000530384546180603
"HDPE","Soil (MP)",9.09123083357553e-05,4.40295548727032e-05
"HDPE","Fresh water",4.93056236292363e-05,2.85249208465372e-05
"HDPE","Fresh water (MP)",1.04509057079868e-05,5.37338278123029e-06
"HDPE","Subsurface soil (MP)",9.23225502074577e-06,5.60543391463927e-06
"HDPE","Coastal and ocean water",0.00025885568248495,0.000166766081564747
"HDPE","Coastal and ocean water (MP)",4.05847405583147e-05,1.71149413386597e-05
"PP","Soil",0.00116178173945622,0.000502464025016493
"PP","Soil (MP)",0.000335569581358814,0.000176271415024956
"PP","Fresh water",4.03761244539661e-05,2.56433207778989e-05
"PP","Fresh water (MP)",2.05985204331029e-05,1.57579697579508e-05
"PP","Subsurface soil (MP)",4.19134400647024e-05,2.99122699179022e-05
"PP","Coastal and ocean water",3.09107398605396e-05,1.01378120096315e-05
"PP","Coastal and ocean water (MP)",1.31884300740733e-05,5.04916465757604e-06
"PS","Soil",0.000417938199261396,0.000251104797069226
"PS","Soil (MP)",4.05368487896241e-05,2.25461180857596e-05
"PS","Fresh water",2.67676693045876e-05,2.08542611552363e-05
"PS","Fresh water (MP)",6.15603296174572e-06,6.72657614558268e-06
"PS","Subsurface soil (MP)",7.20766928698564e-07,8.29780951596931e-07
"PS","Coastal and ocean water",2.06981769283792e-06,1.43878502293765e-06
"PS","Coastal and ocean water (MP)",8.027078221964e-07,1.05243947455341e-06
"EPS","Soil",0.000102067080776003,6.03604946602362e-05
"EPS","Soil (MP)",7.29448826743451e-05,1.84867357414495e-05
"EPS","Fresh water",2.24253510865513e-05,1.42490417086497e-05
"EPS","Fresh water (MP)",1.82604859724534e-05,1.05835462598138e-05
"EPS","Subsurface soil (MP)",1.83930580754849e-07,2.55817142021235e-07
"EPS","Coastal and ocean water",2.37167309539334e-06,1.59902568687197e-06
"EPS","Coastal and ocean water (MP)",2.45335845307977e-06,1.80602045380159e-06
"PVC","Soil",0.000209757649964796,0.000126953016754914
"PVC","Soil (MP)",0.000306950805379808,0.000136041806909596
"PVC","Fresh water",4.98537907102994e-06,5.45569738148093e-06
"PVC","Fresh water (MP)",8.36360114745306e-05,4.80853020454138e-05
"PVC","Subsurface soil (MP)",1.30959462136497e-05,1.08052625222517e-05
"PVC","Coastal and ocean water",4.34552597704637e-07,4.09033547545171e-07
"PVC","Coastal and ocean water (MP)",4.93621640694358e-06,4.55241691421759e-06
"PET","Soil",0.00287066358561192,0.00155694627985749
"PET","Soil (MP)",0.00110708955131023,0.000535406645886269
"PET","Fresh water",0.000113820918821754,8.49013395604566e-05
"PET","Fresh water (MP)",0.000134338009724937,0.000107698097544574
"PET","Subsurface soil (MP)",0.000175022436248747,0.000124662099784802
"PET","Coastal and ocean water",8.07856061355139e-06,6.16883490821653e-06
"PET","Coastal and ocean water (MP)",1.20330243144547e-05,1.43047206814068e-05
