"mat","dest","mean","sd"
"LDPE","Soil",0.00129434812358612,0.00049433148400395
"LDPE","Soil (MP)",0.00237045938032619,0.00141282299617825
"LDPE","Fresh water",3.3251263857146e-05,2.53631212339382e-05
"LDPE","Fresh water (MP)",1.76873272111041e-07,1.7209036414612e-07
"LDPE","Subsurface soil (MP)",6.10710508257268e-07,3.44925024393364e-07
"LDPE","Coastal and ocean water",0.000202259952372815,9.82070094156399e-05
"LDPE","Coastal and ocean water (MP)",1.75120559502587e-05,8.04076454693283e-06
"HDPE","Soil",0.00142626496870643,0.000691878429792101
"HDPE","Soil (MP)",9.41311856353546e-05,4.46285200859214e-05
"HDPE","Fresh water",2.99865444845446e-05,1.99946527438685e-05
"HDPE","Fresh water (MP)",9.35175925598644e-07,9.57721019687585e-07
"HDPE","Subsurface soil (MP)",9.29942750955799e-06,5.76071120540534e-06
"HDPE","Coastal and ocean water",0.000158155233816635,7.20121964656051e-05
"HDPE","Coastal and ocean water (MP)",1.40584612127486e-05,5.85095396986285e-06
"PP","Soil",0.00199642729990908,0.000881606826692798
"PP","Soil (MP)",0.000332427059878452,0.000172541002568361
"PP","Fresh water",2.09353211748543e-05,1.33547202890722e-05
"PP","Fresh water (MP)",3.28531930984051e-06,2.89203038100181e-06
"PP","Subsurface soil (MP)",4.26536066193942e-05,3.07282377327988e-05
"PP","Coastal and ocean water",6.52761025395125e-05,3.62102090894467e-05
"PP","Coastal and ocean water (MP)",1.00193777454677e-05,5.50629569653078e-06
"PS","Soil",0.000954669270858426,0.00054833598819238
"PS","Soil (MP)",4.9445493774811e-05,2.73246636221986e-05
"PS","Fresh water",1.82269128086754e-05,1.43157923202868e-05
"PS","Fresh water (MP)",5.81180670211723e-07,6.32316990020076e-07
"PS","Subsurface soil (MP)",7.15122275056379e-07,8.01049884095162e-07
"PS","Coastal and ocean water",5.2302932331631e-05,4.06007264308783e-05
"PS","Coastal and ocean water (MP)",1.4540265682369e-06,1.72744995974777e-06
"EPS","Soil",0.000494022457155717,0.000294791936138301
"EPS","Soil (MP)",8.84629831673553e-05,1.83955658621283e-05
"EPS","Fresh water",1.28739277510154e-05,8.89041995923904e-06
"EPS","Fresh water (MP)",1.51948996175296e-06,9.54759560423624e-07
"EPS","Subsurface soil (MP)",1.82907541383896e-07,2.83552012363052e-07
"EPS","Coastal and ocean water",3.4962143153546e-05,2.40832098425542e-05
"EPS","Coastal and ocean water (MP)",4.01013876222035e-06,2.70807876956768e-06
"PVC","Soil",0.00045321592225884,0.000249294833863831
"PVC","Soil (MP)",0.000327713339592575,0.000143777540937116
"PVC","Fresh water",2.25305533556587e-06,2.39817448835346e-06
"PVC","Fresh water (MP)",1.08493049127523e-05,7.39005334635696e-06
"PVC","Subsurface soil (MP)",1.34656985817004e-05,1.13751298844247e-05
"PVC","Coastal and ocean water",6.28915965958543e-06,6.60789979026957e-06
"PVC","Coastal and ocean water (MP)",3.55350625233427e-05,2.20061294546821e-05
"PET","Soil",0.00550568107959667,0.00324331044888098
"PET","Soil (MP)",0.000976860288981543,0.000494928206079474
"PET","Fresh water",5.17020224582366e-05,3.89868812497898e-05
"PET","Fresh water (MP)",2.49517298011822e-05,2.22557974017999e-05
"PET","Subsurface soil (MP)",0.000175542796417575,0.00012449567766189
"PET","Coastal and ocean water",0.00014201948672076,0.000108787718467271
"PET","Coastal and ocean water (MP)",4.81133673339791e-05,3.56323877212504e-05
