"mat","dest","mean","sd"
"LDPE","Soil",0.00137503859880508,0.000504977914751985
"LDPE","Soil (MP)",0.00230439447641694,0.00136357918968647
"LDPE","Fresh water",5.0509158918645e-05,3.99283504746205e-05
"LDPE","Fresh water (MP)",4.55949718078047e-07,2.62375691265646e-07
"LDPE","Subsurface soil (MP)",6.0806469521491e-07,3.43858619520085e-07
"LDPE","Coastal and ocean water",0.000548369211540278,0.000334661023482866
"LDPE","Coastal and ocean water (MP)",8.29349247168061e-05,3.71425610876513e-05
"HDPE","Soil",0.00156514414270315,0.0006984258486234
"HDPE","Soil (MP)",4.9519168118499e-05,3.20517380873368e-05
"HDPE","Fresh water",6.30487999260821e-05,3.97721670035052e-05
"HDPE","Fresh water (MP)",3.09037768598442e-06,3.75962810984238e-06
"HDPE","Subsurface soil (MP)",8.26528209623002e-06,5.27288547519807e-06
"HDPE","Coastal and ocean water",0.000397120980768977,0.000233801062113473
"HDPE","Coastal and ocean water (MP)",6.30757205656624e-05,2.55830722031493e-05
"PP","Soil",0.00210271450765869,0.000862412110501661
"PP","Soil (MP)",0.000265734617700092,0.000161488195144236
"PP","Fresh water",4.66782140135455e-05,2.84377593176574e-05
"PP","Fresh water (MP)",1.12454430993305e-05,1.33254506633447e-05
"PP","Subsurface soil (MP)",4.29996898496405e-05,3.02533125275536e-05
"PP","Coastal and ocean water",6.50171447375041e-05,2.23730335909286e-05
"PP","Coastal and ocean water (MP)",4.0111125041432e-05,2.37605322620046e-05
"PS","Soil",0.00112374987819765,0.000563189322519667
"PS","Soil (MP)",2.47852544952956e-05,1.78027553162121e-05
"PS","Fresh water",2.9324371115674e-05,2.37137861510139e-05
"PS","Fresh water (MP)",6.31037408678027e-07,6.8846754832268e-07
"PS","Subsurface soil (MP)",7.56267757992518e-07,8.32475758963435e-07
"PS","Coastal and ocean water",2.29615884767372e-05,1.97280964558848e-05
"PS","Coastal and ocean water (MP)",1.01452033929344e-05,1.09663258012639e-05
"EPS","Soil",0.00036687723789052,0.000195734923456779
"EPS","Soil (MP)",5.88108866546935e-05,1.89793335451485e-05
"EPS","Fresh water",1.27200280851469e-05,1.24915748812663e-05
"EPS","Fresh water (MP)",8.24568861561469e-07,5.25696683990229e-07
"EPS","Subsurface soil (MP)",1.92335381860122e-07,2.71493698841571e-07
"EPS","Coastal and ocean water",0.000138826623317277,0.000106579396947852
"EPS","Coastal and ocean water (MP)",3.20222177626212e-05,1.59839882289744e-05
"PVC","Soil",0.000492511454102442,0.000254617209910417
"PVC","Soil (MP)",0.000256214898814783,0.000118708810902317
"PVC","Fresh water",4.12514696037703e-06,4.45321760937879e-06
"PVC","Fresh water (MP)",2.18371269675218e-05,1.70739250816402e-05
"PVC","Subsurface soil (MP)",1.36914613788989e-05,1.11453193380973e-05
"PVC","Coastal and ocean water",3.83504770836751e-06,4.0097582723658e-06
"PVC","Coastal and ocean water (MP)",7.32071200465482e-05,4.90130395297818e-05
"PET","Soil",0.0055265762195297,0.00305633678572345
"PET","Soil (MP)",0.000674628659260045,0.000366371988914467
"PET","Fresh water",0.000107300195428904,7.58392717867435e-05
"PET","Fresh water (MP)",8.79571682045712e-05,0.000100986706687832
"PET","Subsurface soil (MP)",0.000179516384196393,0.000125412867145531
"PET","Coastal and ocean water",7.2121014913467e-05,6.29766861899933e-05
"PET","Coastal and ocean water (MP)",0.000160649812059642,0.000167496847389175
