"mat","dest","mean","sd"
"LDPE","Soil",0.00143509390823674,0.00054035156848883
"LDPE","Soil (MP)",0.0023435815333387,0.00140926419306693
"LDPE","Fresh water",0.000104357417393382,7.50473307780171e-05
"LDPE","Fresh water (MP)",8.29628924642291e-07,4.97025729022999e-07
"LDPE","Subsurface soil (MP)",7.05956198035127e-07,4.04757558952604e-07
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.00170697422107505,0.000738176478894881
"HDPE","Soil (MP)",9.7162070978499e-05,4.94025611526526e-05
"HDPE","Fresh water",8.95420318790446e-05,5.73438179334716e-05
"HDPE","Fresh water (MP)",2.88502090496072e-06,2.42324003358656e-06
"HDPE","Subsurface soil (MP)",1.22128334518653e-05,7.19089550925938e-06
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.00217593767759426,0.000885321677763168
"PP","Soil (MP)",0.000350636645279408,0.000188575570902502
"PP","Fresh water",6.70135704945903e-05,4.28950999322598e-05
"PP","Fresh water (MP)",8.97986306658675e-06,7.8679166765038e-06
"PP","Subsurface soil (MP)",4.99522682816006e-05,3.28059740665561e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.00116648799334951,0.000599552756458389
"PS","Soil (MP)",3.96841206989714e-05,2.54273864631309e-05
"PS","Fresh water",6.28433405513671e-05,4.56740970692708e-05
"PS","Fresh water (MP)",1.35334102361603e-06,1.38446737371679e-06
"PS","Subsurface soil (MP)",1.03051799802645e-06,1.04839065291527e-06
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.00050289302791764,0.000271591449678298
"EPS","Soil (MP)",8.94175068959347e-05,1.91351386095291e-05
"EPS","Fresh water",3.41524745556669e-05,2.47774701280092e-05
"EPS","Fresh water (MP)",3.45117599678646e-06,2.17946754397246e-06
"EPS","Subsurface soil (MP)",2.70721475186179e-07,3.993919409301e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.000503792853653294,0.000266197010171591
"PVC","Soil (MP)",0.000362571950443919,0.000159478520621732
"PVC","Fresh water",8.76942771184896e-06,8.46351730568135e-06
"PVC","Fresh water (MP)",3.79370619165384e-05,2.33317092362818e-05
"PVC","Subsurface soil (MP)",1.86000646017308e-05,1.43004612910898e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00560042896979517,0.00318799863011581
"PET","Soil (MP)",0.00130809522254191,0.000648992590522297
"PET","Fresh water",0.000177444078951893,0.000135788977356793
"PET","Fresh water (MP)",6.70899030974875e-05,5.76523507808509e-05
"PET","Subsurface soil (MP)",0.000239769262068193,0.000154680035093965
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
