"mat","dest","mean","sd"
"LDPE","Soil",0.00104373343470978,0.00035057099066043
"LDPE","Soil (MP)",0.00236508137868312,0.00139365432051075
"LDPE","Fresh water",4.49346064489641e-05,3.26208782835224e-05
"LDPE","Fresh water (MP)",7.27676158206065e-07,8.50308393152531e-07
"LDPE","Subsurface soil (MP)",6.35468525617807e-07,3.65042283492734e-07
"LDPE","Coastal and ocean water",0.000339114774978917,0.00022672920708099
"LDPE","Coastal and ocean water (MP)",5.27771057768783e-05,2.36961494955672e-05
"HDPE","Soil",0.00093026506197835,0.000420173887122698
"HDPE","Soil (MP)",7.59317627089621e-05,4.12688194250793e-05
"HDPE","Fresh water",4.36988495535933e-05,2.75423602027512e-05
"HDPE","Fresh water (MP)",3.36619421530122e-06,2.67298281691389e-06
"HDPE","Subsurface soil (MP)",1.05653625904443e-05,6.29595059668539e-06
"HDPE","Coastal and ocean water",0.000240695547349159,0.000152748746710247
"HDPE","Coastal and ocean water (MP)",3.94113702069748e-05,1.66284374820105e-05
"PP","Soil",0.00132810239445981,0.000534951105357574
"PP","Soil (MP)",0.000267329796649213,0.00016319069384806
"PP","Fresh water",3.5071534612497e-05,2.37938735122416e-05
"PP","Fresh water (MP)",1.19084822577314e-05,9.36899898197047e-06
"PP","Subsurface soil (MP)",4.41089115506465e-05,3.04980150475147e-05
"PP","Coastal and ocean water",3.14382215152442e-05,9.20778873346949e-06
"PP","Coastal and ocean water (MP)",2.04322454644206e-05,1.17044216507825e-05
"PS","Soil",0.00080508687828933,0.000391941755357606
"PS","Soil (MP)",3.64806319083106e-05,2.24643512643291e-05
"PS","Fresh water",2.81817916299288e-05,2.16946355324945e-05
"PS","Fresh water (MP)",2.63864439512647e-06,2.87978296738491e-06
"PS","Subsurface soil (MP)",8.05174859951064e-07,8.89903979398143e-07
"PS","Coastal and ocean water",4.77410327929963e-06,3.05902097462003e-06
"PS","Coastal and ocean water (MP)",3.69253082754845e-06,4.5074623839788e-06
"EPS","Soil",0.00019515649022651,0.000100516556076078
"EPS","Soil (MP)",7.39075451881343e-05,1.83256891854532e-05
"EPS","Fresh water",1.67444263523733e-05,1.11468720976096e-05
"EPS","Fresh water (MP)",7.42872620592585e-06,4.88705696403405e-06
"EPS","Subsurface soil (MP)",2.11303022701645e-07,2.9663186097591e-07
"EPS","Coastal and ocean water",1.39051530585807e-05,1.03400135241731e-05
"EPS","Coastal and ocean water (MP)",1.12462358394959e-05,7.38225630518167e-06
"PVC","Soil",0.000339270819428508,0.000179450071200918
"PVC","Soil (MP)",0.000266267869000494,0.00011846572968037
"PVC","Fresh water",4.87290877235384e-06,5.23236824661108e-06
"PVC","Fresh water (MP)",5.38925948278276e-05,3.17447340892811e-05
"PVC","Subsurface soil (MP)",1.47500355271963e-05,1.16136153381498e-05
"PVC","Coastal and ocean water",1.03398932933813e-06,8.73026103010233e-07
"PVC","Coastal and ocean water (MP)",2.39101791521322e-05,2.02766882394198e-05
"PET","Soil",0.00339327116337742,0.00202427453329224
"PET","Soil (MP)",0.000562212068017666,0.000341791825956981
"PET","Fresh water",9.86143066866972e-05,8.23285188038049e-05
"PET","Fresh water (MP)",8.87939458769084e-05,7.18356908195926e-05
"PET","Subsurface soil (MP)",0.000194837469509363,0.000132058346062438
"PET","Coastal and ocean water",1.68370739015353e-05,1.27631088458631e-05
"PET","Coastal and ocean water (MP)",6.83839236227251e-05,7.40258870865107e-05
