"mat","dest","mean","sd"
"LDPE","Soil",0.00383146707594925,0.00136634540533323
"LDPE","Soil (MP)",0.00240653468772111,0.00138830772607639
"LDPE","Fresh water",7.07662967480645e-05,5.77759298171091e-05
"LDPE","Fresh water (MP)",2.6678123901144e-07,2.11453101879664e-07
"LDPE","Subsurface soil (MP)",6.68780734190714e-07,3.85770560809516e-07
"LDPE","Coastal and ocean water",0.000136396566264766,8.01520215765945e-05
"LDPE","Coastal and ocean water (MP)",6.34696431877054e-06,2.88215865961301e-06
"HDPE","Soil",0.00337049439792921,0.00150309701976354
"HDPE","Soil (MP)",7.98870256639815e-05,4.11626545828254e-05
"HDPE","Fresh water",5.79192199283355e-05,4.415416764314e-05
"HDPE","Fresh water (MP)",1.0055129754892e-06,1.05682706339892e-06
"HDPE","Subsurface soil (MP)",1.09166598865504e-05,6.53823697834681e-06
"HDPE","Coastal and ocean water",0.000116032081115052,6.20928731413383e-05
"HDPE","Coastal and ocean water (MP)",7.4587687160349e-06,3.84081123640504e-06
"PP","Soil",0.00447290545999998,0.00179404422290793
"PP","Soil (MP)",0.00027289921163506,0.000159813121841202
"PP","Fresh water",4.40542881335504e-05,3.18994691680778e-05
"PP","Fresh water (MP)",3.38962798782156e-06,3.42997240320615e-06
"PP","Subsurface soil (MP)",4.66302461033669e-05,3.18366163344875e-05
"PP","Coastal and ocean water",7.15376890755211e-05,4.26717646951211e-05
"PP","Coastal and ocean water (MP)",1.48065310414513e-05,1.13238690778199e-05
"PS","Soil",0.0037449684603226,0.00153277695163315
"PS","Soil (MP)",4.75684169275444e-05,2.62265648090826e-05
"PS","Fresh water",4.44453019187324e-05,3.5142194411764e-05
"PS","Fresh water (MP)",6.35476714289265e-07,6.72864489604429e-07
"PS","Subsurface soil (MP)",8.93642271795466e-07,9.33218201015277e-07
"PS","Coastal and ocean water",6.68757442975088e-05,4.82363524420491e-05
"PS","Coastal and ocean water (MP)",3.84551334670726e-06,4.30847285549904e-06
"EPS","Soil",0.00122985333614997,0.000600478157131764
"EPS","Soil (MP)",8.09227670514091e-05,1.80011488129384e-05
"EPS","Fresh water",2.90894745000055e-05,2.00846249658731e-05
"EPS","Fresh water (MP)",1.7722727137455e-06,1.05780776804127e-06
"EPS","Subsurface soil (MP)",2.33202402936487e-07,3.38819284660375e-07
"EPS","Coastal and ocean water",0.000114860104583133,7.7676671651416e-05
"EPS","Coastal and ocean water (MP)",1.13660982303481e-05,6.95781698038072e-06
"PVC","Soil",0.00141779730923991,0.000708804433224266
"PVC","Soil (MP)",0.000269939324411256,0.000121484340602608
"PVC","Fresh water",6.78264496139055e-06,6.37489740133933e-06
"PVC","Fresh water (MP)",1.28231275597194e-05,8.85064903319641e-06
"PVC","Subsurface soil (MP)",1.6458183196689e-05,1.25951498322365e-05
"PVC","Coastal and ocean water",1.04281178654571e-05,8.85922983269759e-06
"PVC","Coastal and ocean water (MP)",3.80328118207373e-05,2.41228159005134e-05
"PET","Soil",0.0107183802433703,0.00589321020017181
"PET","Soil (MP)",0.000458900280674599,0.000336233990466071
"PET","Fresh water",0.00011116881741555,9.50221356340317e-05
"PET","Fresh water (MP)",2.57638406235496e-05,2.69302025110264e-05
"PET","Subsurface soil (MP)",0.00021311844104197,0.000138384748347269
"PET","Coastal and ocean water",0.000171475151193836,0.000127395053629539
"PET","Coastal and ocean water (MP)",0.000101651206423403,8.401166937394e-05
