"mat","dest","mean","sd"
"LDPE","Soil",0.000999766853259284,0.000348916436903225
"LDPE","Soil (MP)",0.00235366331476172,0.00138731990260198
"LDPE","Fresh water",4.60542762449628e-05,3.20966395082296e-05
"LDPE","Fresh water (MP)",1.10397382295607e-06,6.09562837962381e-07
"LDPE","Subsurface soil (MP)",6.97117059103789e-07,4.04257485297924e-07
"LDPE","Coastal and ocean water",0.000506463945756724,0.000342529051036104
"LDPE","Coastal and ocean water (MP)",7.81557610880732e-05,3.52461445968085e-05
"HDPE","Soil",0.00115444459902258,0.000501521908864981
"HDPE","Soil (MP)",8.92490558252583e-05,4.20238171853866e-05
"HDPE","Fresh water",4.85971808577036e-05,2.82062442566299e-05
"HDPE","Fresh water (MP)",3.00664138138375e-06,2.39850307607048e-06
"HDPE","Subsurface soil (MP)",1.180412039006e-05,6.92220584409323e-06
"HDPE","Coastal and ocean water",0.000358042031240929,0.000232786798768937
"HDPE","Coastal and ocean water (MP)",5.56064655874547e-05,2.38408738104718e-05
"PP","Soil",0.00150485820455155,0.000612037443127061
"PP","Soil (MP)",0.000320535212222736,0.000171204159076977
"PP","Fresh water",3.79764213692611e-05,2.29388838118332e-05
"PP","Fresh water (MP)",9.10563614990077e-06,7.47220168150923e-06
"PP","Subsurface soil (MP)",5.09185353508158e-05,3.3857865774751e-05
"PP","Coastal and ocean water",4.0794361991775e-05,1.41057716271517e-05
"PP","Coastal and ocean water (MP)",1.64542072007192e-05,6.09042518037618e-06
"PS","Soil",0.000724867321824003,0.000386228135209134
"PS","Soil (MP)",4.8297810649814e-05,2.69188322223113e-05
"PS","Fresh water",2.8649336389872e-05,2.09701154931431e-05
"PS","Fresh water (MP)",1.46722789097662e-06,1.61939398362913e-06
"PS","Subsurface soil (MP)",1.0553535025754e-06,1.07871515880347e-06
"PS","Coastal and ocean water",7.02843750637032e-07,4.6367371654196e-07
"PS","Coastal and ocean water (MP)",2.55296465090088e-07,3.49186171995009e-07
"EPS","Soil",0.000242732222569021,0.000129257432997537
"EPS","Soil (MP)",8.94168534251081e-05,1.84865728859626e-05
"EPS","Fresh water",1.5274370699798e-05,1.06187434570012e-05
"EPS","Fresh water (MP)",3.90996124378868e-06,2.53463571190455e-06
"EPS","Subsurface soil (MP)",2.79464284534967e-07,3.85939128487364e-07
"EPS","Coastal and ocean water",1.46860360740476e-06,1.06000712308868e-06
"EPS","Coastal and ocean water (MP)",7.94069437314393e-07,5.93205705197776e-07
"PVC","Soil",0.000327136233663407,0.000175824174741331
"PVC","Soil (MP)",0.000325106909157854,0.000142592016714105
"PVC","Fresh water",4.88536311468154e-06,5.10077298813638e-06
"PVC","Fresh water (MP)",3.56250930673166e-05,2.16671885688766e-05
"PVC","Subsurface soil (MP)",1.90772616876318e-05,1.44267344757071e-05
"PVC","Coastal and ocean water",1.4633582797795e-07,1.26362562826848e-07
"PVC","Coastal and ocean water (MP)",1.60207973805258e-06,1.50399456169554e-06
"PET","Soil",0.00374328109328081,0.00216671257569685
"PET","Soil (MP)",0.00089013992989139,0.000483373343196402
"PET","Fresh water",0.000102596203136286,7.74972860629052e-05
"PET","Fresh water (MP)",6.95779536738994e-05,5.90822019931457e-05
"PET","Subsurface soil (MP)",0.000248128231819123,0.000160706492084001
"PET","Coastal and ocean water",2.5229481656536e-06,2.0797415105226e-06
"PET","Coastal and ocean water (MP)",3.92685832257428e-06,4.56231152184487e-06
