"mat","dest","mean","sd"
"LDPE","Soil",0.00106763892814304,0.000383641487274453
"LDPE","Soil (MP)",0.0024522542931724,0.00139655725197706
"LDPE","Fresh water",2.59019886403617e-05,1.68752193075702e-05
"LDPE","Fresh water (MP)",8.56555654841533e-08,1.25141724506959e-07
"LDPE","Subsurface soil (MP)",6.22007188399623e-07,3.60123071370715e-07
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.00101252196599669,0.000468572789355893
"HDPE","Soil (MP)",0.000111593043624395,5.10743433260553e-05
"HDPE","Fresh water",3.23662852630563e-05,1.84608017145022e-05
"HDPE","Fresh water (MP)",2.38212714869186e-06,2.6629792196434e-06
"HDPE","Subsurface soil (MP)",9.75147901911204e-06,5.94196577387782e-06
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.00150118214433886,0.000641412272925725
"PP","Soil (MP)",0.000335923279200335,0.000165662203279135
"PP","Fresh water",2.33088234018816e-05,1.2527233099714e-05
"PP","Fresh water (MP)",7.8882244010294e-06,8.38450758908617e-06
"PP","Subsurface soil (MP)",4.22989880959403e-05,3.00055418713776e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000678716825392656,0.00040164438676167
"PS","Soil (MP)",6.70607703495253e-05,3.37235204577567e-05
"PS","Fresh water",1.48507942044816e-05,1.01983420900518e-05
"PS","Fresh water (MP)",3.12393883193919e-07,4.40775964902292e-07
"PS","Subsurface soil (MP)",7.42800298294412e-07,8.28788696284114e-07
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.000338873168582871,0.000205068349020936
"EPS","Soil (MP)",9.69694371397007e-05,1.94753338929542e-05
"EPS","Fresh water",4.83790331223342e-06,5.28683899716225e-06
"EPS","Fresh water (MP)",8.19218223177495e-08,1.36649741621162e-07
"EPS","Subsurface soil (MP)",1.90176412529335e-07,2.63490156254785e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.00033342453361412,0.000184867915817429
"PVC","Soil (MP)",0.000331677904157985,0.000145950717756607
"PVC","Fresh water",2.17600798651979e-06,2.13970550449706e-06
"PVC","Fresh water (MP)",1.24383716911931e-05,1.01835388755187e-05
"PVC","Subsurface soil (MP)",1.35686787571089e-05,1.12730846922024e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.0040438115372511,0.00235577050961483
"PET","Soil (MP)",0.00079944111616409,0.00044254401374244
"PET","Fresh water",5.58077996719926e-05,3.48595867948833e-05
"PET","Fresh water (MP)",6.37822281042847e-05,6.32460640554625e-05
"PET","Subsurface soil (MP)",0.000181227314509818,0.000126318052083659
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
