"mat","dest","mean","sd"
"LDPE","Soil",0.0014854628617274,0.00050376338654662
"LDPE","Soil (MP)",0.00232376944635627,0.00135656588432079
"LDPE","Fresh water",6.5699913479439e-05,4.64465860922563e-05
"LDPE","Fresh water (MP)",8.35325304826278e-07,7.05495941066983e-07
"LDPE","Subsurface soil (MP)",6.07368306748988e-07,3.4687295319242e-07
"LDPE","Coastal and ocean water",0.0006653810889568,0.000437434868612153
"LDPE","Coastal and ocean water (MP)",0.000103600206447039,4.57654160092877e-05
"HDPE","Soil",0.00158303784518587,0.000668415283502435
"HDPE","Soil (MP)",7.02286701615993e-05,3.88389748213523e-05
"HDPE","Fresh water",7.17164000552865e-05,4.18256491169034e-05
"HDPE","Fresh water (MP)",3.53949047216224e-06,3.0937754775638e-06
"HDPE","Subsurface soil (MP)",8.96327511149991e-06,5.62651954339922e-06
"HDPE","Coastal and ocean water",0.000479269099593274,0.0003036980728709
"HDPE","Coastal and ocean water (MP)",7.44839051020914e-05,3.18720187052272e-05
"PP","Soil",0.00199882072681827,0.000751523635368452
"PP","Soil (MP)",0.000300011342392629,0.000170070320003613
"PP","Fresh water",5.90355506829182e-05,3.65261846391667e-05
"PP","Fresh water (MP)",1.27757301513117e-05,1.08165583197461e-05
"PP","Subsurface soil (MP)",4.18137106784455e-05,2.99167465005447e-05
"PP","Coastal and ocean water",5.71476304040064e-05,1.81726134389535e-05
"PP","Coastal and ocean water (MP)",2.42514965059036e-05,9.04705091827786e-06
"PS","Soil",0.0013384540957456,0.000584513670956373
"PS","Soil (MP)",3.53787410313827e-05,2.34562974980637e-05
"PS","Fresh water",4.40877552015434e-05,3.21118809482562e-05
"PS","Fresh water (MP)",2.28628765972704e-06,2.50918490469709e-06
"PS","Subsurface soil (MP)",7.13277917876701e-07,8.05286418362592e-07
"PS","Coastal and ocean water",4.38492408085752e-06,2.56022764519597e-06
"PS","Coastal and ocean water (MP)",1.51070908556484e-06,1.93466911461045e-06
"EPS","Soil",0.000318679437837284,0.000161329333310897
"EPS","Soil (MP)",8.1347161182964e-05,1.80416044885739e-05
"EPS","Fresh water",2.11697817201917e-05,1.4634930057879e-05
"EPS","Fresh water (MP)",6.17346598784826e-06,3.9630824728014e-06
"EPS","Subsurface soil (MP)",1.87863104655822e-07,2.7255780323317e-07
"EPS","Coastal and ocean water",7.74258469449006e-06,5.42989988288817e-06
"EPS","Coastal and ocean water (MP)",4.65598281246024e-06,3.28465794707841e-06
"PVC","Soil",0.000520512057204267,0.000267094666670755
"PVC","Soil (MP)",0.000308930287123481,0.000136757195650479
"PVC","Fresh water",8.56171984270755e-06,8.47587421752599e-06
"PVC","Fresh water (MP)",5.45654909121216e-05,3.23916663904838e-05
"PVC","Subsurface soil (MP)",1.32571521929596e-05,1.08950271083514e-05
"PVC","Coastal and ocean water",1.0075361530798e-06,7.75024269618033e-07
"PVC","Coastal and ocean water (MP)",9.26558733928549e-06,8.57436249129413e-06
"PET","Soil",0.0046709941004737,0.0025483208400798
"PET","Soil (MP)",0.000914617188014474,0.000480198537938136
"PET","Fresh water",0.000161713336851986,0.000122737797438122
"PET","Fresh water (MP)",9.72273897077452e-05,8.27473356253143e-05
"PET","Subsurface soil (MP)",0.000176942080612784,0.00012715603339298
"PET","Coastal and ocean water",1.42166788075083e-05,1.04695291867766e-05
"PET","Coastal and ocean water (MP)",2.2723811543513e-05,2.67581778236657e-05
