"mat","dest","mean","sd"
"LDPE","Soil",0.00108295734317363,0.000355911126998845
"LDPE","Soil (MP)",0.00231192574840988,0.00136062976129783
"LDPE","Fresh water",3.51724889305308e-05,2.4406582743363e-05
"LDPE","Fresh water (MP)",5.24817710931519e-08,5.78920494121182e-08
"LDPE","Subsurface soil (MP)",6.07143448286906e-07,3.43737870006636e-07
"LDPE","Coastal and ocean water",7.79203708584135e-05,4.85100904852128e-05
"LDPE","Coastal and ocean water (MP)",1.66586074318901e-05,8.18937583768356e-06
"HDPE","Soil",0.000911682440242813,0.00039924212770373
"HDPE","Soil (MP)",4.99248684193562e-05,3.27526286473596e-05
"HDPE","Fresh water",4.68836211078146e-05,2.76422190719627e-05
"HDPE","Fresh water (MP)",1.39647229784502e-06,1.09096887741916e-06
"HDPE","Subsurface soil (MP)",8.94422125482521e-06,5.53642681584653e-06
"HDPE","Coastal and ocean water",5.65482074904039e-05,3.23720982462765e-05
"HDPE","Coastal and ocean water (MP)",2.23740293773833e-05,1.4126415857633e-05
"PP","Soil",0.00127099823778106,0.000485113618085994
"PP","Soil (MP)",0.000213174799015508,0.000147458490972237
"PP","Fresh water",3.98170450792759e-05,2.49200439380631e-05
"PP","Fresh water (MP)",4.9584432165877e-06,3.51302219570722e-06
"PP","Subsurface soil (MP)",4.19215468955103e-05,2.996739543359e-05
"PP","Coastal and ocean water",1.2480169085603e-05,5.01764249304701e-06
"PP","Coastal and ocean water (MP)",5.9760886993075e-05,4.68830785980031e-05
"PS","Soil",0.000900572084686167,0.00039449094131371
"PS","Soil (MP)",1.96568307980979e-05,1.23200048552843e-05
"PS","Fresh water",2.49576388090279e-05,1.85150972711281e-05
"PS","Fresh water (MP)",1.93119881271908e-07,1.9608016817311e-07
"PS","Subsurface soil (MP)",7.15334217133191e-07,7.97678808372263e-07
"PS","Coastal and ocean water",5.47177174149776e-06,3.49339861534048e-06
"PS","Coastal and ocean water (MP)",1.99088568796043e-05,1.91357392175531e-05
"EPS","Soil",0.000114492789891616,7.53830413209421e-05
"EPS","Soil (MP)",3.17125534656365e-05,1.66077802425969e-05
"EPS","Fresh water",5.8260616290815e-06,6.58893753095448e-06
"EPS","Fresh water (MP)",4.94730603013226e-08,6.39856489735271e-08
"EPS","Subsurface soil (MP)",1.82059420622074e-07,2.56576277863528e-07
"EPS","Coastal and ocean water",5.36863478718308e-05,4.27554152866592e-05
"EPS","Coastal and ocean water (MP)",6.0367544572528e-05,2.01373523347988e-05
"PVC","Soil",0.000359604877876428,0.000188930079347791
"PVC","Soil (MP)",0.000168299725529138,8.47538281576943e-05
"PVC","Fresh water",5.24470481224202e-06,5.35843264231316e-06
"PVC","Fresh water (MP)",4.84450295293397e-05,3.306993169209e-05
"PVC","Subsurface soil (MP)",1.31927565220697e-05,1.09190018125286e-05
"PVC","Coastal and ocean water",1.57990014432528e-06,1.33403624379099e-06
"PVC","Coastal and ocean water (MP)",0.000128129553642036,7.36327331495463e-05
"PET","Soil",0.00320152943835058,0.00177882853937678
"PET","Soil (MP)",0.000209962900522997,0.000163149463260867
"PET","Fresh water",0.00010793740376445,8.43762471633547e-05
"PET","Fresh water (MP)",4.02218446422067e-05,2.63614545480615e-05
"PET","Subsurface soil (MP)",0.000175175598333567,0.000126184524457686
"PET","Coastal and ocean water",2.46474811755508e-05,1.95912008082694e-05
"PET","Coastal and ocean water (MP)",0.000401815291896682,0.000356765599935991
