"mat","dest","mean","sd"
"LDPE","Soil",0.000927213774793555,0.000359448159777309
"LDPE","Soil (MP)",0.00237142285691051,0.00139850290038541
"LDPE","Fresh water",3.19704179999976e-05,2.30444098834204e-05
"LDPE","Fresh water (MP)",1.02022367663223e-06,1.08012288394316e-06
"LDPE","Subsurface soil (MP)",6.17846663281128e-07,3.53458110823846e-07
"LDPE","Coastal and ocean water",0.000236044584730962,0.000153528003913095
"LDPE","Coastal and ocean water (MP)",3.65555579893581e-05,1.67376765907864e-05
"HDPE","Soil",0.00079116213548238,0.000417553920488743
"HDPE","Soil (MP)",7.223217960628e-05,3.91915421459081e-05
"HDPE","Fresh water",3.73682345377988e-05,2.21147114182265e-05
"HDPE","Fresh water (MP)",3.5294555845792e-06,2.73318915827709e-06
"HDPE","Subsurface soil (MP)",9.49754864402779e-06,5.80047381225152e-06
"HDPE","Coastal and ocean water",0.000166463866683366,0.000106421297102758
"HDPE","Coastal and ocean water (MP)",2.66017887048518e-05,1.13398227471252e-05
"PP","Soil",0.00126314331553215,0.000576054694565135
"PP","Soil (MP)",0.000258798609461739,0.000160789881903614
"PP","Fresh water",2.78912491239136e-05,1.63241249192782e-05
"PP","Fresh water (MP)",1.27569511463287e-05,9.44001745372461e-06
"PP","Subsurface soil (MP)",4.20388147831017e-05,3.06049185005832e-05
"PP","Coastal and ocean water",2.20573564903903e-05,6.50722699855905e-06
"PP","Coastal and ocean water (MP)",1.1821092644117e-05,5.88093521776796e-06
"PS","Soil",0.000607981952154233,0.000383864815089389
"PS","Soil (MP)",3.97904873132392e-05,2.34085087542583e-05
"PS","Fresh water",1.88633551592614e-05,1.45245708640182e-05
"PS","Fresh water (MP)",3.32563130478169e-06,3.57806657264867e-06
"PS","Subsurface soil (MP)",7.06006862582272e-07,8.12915619291849e-07
"PS","Coastal and ocean water",3.72327126333754e-06,2.56611416084386e-06
"PS","Coastal and ocean water (MP)",2.00137437418884e-06,2.47016817693192e-06
"EPS","Soil",0.000249714724329088,0.000141986899095087
"EPS","Soil (MP)",7.73072346665208e-05,1.73788463497175e-05
"EPS","Fresh water",3.02952497060134e-05,2.02633869289736e-05
"EPS","Fresh water (MP)",9.70386578063112e-06,5.26254270351452e-06
"EPS","Subsurface soil (MP)",1.81647550282264e-07,2.59242863041822e-07
"EPS","Coastal and ocean water",1.59079292892585e-05,1.20987068426476e-05
"EPS","Coastal and ocean water (MP)",6.24948773547435e-06,3.94380334623884e-06
"PVC","Soil",0.000300989392810384,0.000173828115758834
"PVC","Soil (MP)",0.000260584998873731,0.000119042716987118
"PVC","Fresh water",2.84610029717043e-06,2.98778578861204e-06
"PVC","Fresh water (MP)",3.67448037587026e-05,2.14062912120804e-05
"PVC","Subsurface soil (MP)",1.32489727307281e-05,1.13810630223277e-05
"PVC","Coastal and ocean water",6.75347270734245e-07,6.10298225641862e-07
"PVC","Coastal and ocean water (MP)",1.24915134472424e-05,1.02723613663523e-05
"PET","Soil",0.00350439992273181,0.0022016150438994
"PET","Soil (MP)",0.00043831444595698,0.000324955153266998
"PET","Fresh water",7.12408710391653e-05,5.06946077757597e-05
"PET","Fresh water (MP)",9.31425926824224e-05,6.80368725091495e-05
"PET","Subsurface soil (MP)",0.000174408804729819,0.000124611763135201
"PET","Coastal and ocean water",1.29735701101801e-05,9.81883139030859e-06
"PET","Coastal and ocean water (MP)",3.15012034774796e-05,3.60825954368562e-05
