"mat","dest","mean","sd"
"LDPE","Soil",0.000614748296379078,0.000216117763462877
"LDPE","Soil (MP)",0.00196069250061444,0.00111020054098456
"LDPE","Fresh water",4.52581855275019e-06,2.84249804821624e-06
"LDPE","Fresh water (MP)",4.40779992586522e-07,4.81466411934948e-07
"LDPE","Subsurface soil (MP)",5.1531895475426e-07,2.72573934873138e-07
"LDPE","Coastal and ocean water",0.00436385883577462,0.00269896605715098
"LDPE","Coastal and ocean water (MP)",0.000678594629662394,0.00026227761981594
"HDPE","Soil",0.000642213644321617,0.00027591845552812
"HDPE","Soil (MP)",5.95003778026956e-05,3.50482156743452e-05
"HDPE","Fresh water",4.30059283347939e-06,2.93510055001274e-06
"HDPE","Fresh water (MP)",1.24770744258399e-06,1.14881262091096e-06
"HDPE","Subsurface soil (MP)",8.7022183374592e-06,5.1401269020868e-06
"HDPE","Coastal and ocean water",0.00326079486218544,0.00199042769077878
"HDPE","Coastal and ocean water (MP)",0.000509363846077253,0.000190718403917271
"PP","Soil",0.000943216877469505,0.000367725018914364
"PP","Soil (MP)",0.000254244302560308,0.000153591669222361
"PP","Fresh water",3.83705269118253e-06,2.77442829932269e-06
"PP","Fresh water (MP)",4.91917463588832e-06,4.27978101842807e-06
"PP","Subsurface soil (MP)",4.02499903478661e-05,2.86887574605269e-05
"PP","Coastal and ocean water",0.000423047944004892,0.000133264845584115
"PP","Coastal and ocean water (MP)",0.000190637385090827,6.70759317222546e-05
"PS","Soil",0.000458983899551297,0.000250160272944487
"PS","Soil (MP)",2.37218516440629e-05,1.83247961555128e-05
"PS","Fresh water",2.75479724108293e-06,2.2991146885615e-06
"PS","Fresh water (MP)",1.6257764031462e-06,1.88505111377138e-06
"PS","Subsurface soil (MP)",7.12717460554387e-07,8.04379480325154e-07
"PS","Coastal and ocean water",2.11363414144757e-05,1.54029559405727e-05
"PS","Coastal and ocean water (MP)",9.16631687908032e-06,9.83450883475379e-06
"EPS","Soil",9.15265309502838e-05,4.89612253420912e-05
"EPS","Soil (MP)",6.03704830434444e-05,1.88340572135129e-05
"EPS","Fresh water",4.26139476203344e-06,2.93983560600665e-06
"EPS","Fresh water (MP)",4.82637837333119e-06,3.18468892536335e-06
"EPS","Subsurface soil (MP)",1.85830251347772e-07,2.60340003768387e-07
"EPS","Coastal and ocean water",2.52741392531719e-05,1.67631247682123e-05
"EPS","Coastal and ocean water (MP)",2.63390766910562e-05,1.4266403662188e-05
"PVC","Soil",0.000217878144222036,0.000117930383976816
"PVC","Soil (MP)",0.000256752925374485,0.000120016891332231
"PVC","Fresh water",5.56151747740369e-07,6.35738327416114e-07
"PVC","Fresh water (MP)",1.50370228885874e-05,1.02836549904586e-05
"PVC","Subsurface soil (MP)",1.3235878788738e-05,1.09429696474418e-05
"PVC","Coastal and ocean water",4.30898571425148e-06,4.41145450182035e-06
"PVC","Coastal and ocean water (MP)",9.76181603681324e-05,5.77804544976658e-05
"PET","Soil",0.00243934850772526,0.00135039833550801
"PET","Soil (MP)",0.000686741449890621,0.000379544320227221
"PET","Fresh water",1.15631082894188e-05,1.01432400051673e-05
"PET","Fresh water (MP)",3.62191566536682e-05,3.4091128427613e-05
"PET","Subsurface soil (MP)",0.000177888625239933,0.000129434842088252
"PET","Coastal and ocean water",8.92466618817946e-05,6.67728251884147e-05
"PET","Coastal and ocean water (MP)",0.000257784136555345,0.000233560132379701
