"mat","dest","mean","sd"
"LDPE","Soil",0.00173842406048759,0.000667160589897119
"LDPE","Soil (MP)",0.00236772598692682,0.00139531328565045
"LDPE","Fresh water",5.6649051828733e-05,3.85952949015995e-05
"LDPE","Fresh water (MP)",7.76694710803524e-07,4.31367577144047e-07
"LDPE","Subsurface soil (MP)",6.35763667635625e-07,3.64925311576073e-07
"LDPE","Coastal and ocean water",8.31210443145705e-05,5.16016570179092e-05
"LDPE","Coastal and ocean water (MP)",1.26386594639579e-05,5.69763879637144e-06
"HDPE","Soil",0.00163332125981938,0.000796604542681977
"HDPE","Soil (MP)",7.34978431213001e-05,3.88607625073057e-05
"HDPE","Fresh water",5.76452443857461e-05,3.2039336417671e-05
"HDPE","Fresh water (MP)",2.44137018093601e-06,1.81121560365053e-06
"HDPE","Subsurface soil (MP)",9.66824020098883e-06,5.90053308150173e-06
"HDPE","Coastal and ocean water",5.9993825662697e-05,3.80176918598404e-05
"HDPE","Coastal and ocean water (MP)",9.0267401510133e-06,3.81842387397453e-06
"PP","Soil",0.00240443441003665,0.00105826714619342
"PP","Soil (MP)",0.000280663907300041,0.000164581597671635
"PP","Fresh water",4.04606127437812e-05,2.07965271738906e-05
"PP","Fresh water (MP)",7.5569350013175e-06,5.9725048215129e-06
"PP","Subsurface soil (MP)",4.35174065832708e-05,3.06832286492844e-05
"PP","Coastal and ocean water",8.4568716925267e-06,2.40911061252703e-06
"PP","Coastal and ocean water (MP)",3.123048443483e-06,1.25077000914995e-06
"PS","Soil",0.00138341326277892,0.000736963553244515
"PS","Soil (MP)",4.37621788321979e-05,2.66535877964931e-05
"PS","Fresh water",3.2108148735444e-05,2.19373400798085e-05
"PS","Fresh water (MP)",1.07221618152064e-06,1.06138397503759e-06
"PS","Subsurface soil (MP)",7.76196363352697e-07,8.51915497716862e-07
"PS","Coastal and ocean water",2.16296358704907e-06,1.5397030025996e-06
"PS","Coastal and ocean water (MP)",2.52686397901217e-07,3.16727953306259e-07
"EPS","Soil",0.000890861266002007,0.000523506077839105
"EPS","Soil (MP)",8.93510825022744e-05,1.89726797972071e-05
"EPS","Fresh water",3.13133333736584e-05,1.94323858142313e-05
"EPS","Fresh water (MP)",2.69975147684812e-06,1.77398465084562e-06
"EPS","Subsurface soil (MP)",2.03632961190736e-07,2.94751986300023e-07
"EPS","Coastal and ocean water",6.09598828856252e-06,4.34572173761605e-06
"EPS","Coastal and ocean water (MP)",7.74734906377207e-07,6.01292002130047e-07
"PVC","Soil",0.000646021986355696,0.000334213005371952
"PVC","Soil (MP)",0.000300341480625471,0.000134656819361366
"PVC","Fresh water",3.9995626688708e-06,3.55883736803663e-06
"PVC","Fresh water (MP)",1.50427765089555e-05,9.16916525156369e-06
"PVC","Subsurface soil (MP)",1.42013530419588e-05,1.14426608611093e-05
"PVC","Coastal and ocean water",3.08631581520997e-07,2.618281408538e-07
"PVC","Coastal and ocean water (MP)",1.55730010020078e-06,1.46980301781482e-06
"PET","Soil",0.00668406963297198,0.00392165413751228
"PET","Soil (MP)",0.000623504294607959,0.000393914700019515
"PET","Fresh water",9.33365279576406e-05,5.59296459622827e-05
"PET","Fresh water (MP)",5.77189354515977e-05,4.33097548996645e-05
"PET","Subsurface soil (MP)",0.000186679173317175,0.000129300648129459
"PET","Coastal and ocean water",5.57257823426846e-06,3.91731559440568e-06
"PET","Coastal and ocean water (MP)",3.84585640112834e-06,4.50665385305122e-06
