"mat","dest","mean","sd"
"LDPE","Soil",0.00147142144627649,0.000549648089518804
"LDPE","Soil (MP)",0.00235476787909856,0.00139150283177347
"LDPE","Fresh water",0.000137909063099344,0.000106000307988086
"LDPE","Fresh water (MP)",2.31916033522628e-07,2.45777925664142e-07
"LDPE","Subsurface soil (MP)",6.85612906579525e-07,3.97772081319836e-07
"LDPE","Coastal and ocean water",0.00020754424590639,0.000125975060153271
"LDPE","Coastal and ocean water (MP)",3.01728772076402e-05,1.38076913319884e-05
"HDPE","Soil",0.00133122498402126,0.000662843714630297
"HDPE","Soil (MP)",7.14134454399489e-05,3.97393635788517e-05
"HDPE","Fresh water",0.000114438993010428,7.96334052990607e-05
"HDPE","Fresh water (MP)",1.84260908724048e-06,1.35297424761713e-06
"HDPE","Subsurface soil (MP)",1.14536208108285e-05,6.74910871433606e-06
"HDPE","Coastal and ocean water",0.000149115270191957,8.58260714989667e-05
"HDPE","Coastal and ocean water (MP)",2.34088888059987e-05,9.75329048540675e-06
"PP","Soil",0.00204341738522071,0.000876755340101023
"PP","Soil (MP)",0.000258292421362883,0.000157082395119168
"PP","Fresh water",7.9499451516535e-05,5.30646909279315e-05
"PP","Fresh water (MP)",6.5143683352156e-06,4.56087328495413e-06
"PP","Subsurface soil (MP)",4.79204865409509e-05,3.17131511465603e-05
"PP","Coastal and ocean water",2.6478429815659e-05,8.0410146445332e-06
"PP","Coastal and ocean water (MP)",1.58076108658386e-05,1.09936785803934e-05
"PS","Soil",0.00112644953128582,0.000594085865496179
"PS","Soil (MP)",4.01426540061377e-05,2.4429049559336e-05
"PS","Fresh water",7.7669971507185e-05,6.10494340125061e-05
"PS","Fresh water (MP)",8.64300746187477e-07,8.43743110472133e-07
"PS","Subsurface soil (MP)",9.72564433157619e-07,1.00758664700395e-06
"PS","Coastal and ocean water",1.16442162172714e-05,7.93632462733098e-06
"PS","Coastal and ocean water (MP)",3.29671859408051e-06,3.85156621760767e-06
"EPS","Soil",0.000615999097377304,0.000369557620570036
"EPS","Soil (MP)",8.10559850212992e-05,1.81793589737213e-05
"EPS","Fresh water",3.98836338509811e-05,3.43590656997392e-05
"EPS","Fresh water (MP)",2.12826767650424e-06,1.32331778685565e-06
"EPS","Subsurface soil (MP)",2.5086108434503e-07,3.34900924802265e-07
"EPS","Coastal and ocean water",5.42680383174657e-05,4.05092395489715e-05
"EPS","Coastal and ocean water (MP)",9.92668095184993e-06,6.4259823802818e-06
"PVC","Soil",0.000531494018705357,0.000274186969438436
"PVC","Soil (MP)",0.000268285367827677,0.000121212062548168
"PVC","Fresh water",8.81348673691049e-06,9.11883906231296e-06
"PVC","Fresh water (MP)",3.79286797005342e-05,2.39374212060513e-05
"PVC","Subsurface soil (MP)",1.72672988898101e-05,1.31370984632296e-05
"PVC","Coastal and ocean water",1.78125213748762e-06,1.45061862095567e-06
"PVC","Coastal and ocean water (MP)",2.17552050657751e-05,1.74845350812845e-05
"PET","Soil",0.00582868043343926,0.00331554578184741
"PET","Soil (MP)",0.000455083692612491,0.000326818607145255
"PET","Fresh water",0.000197705893409852,0.000152699063735636
"PET","Fresh water (MP)",5.04257063716442e-05,3.42034799997236e-05
"PET","Subsurface soil (MP)",0.000227115822492812,0.00014481753703809
"PET","Coastal and ocean water",3.27401312858366e-05,2.20956382166392e-05
"PET","Coastal and ocean water (MP)",6.90722416568777e-05,7.39119711201952e-05
