"mat","dest","mean","sd"
"LDPE","Soil",0.00358844720654988,0.0013432639306727
"LDPE","Soil (MP)",0.00232978484209532,0.0013793631785443
"LDPE","Fresh water",3.64748570077818e-05,2.28438490967282e-05
"LDPE","Fresh water (MP)",6.03214825094524e-07,4.07044256741965e-07
"LDPE","Subsurface soil (MP)",8.0304203129286e-07,5.03867824489761e-07
"LDPE","Coastal and ocean water",6.31968063578148e-06,3.203009093334e-06
"LDPE","Coastal and ocean water (MP)",7.60489442077486e-07,3.48606977113788e-07
"HDPE","Soil",0.00323938265354149,0.00149344330963841
"HDPE","Soil (MP)",5.14470722475034e-05,3.61854734469439e-05
"HDPE","Fresh water",3.82155686780877e-05,2.06155718896746e-05
"HDPE","Fresh water (MP)",1.95459181392451e-06,1.65559622695728e-06
"HDPE","Subsurface soil (MP)",1.41016996018285e-05,9.16147488027954e-06
"HDPE","Coastal and ocean water",4.63755507398371e-06,2.29502030997491e-06
"HDPE","Coastal and ocean water (MP)",9.15444139697227e-07,8.6779813047601e-07
"PP","Soil",0.00429241993176393,0.00183236080373832
"PP","Soil (MP)",0.000246041114682821,0.000162072616680709
"PP","Fresh water",2.91150227886949e-05,1.46330963414188e-05
"PP","Fresh water (MP)",6.62105995834094e-06,5.61253578736441e-06
"PP","Subsurface soil (MP)",6.09536389956346e-05,3.95424473679895e-05
"PP","Coastal and ocean water",1.53357879849305e-06,6.684734155431e-07
"PP","Coastal and ocean water (MP)",1.73625699989444e-06,3.02385590680317e-06
"PS","Soil",0.00354858063451086,0.00153008288881035
"PS","Soil (MP)",3.12157505643219e-05,2.55298109576562e-05
"PS","Fresh water",2.38509089928651e-05,1.40731709050933e-05
"PS","Fresh water (MP)",1.19603029839052e-06,1.29115830288156e-06
"PS","Subsurface soil (MP)",1.40926954886314e-06,1.45536110533775e-06
"PS","Coastal and ocean water",1.22895787589368e-06,7.10170834952252e-07
"PS","Coastal and ocean water (MP)",2.15508261942905e-07,2.57224262791071e-07
"EPS","Soil",0.00120540168423381,0.000599735132746326
"EPS","Soil (MP)",8.73804796332895e-05,1.896431250475e-05
"EPS","Fresh water",3.07072512981906e-05,1.99088546788046e-05
"EPS","Fresh water (MP)",3.26671788321267e-06,2.11379716001568e-06
"EPS","Subsurface soil (MP)",3.6897338403952e-07,5.0650142921746e-07
"EPS","Coastal and ocean water",4.01333712316623e-06,2.94152166676265e-06
"EPS","Coastal and ocean water (MP)",5.37523624244377e-07,3.85580835763178e-07
"PVC","Soil",0.00136121824359746,0.000711237600466536
"PVC","Soil (MP)",0.000282422201223602,0.000127183131025359
"PVC","Fresh water",4.22660838722872e-06,2.97934008455183e-06
"PVC","Fresh water (MP)",1.15432153881664e-05,8.20576925333831e-06
"PVC","Subsurface soil (MP)",2.51754497389978e-05,1.9990934617917e-05
"PVC","Coastal and ocean water",2.31398545271546e-07,1.57864302740222e-07
"PVC","Coastal and ocean water (MP)",2.54002411792562e-06,3.74516998919367e-06
"PET","Soil",0.0105060814490018,0.00608209803306998
"PET","Soil (MP)",0.000511546141851072,0.000376644571769509
"PET","Fresh water",6.42628024214033e-05,3.90122526977511e-05
"PET","Fresh water (MP)",5.00842770100966e-05,4.36181709332818e-05
"PET","Subsurface soil (MP)",0.000323375925486052,0.000215350643972713
"PET","Coastal and ocean water",2.93574739835326e-06,1.99308118065066e-06
"PET","Coastal and ocean water (MP)",1.21942173869611e-05,2.33663093185368e-05
