"mat","dest","mean","sd"
"LDPE","Soil",0.000727039428072124,0.000249838438603091
"LDPE","Soil (MP)",0.00233026104160557,0.00137417989059555
"LDPE","Fresh water",5.44941877372567e-06,3.42215374534843e-06
"LDPE","Fresh water (MP)",2.95326016523838e-06,2.05416656920752e-06
"LDPE","Subsurface soil (MP)",6.12223351533422e-07,3.49467875883587e-07
"LDPE","Coastal and ocean water",0.00036104069212496,0.000220529388256645
"LDPE","Coastal and ocean water (MP)",5.21781728459069e-05,2.32254559265166e-05
"HDPE","Soil",0.000883449454350463,0.000448821262778032
"HDPE","Soil (MP)",7.83290258484671e-05,3.87842119618867e-05
"HDPE","Fresh water",5.92469156259784e-06,4.09546205102452e-06
"HDPE","Fresh water (MP)",4.33555295501017e-06,3.67784714358594e-06
"HDPE","Subsurface soil (MP)",8.83696831596758e-06,5.51706770623753e-06
"HDPE","Coastal and ocean water",0.000279482089474331,0.00015588661561814
"HDPE","Coastal and ocean water (MP)",3.90256660480628e-05,1.61244324892898e-05
"PP","Soil",0.00110407898973154,0.000455644392230872
"PP","Soil (MP)",0.000308515753970317,0.000171141916354707
"PP","Fresh water",4.84340776154395e-06,3.36522550785659e-06
"PP","Fresh water (MP)",1.34240685113827e-05,1.30744995058843e-05
"PP","Subsurface soil (MP)",4.20453738983471e-05,3.07722206044017e-05
"PP","Coastal and ocean water",6.23179980646183e-05,2.25518259704795e-05
"PP","Coastal and ocean water (MP)",1.88402332677453e-05,8.01141417981158e-06
"PS","Soil",0.000445216289706343,0.000242984953516302
"PS","Soil (MP)",4.03084057481512e-05,2.27595597818834e-05
"PS","Fresh water",2.86155111248671e-06,2.42250427035163e-06
"PS","Fresh water (MP)",5.37686552358922e-06,6.09763700261933e-06
"PS","Subsurface soil (MP)",7.19339742517088e-07,8.03966092192973e-07
"PS","Coastal and ocean water",2.17530977654301e-05,1.59664877208211e-05
"PS","Coastal and ocean water (MP)",1.7467299379507e-06,2.02291491223001e-06
"EPS","Soil",9.86308084692362e-05,5.32181532514655e-05
"EPS","Soil (MP)",7.24627428439983e-05,1.83086009393905e-05
"EPS","Fresh water",1.22584772971001e-05,9.20257541657753e-06
"EPS","Fresh water (MP)",1.65497403084584e-05,9.89000429567304e-06
"EPS","Subsurface soil (MP)",1.89576551579269e-07,2.70814270214329e-07
"EPS","Coastal and ocean water",8.26653172557899e-06,6.20968666295691e-06
"EPS","Coastal and ocean water (MP)",4.73064957789311e-06,3.34303452468854e-06
"PVC","Soil",0.000214243643995578,0.000117537864832401
"PVC","Soil (MP)",0.00028899763763551,0.000130261648560622
"PVC","Fresh water",5.80726053833259e-07,6.65706915634341e-07
"PVC","Fresh water (MP)",3.79188539785049e-05,2.791637783007e-05
"PVC","Subsurface soil (MP)",1.31683079229499e-05,1.09555378252004e-05
"PVC","Coastal and ocean water",4.46684989300908e-06,4.59033073091373e-06
"PVC","Coastal and ocean water (MP)",4.77379232587395e-05,2.94248595689918e-05
"PET","Soil",0.0026228142389894,0.00141353880234839
"PET","Soil (MP)",0.000864970559892204,0.000447458550938934
"PET","Fresh water",1.34246500366368e-05,1.11400191014648e-05
"PET","Fresh water (MP)",8.8345887973064e-05,9.16864785812691e-05
"PET","Subsurface soil (MP)",0.000173100415697479,0.000126036772055529
"PET","Coastal and ocean water",0.000101574072633535,7.3809180912012e-05
"PET","Coastal and ocean water (MP)",6.38961968043944e-05,5.04995847022651e-05
