"mat","dest","mean","sd"
"LDPE","Soil",0.000894803515791705,0.000328979091207576
"LDPE","Soil (MP)",0.00235762204835736,0.00137357353744123
"LDPE","Fresh water",3.40216697771086e-05,2.32459311343188e-05
"LDPE","Fresh water (MP)",2.45543349870009e-07,1.39524923312368e-07
"LDPE","Subsurface soil (MP)",6.23061681943908e-07,3.57311762803089e-07
"LDPE","Coastal and ocean water",2.65706656792447e-06,1.22996142988382e-06
"LDPE","Coastal and ocean water (MP)",3.82446119870417e-07,2.49737094637137e-07
"HDPE","Soil",0.00079039070514312,0.000393056684984935
"HDPE","Soil (MP)",6.74763753293846e-05,3.70605789630605e-05
"HDPE","Fresh water",4.48747898750051e-05,2.64481355361544e-05
"HDPE","Fresh water (MP)",1.77620194499362e-06,1.41916921648778e-06
"HDPE","Subsurface soil (MP)",9.15675990101925e-06,5.67005440181551e-06
"HDPE","Coastal and ocean water",2.11534599709134e-06,9.44156593179685e-07
"HDPE","Coastal and ocean water (MP)",5.60296053711898e-07,6.84396722787401e-07
"PP","Soil",0.00121536504592067,0.00053198151910746
"PP","Soil (MP)",0.000270945432591796,0.000161921803054091
"PP","Fresh water",3.43664858311013e-05,1.98763522738778e-05
"PP","Fresh water (MP)",6.03496530728241e-06,4.99266403590566e-06
"PP","Subsurface soil (MP)",4.2747528242395e-05,3.03436322494974e-05
"PP","Coastal and ocean water",1.07881101912482e-06,6.4757492800045e-07
"PP","Coastal and ocean water (MP)",1.59558604379815e-06,2.54991631571571e-06
"PS","Soil",0.000609523615251682,0.000362395753686191
"PS","Soil (MP)",4.36524816523079e-05,2.73893304031175e-05
"PS","Fresh water",2.07484912376357e-05,1.49257400717049e-05
"PS","Fresh water (MP)",4.64050892658339e-07,4.08562492855029e-07
"PS","Subsurface soil (MP)",7.24435951913257e-07,8.1064259352567e-07
"PS","Coastal and ocean water",8.16342066119468e-07,5.38966688632084e-07
"PS","Coastal and ocean water (MP)",5.20466985558252e-07,7.06272624427167e-07
"EPS","Soil",0.000200016313979851,0.000118657070137307
"EPS","Soil (MP)",9.06044638636647e-05,1.92777688527318e-05
"EPS","Fresh water",7.00208494786834e-06,6.62842616372622e-06
"EPS","Fresh water (MP)",8.30226562764158e-07,5.9795281319787e-07
"EPS","Subsurface soil (MP)",1.90842172082257e-07,2.68486622867126e-07
"EPS","Coastal and ocean water",1.9656498855517e-06,1.43529095722803e-06
"EPS","Coastal and ocean water (MP)",1.56464267234383e-06,1.28289412964443e-06
"PVC","Soil",0.000281564641819381,0.000157026966017066
"PVC","Soil (MP)",0.000292359632582418,0.000130139083255788
"PVC","Fresh water",3.49972213356667e-06,3.78948066329397e-06
"PVC","Fresh water (MP)",2.50241807314198e-05,1.64240445846383e-05
"PVC","Subsurface soil (MP)",1.3600251768367e-05,1.09714778090969e-05
"PVC","Coastal and ocean water",1.80339227857076e-07,1.64091084184711e-07
"PVC","Coastal and ocean water (MP)",3.42580333036785e-06,3.52566121967777e-06
"PET","Soil",0.00333905912054549,0.00202470507369105
"PET","Soil (MP)",0.000545683899456368,0.00037709198821255
"PET","Fresh water",8.6182337726026e-05,5.91479585980811e-05
"PET","Fresh water (MP)",4.83298758023493e-05,3.80542932110902e-05
"PET","Subsurface soil (MP)",0.000179840317559755,0.000125907036021714
"PET","Coastal and ocean water",3.26952815795874e-06,2.52806920162665e-06
"PET","Coastal and ocean water (MP)",1.06363490089045e-05,1.77483554666118e-05
