"mat","dest","mean","sd"
"LDPE","Soil",0.00175656822036342,0.000687912263825021
"LDPE","Soil (MP)",0.00235778725498662,0.00138480150867815
"LDPE","Fresh water",0.000349335168141524,0.000263616230041867
"LDPE","Fresh water (MP)",6.83904901939159e-07,3.21847011745103e-07
"LDPE","Subsurface soil (MP)",7.44417531980744e-07,4.57134168728805e-07
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.00233690276773405,0.00102256364055958
"HDPE","Soil (MP)",8.69269674803768e-05,4.22550508707732e-05
"HDPE","Fresh water",0.00027494867751154,0.000188335220819209
"HDPE","Fresh water (MP)",2.24298548929186e-06,2.26914717247406e-06
"HDPE","Subsurface soil (MP)",1.23439559984889e-05,7.70384633962904e-06
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.00295332381244923,0.00122411500852559
"PP","Soil (MP)",0.000344921608729726,0.00018043312975032
"PP","Fresh water",0.000186220608403124,0.000118626798702749
"PP","Fresh water (MP)",6.91207631763628e-06,7.49138822955142e-06
"PP","Subsurface soil (MP)",5.46468997201279e-05,3.51523591319414e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.00130972350241213,0.000730590431123753
"PS","Soil (MP)",4.6357763370462e-05,2.70356952741325e-05
"PS","Fresh water",0.000189990905751476,0.000144160355493314
"PS","Fresh water (MP)",6.19090172309497e-07,6.13720934031486e-07
"PS","Subsurface soil (MP)",1.21958724827738e-06,1.27901519283014e-06
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.00110119724204393,0.000685211048450337
"EPS","Soil (MP)",9.2392005016032e-05,1.93863572076687e-05
"EPS","Fresh water",8.58250158662373e-05,8.52387076898282e-05
"EPS","Fresh water (MP)",1.28662987437401e-06,8.85823120029559e-07
"EPS","Subsurface soil (MP)",3.13686967799125e-07,4.18675744890462e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.000650473383689645,0.00032678568401023
"PVC","Soil (MP)",0.000342124539679891,0.000148315241002977
"PVC","Fresh water",1.9935455827927e-05,2.06320775004741e-05
"PVC","Fresh water (MP)",4.81537424675198e-05,3.14135738686013e-05
"PVC","Subsurface soil (MP)",2.18798036665911e-05,1.67176498858842e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00751902937567906,0.00403429502481295
"PET","Soil (MP)",0.00113980828824528,0.000574608937364194
"PET","Fresh water",0.000443826983898815,0.000327780380510289
"PET","Fresh water (MP)",5.46231887257263e-05,5.93995407003278e-05
"PET","Subsurface soil (MP)",0.000278214110204984,0.000182756913154813
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
