"mat","dest","mean","sd"
"LDPE","Soil",0.00120795238883631,0.000454844405614172
"LDPE","Soil (MP)",0.00234134845465613,0.00140022611703107
"LDPE","Fresh water",4.1048847212803e-05,2.62972887137593e-05
"LDPE","Fresh water (MP)",4.04301983773969e-07,4.12395873066267e-07
"LDPE","Subsurface soil (MP)",6.17159020709586e-07,3.55523002728972e-07
"LDPE","Coastal and ocean water",0.0001619053977804,0.000101084794394388
"LDPE","Coastal and ocean water (MP)",2.58052131902125e-05,1.15923004201576e-05
"HDPE","Soil",0.00104894307372306,0.000537904039425538
"HDPE","Soil (MP)",6.21984250827514e-05,3.58319003181545e-05
"HDPE","Fresh water",4.80541123504453e-05,2.67618339426949e-05
"HDPE","Fresh water (MP)",2.29334238350368e-06,1.78136991195244e-06
"HDPE","Subsurface soil (MP)",9.23857529493409e-06,5.69755633167912e-06
"HDPE","Coastal and ocean water",0.000116095928839617,7.02887237349696e-05
"HDPE","Coastal and ocean water (MP)",2.08364232524458e-05,8.97683911300643e-06
"PP","Soil",0.00160190365565454,0.000724914340392593
"PP","Soil (MP)",0.000244574625972649,0.000155831267698345
"PP","Fresh water",3.74955175352436e-05,1.93246162938897e-05
"PP","Fresh water (MP)",8.19239589936016e-06,5.89073901958531e-06
"PP","Subsurface soil (MP)",4.19028092661649e-05,3.00553041708286e-05
"PP","Coastal and ocean water",1.79820226015722e-05,5.22632378330981e-06
"PP","Coastal and ocean water (MP)",2.04009411633364e-05,1.56675824278975e-05
"PS","Soil",0.000943980082856297,0.00050611785044534
"PS","Soil (MP)",3.41592735409767e-05,2.09070471632656e-05
"PS","Fresh water",2.78615028077407e-05,1.68829791199709e-05
"PS","Fresh water (MP)",1.3962590482378e-06,1.40415995544815e-06
"PS","Subsurface soil (MP)",7.22005523212169e-07,8.17799723463011e-07
"PS","Coastal and ocean water",5.67640121970836e-06,3.85411066445511e-06
"PS","Coastal and ocean water (MP)",6.53008515342616e-06,7.35277248351309e-06
"EPS","Soil",0.000291384185955971,0.00015257203944841
"EPS","Soil (MP)",6.89251552646205e-05,1.79698971756906e-05
"EPS","Fresh water",1.74542149869266e-05,1.08346485567189e-05
"EPS","Fresh water (MP)",3.68798475663454e-06,2.21298936241232e-06
"EPS","Subsurface soil (MP)",1.82850613471177e-07,2.66323093383622e-07
"EPS","Coastal and ocean water",5.52049101920418e-05,4.27567587017817e-05
"EPS","Coastal and ocean water (MP)",1.99270934042993e-05,1.12899419232402e-05
"PVC","Soil",0.000409371121982532,0.00022355833920827
"PVC","Soil (MP)",0.000244448783615678,0.000113263376736784
"PVC","Fresh water",5.2861527704897e-06,4.00693195728924e-06
"PVC","Fresh water (MP)",2.58457942737322e-05,1.51678851720168e-05
"PVC","Subsurface soil (MP)",1.31088333612795e-05,1.08769941424504e-05
"PVC","Coastal and ocean water",9.70634888063062e-07,8.47679262041511e-07
"PVC","Coastal and ocean water (MP)",4.110185590144e-05,3.15399303948985e-05
"PET","Soil",0.00434134788297782,0.00273208953590278
"PET","Soil (MP)",0.000394883857510316,0.000297962375021197
"PET","Fresh water",8.56606820309824e-05,5.30446168049132e-05
"PET","Fresh water (MP)",6.27521326177841e-05,4.41866166561137e-05
"PET","Subsurface soil (MP)",0.000175119872019442,0.000125871573626181
"PET","Coastal and ocean water",1.65925580951738e-05,1.26987309521813e-05
"PET","Coastal and ocean water (MP)",0.000102313851751681,0.000106846115041142
