"mat","dest","mean","sd"
"LDPE","Soil",0.00061039776962993,0.000244847724686329
"LDPE","Soil (MP)",0.0012833762731071,0.00069705767404494
"LDPE","Fresh water",1.7968159628632e-05,1.39025778162393e-05
"LDPE","Fresh water (MP)",6.03744922557241e-06,4.62961856564324e-06
"LDPE","Subsurface soil (MP)",1.66487506204255e-05,1.47630416534587e-05
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.000721923921036032,0.000380067052540517
"HDPE","Soil (MP)",0.000163572708419863,5.98686732893407e-05
"HDPE","Fresh water",2.19655442816502e-05,1.41150940079839e-05
"HDPE","Fresh water (MP)",1.2199383116765e-05,1.051643670346e-05
"HDPE","Subsurface soil (MP)",3.39461502951471e-05,2.84212973935668e-05
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.00069379649737809,0.000303616193865872
"PP","Soil (MP)",0.000414657651041264,0.000157439837054898
"PP","Fresh water",1.76849100445632e-05,1.17498502951416e-05
"PP","Fresh water (MP)",3.01055544297239e-05,2.40016744580133e-05
"PP","Subsurface soil (MP)",0.000100878066514706,7.46731373003318e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000290177283917873,0.000162805276531074
"PS","Soil (MP)",9.5627834913413e-05,3.37683621489418e-05
"PS","Fresh water",1.13776355637581e-05,9.05556313494259e-06
"PS","Fresh water (MP)",5.63955248326512e-06,4.6125752909585e-06
"PS","Subsurface soil (MP)",1.48579927818141e-05,1.30930702880299e-05
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.000965269089243035,0.000818154500959115
"EPS","Soil (MP)",6.983531049062e-05,2.09068051625566e-05
"EPS","Fresh water",3.65007230447724e-06,2.87460840448634e-06
"EPS","Fresh water (MP)",1.51909202629758e-06,1.06764653607621e-06
"EPS","Subsurface soil (MP)",8.54923927080701e-08,1.08467627256788e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.000808506194292789,0.000640580820551324
"PVC","Soil (MP)",0.000307993448564089,0.000115815290118427
"PVC","Fresh water",2.10907390129072e-06,2.12165334677794e-06
"PVC","Fresh water (MP)",3.573516922362e-05,2.09780033515647e-05
"PVC","Subsurface soil (MP)",5.10684085009385e-05,4.2853266552188e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00144900012802756,0.000893043762275364
"PET","Soil (MP)",0.000400287856739302,0.000200985420342208
"PET","Fresh water",4.83737645807317e-05,3.79817583963189e-05
"PET","Fresh water (MP)",3.03285347542747e-05,2.12969411768163e-05
"PET","Subsurface soil (MP)",8.74487201522e-05,5.96734059456877e-05
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
