"mat","dest","mean","sd"
"LDPE","Soil",0.000421308814796619,0.000229114959815217
"LDPE","Soil (MP)",0.000401927295804986,0.000149791458977444
"LDPE","Fresh water",5.66599057135367e-06,4.53811249951041e-06
"LDPE","Fresh water (MP)",4.06877887311601e-06,1.85489994435429e-06
"LDPE","Subsurface soil (MP)",4.44379014808436e-06,3.47289434840602e-06
"LDPE","Coastal and ocean water",3.73098204838054e-06,1.74186084051249e-06
"LDPE","Coastal and ocean water (MP)",4.80084577535644e-07,1.40659418494995e-07
"HDPE","Soil",0.00059588163483641,0.000456927149134646
"HDPE","Soil (MP)",0.00012661202846432,4.24603371204922e-05
"HDPE","Fresh water",5.42107626160647e-06,3.47677627515759e-06
"HDPE","Fresh water (MP)",5.419819239259e-06,2.5804609240288e-06
"HDPE","Subsurface soil (MP)",8.60928927066986e-06,6.2614538244252e-06
"HDPE","Coastal and ocean water",2.54918192972343e-06,1.18845127212683e-06
"HDPE","Coastal and ocean water (MP)",3.6952195460086e-07,1.16048758389279e-07
"PP","Soil",0.000292870384433164,0.000152321702923708
"PP","Soil (MP)",0.000154139164850369,4.34722598349452e-05
"PP","Fresh water",2.84713713957518e-06,1.75293865489781e-06
"PP","Fresh water (MP)",8.45924179716397e-06,4.87489801465463e-06
"PP","Subsurface soil (MP)",2.11975110836489e-05,1.39000702303379e-05
"PP","Coastal and ocean water",5.33089181809014e-07,2.91412163569649e-07
"PP","Coastal and ocean water (MP)",2.39447115869199e-07,1.59629651770503e-07
"PS","Soil",0.000100232877630344,6.49977595533886e-05
"PS","Soil (MP)",0.00011840954691662,4.28648095223441e-05
"PS","Fresh water",2.26429128041449e-06,1.77463891313324e-06
"PS","Fresh water (MP)",3.69412484955599e-06,1.62287765086346e-06
"PS","Subsurface soil (MP)",2.94732398582271e-06,2.34715074738689e-06
"PS","Coastal and ocean water",3.98627617996356e-07,3.25507811165152e-07
"PS","Coastal and ocean water (MP)",5.65338636273347e-08,5.71342495380014e-08
"EPS","Soil",0.00363055472601288,0.00309893046377906
"EPS","Soil (MP)",0.000111904738625745,3.29633124176398e-05
"EPS","Fresh water",5.30302647227381e-06,3.27555547522847e-06
"EPS","Fresh water (MP)",2.65372564292853e-06,1.09715199964792e-06
"EPS","Subsurface soil (MP)",5.24093928286669e-08,6.11562865848638e-08
"EPS","Coastal and ocean water",2.37000614531574e-06,1.80089458161387e-06
"EPS","Coastal and ocean water (MP)",3.56889727583572e-07,2.81719503015945e-07
"PVC","Soil",0.00465617024201209,0.00419428780800569
"PVC","Soil (MP)",0.000222521050322699,8.30686709240237e-05
"PVC","Fresh water",1.42073276952124e-06,1.34405166324296e-06
"PVC","Fresh water (MP)",2.13942381551988e-05,1.57934175089758e-05
"PVC","Subsurface soil (MP)",5.58332573332723e-05,4.58342688342517e-05
"PVC","Coastal and ocean water",2.74154914145493e-07,2.56353496730077e-07
"PVC","Coastal and ocean water (MP)",1.50263547870225e-06,1.3034599124527e-06
"PET","Soil",0.00298878491524299,0.00192889001093221
"PET","Soil (MP)",0.000273352104238894,0.000171591099408583
"PET","Fresh water",3.74917687317628e-05,2.58311128185194e-05
"PET","Fresh water (MP)",2.771031928906e-05,1.98793347881896e-05
"PET","Subsurface soil (MP)",9.11627777215171e-05,6.14188570428954e-05
"PET","Coastal and ocean water",5.68715427020645e-06,4.69741373323008e-06
"PET","Coastal and ocean water (MP)",2.78121510006922e-06,3.16098035180458e-06
