"mat","dest","mean","sd"
"LDPE","Soil",0.00235647226673184,0.00117165738291933
"LDPE","Soil (MP)",0.00115905095469225,0.000568527555432501
"LDPE","Fresh water",7.74653015969557e-05,6.21624607676863e-05
"LDPE","Fresh water (MP)",1.92787393367107e-06,8.11486915278796e-07
"LDPE","Subsurface soil (MP)",3.15425198968527e-07,1.59337160468352e-07
"LDPE","Coastal and ocean water",1.17381865303743e-05,5.48986820912428e-06
"LDPE","Coastal and ocean water (MP)",1.60145301282575e-06,5.23251556517016e-07
"HDPE","Soil",0.00334739304173242,0.00237140536373928
"HDPE","Soil (MP)",9.60842994095538e-05,3.16827589854874e-05
"HDPE","Fresh water",6.15038783449324e-05,4.15657228198123e-05
"HDPE","Fresh water (MP)",4.01709728266666e-06,1.56107880376416e-06
"HDPE","Subsurface soil (MP)",4.60972558004587e-06,2.50896783957818e-06
"HDPE","Coastal and ocean water",7.94633773266151e-06,3.61788915173945e-06
"HDPE","Coastal and ocean water (MP)",1.43591528206004e-06,8.47899780896504e-07
"PP","Soil",0.00200250107159966,0.00095563002636562
"PP","Soil (MP)",0.000181667517286936,6.92802932674469e-05
"PP","Fresh water",3.88226180136988e-05,2.46285219442667e-05
"PP","Fresh water (MP)",6.22034050788003e-06,2.78745228783232e-06
"PP","Subsurface soil (MP)",2.0891985644424e-05,1.29384194267665e-05
"PP","Coastal and ocean water",1.93254632302962e-06,8.63051817897473e-07
"PP","Coastal and ocean water (MP)",1.61491077090975e-06,2.0855677461835e-06
"PS","Soil",0.000902042660194938,0.000503002995100009
"PS","Soil (MP)",3.96892120983766e-05,2.11589708182169e-05
"PS","Fresh water",4.4684543353993e-05,3.65173780784144e-05
"PS","Fresh water (MP)",9.04706173724821e-07,4.46678409759168e-07
"PS","Subsurface soil (MP)",6.15940956865941e-07,5.59105504833093e-07
"PS","Coastal and ocean water",1.59165820291218e-06,1.17214663080811e-06
"PS","Coastal and ocean water (MP)",3.54726434568919e-07,4.37716080107196e-07
"EPS","Soil",0.00859250947418324,0.00740797395927921
"EPS","Soil (MP)",6.70440277095447e-05,2.06880806130887e-05
"EPS","Fresh water",2.10122613622314e-05,1.67415719028609e-05
"EPS","Fresh water (MP)",8.95862905123025e-07,5.44695820894601e-07
"EPS","Subsurface soil (MP)",1.02058293907526e-07,1.22159734351825e-07
"EPS","Coastal and ocean water",7.3956693974183e-06,6.37599524902868e-06
"EPS","Coastal and ocean water (MP)",9.17563868732595e-07,7.67615566726182e-07
"PVC","Soil",0.00655923943953447,0.0057339735221731
"PVC","Soil (MP)",0.000177885662494417,6.90046920943663e-05
"PVC","Fresh water",4.66413726141685e-06,4.26178281722742e-06
"PVC","Fresh water (MP)",1.38027368407296e-05,8.17668855271919e-06
"PVC","Subsurface soil (MP)",7.99927322438354e-06,6.15960335706659e-06
"PVC","Coastal and ocean water",2.34831084030774e-07,1.76681365139681e-07
"PVC","Coastal and ocean water (MP)",2.46059597203431e-06,2.45702427008208e-06
"PET","Soil",0.00424279790050112,0.00258823792855205
"PET","Soil (MP)",0.000315367720043601,0.000191844381974229
"PET","Fresh water",0.000110574119202395,8.61651643764556e-05
"PET","Fresh water (MP)",2.73356296742888e-05,1.89317362702115e-05
"PET","Subsurface soil (MP)",0.000103087652185752,6.45361973307885e-05
"PET","Coastal and ocean water",4.38462292359439e-06,3.33073080475368e-06
"PET","Coastal and ocean water (MP)",1.04253841277652e-05,1.63385135273078e-05
