"mat","dest","mean","sd"
"LDPE","Soil",0.000718552199620437,0.000332542331233285
"LDPE","Soil (MP)",0.00122787841886058,0.00069271959696954
"LDPE","Fresh water",1.45095322212479e-05,1.11353571153901e-05
"LDPE","Fresh water (MP)",2.74598575799105e-06,1.83662020246438e-06
"LDPE","Subsurface soil (MP)",5.23403467753015e-06,5.27945564031681e-06
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.000890073685933964,0.000583154196445384
"HDPE","Soil (MP)",8.59019675403437e-05,3.0461938927246e-05
"HDPE","Fresh water",1.71603021001037e-05,1.0837076143289e-05
"HDPE","Fresh water (MP)",5.96461134274314e-06,3.94183582242072e-06
"HDPE","Subsurface soil (MP)",1.42411563194989e-05,1.14407318338163e-05
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.000764945549201316,0.000360795129958277
"PP","Soil (MP)",0.000197378246726545,9.17342626911135e-05
"PP","Fresh water",1.34079547021369e-05,8.93828018713872e-06
"PP","Fresh water (MP)",1.31014141932949e-05,1.03492576579243e-05
"PP","Subsurface soil (MP)",4.66066130772322e-05,3.26208103748275e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000281219653975885,0.000171327560515026
"PS","Soil (MP)",5.78437501747227e-05,2.34439369185549e-05
"PS","Fresh water",8.79030124808072e-06,6.98659024790472e-06
"PS","Fresh water (MP)",2.72049953189499e-06,1.86725526274511e-06
"PS","Subsurface soil (MP)",5.06420380219544e-06,5.10587061868224e-06
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.00163307631999065,0.00141793902196686
"EPS","Soil (MP)",6.8746324254153e-05,2.05887039030701e-05
"EPS","Fresh water",5.78619889409575e-06,3.93513728488757e-06
"EPS","Fresh water (MP)",2.44231399697352e-06,1.59292525965086e-06
"EPS","Subsurface soil (MP)",8.47754783532721e-08,1.07639680677708e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.00130999070516029,0.00112686847903725
"PVC","Soil (MP)",0.00018425040718316,7.28388679019463e-05
"PVC","Fresh water",1.43964247968176e-06,1.48601592567688e-06
"PVC","Fresh water (MP)",1.8160003748291e-05,1.00708588229512e-05
"PVC","Subsurface soil (MP)",2.0591236644226e-05,1.76251467243416e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00155200723821987,0.00101350093986478
"PET","Soil (MP)",0.000269989797571922,0.000169257089241457
"PET","Fresh water",3.46375636011344e-05,2.73351418325546e-05
"PET","Fresh water (MP)",3.4061127266991e-05,2.28978406218285e-05
"PET","Subsurface soil (MP)",8.69595342607162e-05,5.94761038663677e-05
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
