"mat","dest","mean","sd"
"LDPE","Soil",0.00146267030881854,0.000739885929766602
"LDPE","Soil (MP)",0.00121531385043281,0.000695222376276712
"LDPE","Fresh water",7.75776458860314e-05,6.57730468493356e-05
"LDPE","Fresh water (MP)",1.92783731904702e-06,1.84119803987782e-06
"LDPE","Subsurface soil (MP)",7.37612594401179e-06,7.45282706815131e-06
"LDPE","Coastal and ocean water",2.65940354288829e-05,1.33954711570368e-05
"LDPE","Coastal and ocean water (MP)",4.54393860242128e-06,2.3381839011756e-06
"HDPE","Soil",0.00255530770015498,0.00150679345563599
"HDPE","Soil (MP)",0.00013138630611225,6.12502461233435e-05
"HDPE","Fresh water",7.09412869306338e-05,5.28532123378732e-05
"HDPE","Fresh water (MP)",4.5861035781197e-06,3.83542506675078e-06
"HDPE","Subsurface soil (MP)",1.82763941326145e-05,1.47785161931822e-05
"HDPE","Coastal and ocean water",2.04473820172658e-05,1.01776491142111e-05
"HDPE","Coastal and ocean water (MP)",5.5633958518878e-06,3.51203697465245e-06
"PP","Soil",0.00191282633092619,0.000860618965842372
"PP","Soil (MP)",0.00037018755924901,0.000169460350781459
"PP","Fresh water",5.31975671658157e-05,3.7725654846303e-05
"PP","Fresh water (MP)",9.96194584934202e-06,9.25157077459562e-06
"PP","Subsurface soil (MP)",6.02992088753179e-05,4.13993568941089e-05
"PP","Coastal and ocean water",8.45688963195524e-06,4.88699280114859e-06
"PP","Coastal and ocean water (MP)",1.36707507677957e-05,1.07600326395043e-05
"PS","Soil",0.000711633962986289,0.000384113403885844
"PS","Soil (MP)",7.06994041643695e-05,3.21160166521842e-05
"PS","Fresh water",4.64720768542836e-05,3.88320737910178e-05
"PS","Fresh water (MP)",1.7162262804507e-06,1.71883575139801e-06
"PS","Subsurface soil (MP)",7.0152612620548e-06,6.61168993527461e-06
"PS","Coastal and ocean water",6.55174218545239e-06,4.64024319961194e-06
"PS","Coastal and ocean water (MP)",4.72443702967187e-06,4.86277579170502e-06
"EPS","Soil",0.00395934335501279,0.00346202835913917
"EPS","Soil (MP)",5.70479731479707e-05,1.97574326777753e-05
"EPS","Fresh water",1.47277697820844e-05,1.48349685435168e-05
"EPS","Fresh water (MP)",3.57638220261202e-07,1.52000384607359e-07
"EPS","Subsurface soil (MP)",1.19718202134823e-07,1.46870986799452e-07
"EPS","Coastal and ocean water",5.26898114321826e-05,4.71598448038088e-05
"EPS","Coastal and ocean water (MP)",1.23262725966822e-05,7.83186337480983e-06
"PVC","Soil",0.00324857060970927,0.00279955777319127
"PVC","Soil (MP)",0.000278658451930687,0.000117653253644384
"PVC","Fresh water",6.24315718869598e-06,6.25397761614734e-06
"PVC","Fresh water (MP)",2.87053644602481e-05,1.82119597625592e-05
"PVC","Subsurface soil (MP)",2.84705934250961e-05,2.34984313923284e-05
"PVC","Coastal and ocean water",1.24441553323543e-06,9.69496510610448e-07
"PVC","Coastal and ocean water (MP)",2.70004935838058e-05,2.07777505146583e-05
"PET","Soil",0.00351994859760056,0.00193350667656979
"PET","Soil (MP)",0.000655692103051078,0.000276743825319998
"PET","Fresh water",0.00013553380721039,0.000116272456623533
"PET","Fresh water (MP)",2.12277775099838e-05,1.83271532244602e-05
"PET","Subsurface soil (MP)",0.000116754880528075,7.11639242738061e-05
"PET","Coastal and ocean water",2.12950225440831e-05,1.62876349748467e-05
"PET","Coastal and ocean water (MP)",5.84608559497352e-05,5.9205089401758e-05
