"mat","dest","mean","sd"
"LDPE","Soil",0.00139318419531281,0.00070236973941147
"LDPE","Soil (MP)",0.00121114152537911,0.000611289110355193
"LDPE","Fresh water",3.49582596126408e-05,2.76618982766123e-05
"LDPE","Fresh water (MP)",4.4723324113198e-06,3.90854917098495e-06
"LDPE","Subsurface soil (MP)",1.05394860916087e-05,1.14110840078707e-05
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.000767135127409765,0.000504297174282819
"HDPE","Soil (MP)",0.000139848353479359,4.35524822109784e-05
"HDPE","Fresh water",1.17639901440937e-05,7.6304745050692e-06
"HDPE","Fresh water (MP)",5.35951510040581e-06,3.1260932417599e-06
"HDPE","Subsurface soil (MP)",8.3191477835664e-06,6.96780536958219e-06
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.000982188579322671,0.000438679821750632
"PP","Soil (MP)",0.00029140454893367,0.000101927776752068
"PP","Fresh water",1.54204951085331e-05,9.30442389781205e-06
"PP","Fresh water (MP)",1.40028284066522e-05,1.28229742525343e-05
"PP","Subsurface soil (MP)",4.83525534561337e-05,3.68817818073499e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000527086772524355,0.000313607840367748
"PS","Soil (MP)",7.65151645327524e-05,3.48137315121519e-05
"PS","Fresh water",2.00659028796778e-05,1.56416993752538e-05
"PS","Fresh water (MP)",3.41978209732167e-06,3.77323113868901e-06
"PS","Subsurface soil (MP)",1.00356479851575e-05,1.10231918265334e-05
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.0044867999465021,0.00384122355544325
"EPS","Soil (MP)",6.96414467031412e-05,2.0925794006339e-05
"EPS","Fresh water",9.6428177059299e-06,7.02848717771295e-06
"EPS","Fresh water (MP)",1.04791837950753e-06,6.29064575115451e-07
"EPS","Subsurface soil (MP)",1.1752777761261e-07,1.41466820172397e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.00347955401957989,0.00311449265293357
"PVC","Soil (MP)",0.000287789251451535,0.000123618598988261
"PVC","Fresh water",2.56873932413422e-06,2.45626675056257e-06
"PVC","Fresh water (MP)",1.95618613694791e-05,1.51532383038171e-05
"PVC","Subsurface soil (MP)",3.81462816415654e-05,3.65126071373769e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00296756149274525,0.00176478002360029
"PET","Soil (MP)",0.000509960625024911,0.000238221101239867
"PET","Fresh water",6.24294487751533e-05,4.71546570322777e-05
"PET","Fresh water (MP)",3.18940114769217e-05,2.75933460661575e-05
"PET","Subsurface soil (MP)",0.000115266294118584,6.94360091932406e-05
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
