"mat","dest","mean","sd"
"LDPE","Soil",0.000733620248080879,0.000307735431857035
"LDPE","Soil (MP)",0.00122755447596222,0.000621471729127395
"LDPE","Fresh water",2.28286395243489e-05,1.76443572327421e-05
"LDPE","Fresh water (MP)",6.16945523452412e-06,5.45457205330176e-06
"LDPE","Subsurface soil (MP)",1.69866023855881e-05,1.43405393532321e-05
"LDPE","Coastal and ocean water",1.23965201167458e-05,7.2617061599729e-06
"LDPE","Coastal and ocean water (MP)",5.23144618703892e-06,3.97535734727547e-06
"HDPE","Soil",0.000727907957640529,0.000429627657518125
"HDPE","Soil (MP)",0.000160682860562435,4.09189029829467e-05
"HDPE","Fresh water",1.71744149781783e-05,1.16017949904888e-05
"HDPE","Fresh water (MP)",1.06311593384055e-05,7.84262294429519e-06
"HDPE","Subsurface soil (MP)",2.85508971526306e-05,2.1326512901232e-05
"HDPE","Coastal and ocean water",8.47413769564066e-06,4.28878986485974e-06
"HDPE","Coastal and ocean water (MP)",6.48552155806473e-06,6.11460303883745e-06
"PP","Soil",0.000761882299936594,0.000315711361916975
"PP","Soil (MP)",0.000355412112840467,0.000104123129291039
"PP","Fresh water",1.68305495322371e-05,1.17926835599541e-05
"PP","Fresh water (MP)",2.79723898585211e-05,2.61235191869616e-05
"PP","Subsurface soil (MP)",0.000100861627389545,7.0083663636799e-05
"PP","Coastal and ocean water",2.41062835611045e-06,1.70461359219641e-06
"PP","Coastal and ocean water (MP)",1.81797222416487e-05,1.94954140845572e-05
"PS","Soil",0.000291661492821985,0.000157193228408661
"PS","Soil (MP)",0.000117786126967699,3.22553116030755e-05
"PS","Fresh water",1.29615207156739e-05,9.94753542961741e-06
"PS","Fresh water (MP)",6.31138560358797e-06,4.50060762751818e-06
"PS","Subsurface soil (MP)",1.45807323410679e-05,1.17696384493505e-05
"PS","Coastal and ocean water",2.70850812159445e-07,1.89773571316423e-07
"PS","Coastal and ocean water (MP)",3.36049908206023e-06,3.48256544871232e-06
"EPS","Soil",0.00150826199599047,0.00125413453119956
"EPS","Soil (MP)",0.000107197485086628,2.73001874455717e-05
"EPS","Fresh water",4.9703572233406e-06,3.36215014508783e-06
"EPS","Fresh water (MP)",2.77844041286535e-06,1.07880767064042e-06
"EPS","Subsurface soil (MP)",7.74855631453008e-08,9.23803276243551e-08
"EPS","Coastal and ocean water",2.42304515301188e-06,2.07319591755084e-06
"EPS","Coastal and ocean water (MP)",1.72353868851396e-06,1.20573396540736e-06
"PVC","Soil",0.0010120454926254,0.000841466160723537
"PVC","Soil (MP)",0.000253961226083943,6.44076901965603e-05
"PVC","Fresh water",1.81196038475903e-06,1.73911834538768e-06
"PVC","Fresh water (MP)",2.50071499679828e-05,1.40538355586683e-05
"PVC","Subsurface soil (MP)",4.09365240098344e-05,3.16992680398498e-05
"PVC","Coastal and ocean water",4.68489586364857e-08,3.82216049783321e-08
"PVC","Coastal and ocean water (MP)",1.04656500974497e-05,9.37324403866332e-06
"PET","Soil",0.00158201565762074,0.000957788049319153
"PET","Soil (MP)",0.000335027426461451,0.00016996425945193
"PET","Fresh water",5.03667722221056e-05,4.25214387183617e-05
"PET","Fresh water (MP)",2.68456056611304e-05,2.21015705829709e-05
"PET","Subsurface soil (MP)",8.54387085467671e-05,5.63005276661059e-05
"PET","Coastal and ocean water",2.9301592178537e-06,2.85629980327315e-06
"PET","Coastal and ocean water (MP)",1.99602705774968e-05,1.81805040187837e-05
