"mat","dest","mean","sd"
"LDPE","Soil",0.00074217951056906,0.000332759109527175
"LDPE","Soil (MP)",0.00119770180934282,0.000652670791740284
"LDPE","Fresh water",1.73013258171585e-05,1.4491875657973e-05
"LDPE","Fresh water (MP)",9.24090530538295e-06,9.78325809481106e-06
"LDPE","Subsurface soil (MP)",1.91605951217209e-05,1.65165925286841e-05
"LDPE","Coastal and ocean water",0.000735487130398337,0.000461000452216761
"LDPE","Coastal and ocean water (MP)",0.000122003024735188,4.86366349046914e-05
"HDPE","Soil",0.000904179730870164,0.000568265083759292
"HDPE","Soil (MP)",0.000103883172176248,3.67553420637939e-05
"HDPE","Fresh water",1.96131683862264e-05,1.34463074187963e-05
"HDPE","Fresh water (MP)",1.8651769230731e-05,1.91957474112039e-05
"HDPE","Subsurface soil (MP)",3.91680313716876e-05,3.18159712919452e-05
"HDPE","Coastal and ocean water",0.0005355376632083,0.00033173977312059
"HDPE","Coastal and ocean water (MP)",9.6355188969201e-05,3.699092594453e-05
"PP","Soil",0.000797958768903151,0.00037258416965439
"PP","Soil (MP)",0.000245242355252384,0.000101141323966848
"PP","Fresh water",1.54401694745449e-05,1.05890111097422e-05
"PP","Fresh water (MP)",4.70040053767982e-05,4.72449010620926e-05
"PP","Subsurface soil (MP)",0.000113538788574264,8.38309961878311e-05
"PP","Coastal and ocean water",6.40767093173357e-05,2.15518821929873e-05
"PP","Coastal and ocean water (MP)",6.40318511957556e-05,3.04383362726075e-05
"PS","Soil",0.000315762318193552,0.00018336234486298
"PS","Soil (MP)",6.5227876292859e-05,2.4234257582156e-05
"PS","Fresh water",1.0617263626329e-05,9.25508925632372e-06
"PS","Fresh water (MP)",8.81578137337829e-06,9.1036272294138e-06
"PS","Subsurface soil (MP)",1.79952960560511e-05,1.56814720105262e-05
"PS","Coastal and ocean water",2.63498699278553e-06,2.01461268282131e-06
"PS","Coastal and ocean water (MP)",1.13540110562151e-05,8.80793992373525e-06
"EPS","Soil",0.00162279674367701,0.00145810756950568
"EPS","Soil (MP)",4.97341662830641e-05,1.92314661793064e-05
"EPS","Fresh water",3.86882054971241e-06,3.2001530108984e-06
"EPS","Fresh water (MP)",8.27941853053189e-07,4.63012511198639e-07
"EPS","Subsurface soil (MP)",8.48011622930814e-08,1.12239930086806e-07
"EPS","Coastal and ocean water",3.83570658122304e-05,3.41823716698549e-05
"EPS","Coastal and ocean water (MP)",2.07051601058496e-05,1.14717986844105e-05
"PVC","Soil",0.0013288855084739,0.00111270678698116
"PVC","Soil (MP)",0.000178276223684264,6.81578772040648e-05
"PVC","Fresh water",1.72686829006183e-06,1.9775978334261e-06
"PVC","Fresh water (MP)",4.01162039071589e-05,3.08244300792967e-05
"PVC","Subsurface soil (MP)",5.97296999635986e-05,5.00597067287989e-05
"PVC","Coastal and ocean water",5.13425526970656e-07,4.73676680713887e-07
"PVC","Coastal and ocean water (MP)",5.54910731166677e-05,3.48978514853341e-05
"PET","Soil",0.00163235237044111,0.00103341160857097
"PET","Soil (MP)",0.000183852148835439,0.000109508977685283
"PET","Fresh water",4.09913030766343e-05,3.45820872929716e-05
"PET","Fresh water (MP)",3.87315358267397e-05,3.57938507557676e-05
"PET","Subsurface soil (MP)",8.77342271841946e-05,5.95662958628023e-05
"PET","Coastal and ocean water",9.86506356535471e-06,8.16655748209992e-06
"PET","Coastal and ocean water (MP)",0.000100258681457716,9.55573457587286e-05
