"mat","dest","mean","sd"
"LDPE","Soil",0.000910804004415239,0.000385869004204883
"LDPE","Soil (MP)",0.00119067590459495,0.000651600474154637
"LDPE","Fresh water",1.70579109082134e-06,8.79029037142568e-07
"LDPE","Fresh water (MP)",5.06554950785842e-06,2.88763445917905e-06
"LDPE","Subsurface soil (MP)",1.49798506549076e-05,1.28503902830764e-05
"LDPE","Coastal and ocean water",0.000311875744286595,0.000196759862321805
"LDPE","Coastal and ocean water (MP)",5.3492495727402e-05,2.13657961606863e-05
"HDPE","Soil",0.00020741880541582,0.000100532050090489
"HDPE","Soil (MP)",0.000132295897581231,4.41192062921184e-05
"HDPE","Fresh water",1.06500256133908e-06,9.816249987975e-07
"HDPE","Fresh water (MP)",2.82023999136414e-06,9.70838249227423e-07
"HDPE","Subsurface soil (MP)",6.10452279992463e-06,4.38735470765392e-06
"HDPE","Coastal and ocean water",4.2028160922806e-05,2.33845414098759e-05
"HDPE","Coastal and ocean water (MP)",1.01113928239013e-05,3.23121110202622e-06
"PP","Soil",0.00103594859613876,0.00042645555222423
"PP","Soil (MP)",0.000345643831965361,0.000147087749995229
"PP","Fresh water",4.21342859907123e-06,3.72382891476307e-06
"PP","Fresh water (MP)",2.050361147529e-05,1.29515055342805e-05
"PP","Subsurface soil (MP)",9.62393328955927e-05,6.604373318608e-05
"PP","Coastal and ocean water",2.92425434555294e-05,9.63574585580587e-06
"PP","Coastal and ocean water (MP)",4.07551647458026e-05,2.93002858888471e-05
"PS","Soil",0.000632828978524798,0.000289114395475204
"PS","Soil (MP)",8.11527427696426e-05,2.95282204342675e-05
"PS","Fresh water",7.86241502097679e-07,5.06047527925492e-07
"PS","Fresh water (MP)",4.23984876050942e-06,2.63199320983385e-06
"PS","Subsurface soil (MP)",1.34876542284586e-05,1.11579889169008e-05
"PS","Coastal and ocean water",3.85702716678268e-06,3.27418998664801e-06
"PS","Coastal and ocean water (MP)",8.54548901716988e-06,7.07713776944026e-06
"EPS","Soil",0.000190469822303252,0.000168900962860893
"EPS","Soil (MP)",0.000117812293212215,4.43406557696099e-05
"EPS","Fresh water",6.35121614536063e-07,5.75789490154685e-07
"EPS","Fresh water (MP)",1.7997551889017e-06,4.6346330637448e-07
"EPS","Subsurface soil (MP)",1.63210025439718e-08,1.87201052122234e-08
"EPS","Coastal and ocean water",2.86446282252613e-06,2.62187523751476e-06
"EPS","Coastal and ocean water (MP)",3.92047060451834e-06,2.00270878090525e-06
"PVC","Soil",0.00108347582860539,0.0008152792481298
"PVC","Soil (MP)",0.000260313287541308,0.000105834047311354
"PVC","Fresh water",1.78571080773127e-07,1.38589145737553e-07
"PVC","Fresh water (MP)",1.75303208280402e-05,1.03425417243834e-05
"PVC","Subsurface soil (MP)",4.91814230723021e-05,3.97661036087558e-05
"PVC","Coastal and ocean water",8.68478199811497e-07,7.49706749504267e-07
"PVC","Coastal and ocean water (MP)",4.35689459737834e-05,3.05998799358069e-05
"PET","Soil",0.00210080464236069,0.00119643354936537
"PET","Soil (MP)",0.000360473374545376,0.000169533610497412
"PET","Fresh water",7.47884996211824e-06,6.06517090717675e-06
"PET","Fresh water (MP)",3.343796096162e-05,2.19013233279156e-05
"PET","Subsurface soil (MP)",0.000106747002263138,6.60982810429661e-05
"PET","Coastal and ocean water",1.39741113900122e-05,1.41212787586626e-05
"PET","Coastal and ocean water (MP)",8.0496569255083e-05,7.49086169634374e-05
