"mat","dest","mean","sd"
"LDPE","Soil",0.00321942358247787,0.00181783771315873
"LDPE","Soil (MP)",0.00117392895308151,0.000665554452951289
"LDPE","Fresh water",2.51802242694828e-05,2.51050260436433e-05
"LDPE","Fresh water (MP)",3.46219681672052e-07,1.25895735412277e-07
"LDPE","Subsurface soil (MP)",3.46359853053877e-07,1.87823920177039e-07
"LDPE","Coastal and ocean water",0.000285628146533339,0.000197058099916469
"LDPE","Coastal and ocean water (MP)",1.12293985078488e-05,4.43693519646101e-06
"HDPE","Soil",0.00533701595527636,0.00421790892640676
"HDPE","Soil (MP)",4.86221402112199e-05,2.32360735755579e-05
"HDPE","Fresh water",2.67334813697517e-05,2.10505589310421e-05
"HDPE","Fresh water (MP)",1.23661064235566e-06,6.92287545622249e-07
"HDPE","Subsurface soil (MP)",5.06896298452468e-06,3.1311140584073e-06
"HDPE","Coastal and ocean water",0.000212167616847978,0.000143232963620096
"HDPE","Coastal and ocean water (MP)",1.09080768519703e-05,4.70142094390952e-06
"PP","Soil",0.00304150824591173,0.00164627355444118
"PP","Soil (MP)",0.000134666125167006,7.87033458329318e-05
"PP","Fresh water",1.73533785055351e-05,1.22274864214041e-05
"PP","Fresh water (MP)",3.43628146248732e-06,2.06674920249828e-06
"PP","Subsurface soil (MP)",2.35016167116107e-05,1.61688424816504e-05
"PP","Coastal and ocean water",0.000113821081152337,7.83788605083191e-05
"PP","Coastal and ocean water (MP)",1.55717302804539e-05,1.17290541575462e-05
"PS","Soil",0.00090609676191523,0.000523418282231195
"PS","Soil (MP)",3.30808077479712e-05,1.88946107164826e-05
"PS","Fresh water",1.32892123992595e-05,1.34812496764311e-05
"PS","Fresh water (MP)",4.31108825637387e-07,2.85948970275009e-07
"PS","Subsurface soil (MP)",5.1182304714868e-07,5.21364700298267e-07
"PS","Coastal and ocean water",0.000121401856223463,0.000100794302369891
"PS","Coastal and ocean water (MP)",5.55432241181565e-06,6.02817621043661e-06
"EPS","Soil",0.0129020907097994,0.0109256526751594
"EPS","Soil (MP)",5.20105023091554e-05,1.92856085914653e-05
"EPS","Fresh water",1.48707152060036e-05,1.07170068952965e-05
"EPS","Fresh water (MP)",6.97540189783131e-07,4.55257909820194e-07
"EPS","Subsurface soil (MP)",9.47069826792762e-08,1.17134177803717e-07
"EPS","Coastal and ocean water",0.000318216011952992,0.000251920091389833
"EPS","Coastal and ocean water (MP)",1.61486953063133e-05,9.70113793961802e-06
"PVC","Soil",0.0100055855275276,0.00874678169035581
"PVC","Soil (MP)",0.000136976038192748,5.69056708599039e-05
"PVC","Fresh water",1.11951992621198e-06,1.24494521690532e-06
"PVC","Fresh water (MP)",5.00182087647085e-06,3.00926205397937e-06
"PVC","Subsurface soil (MP)",7.36700196814857e-06,5.93511265676173e-06
"PVC","Coastal and ocean water",1.05489164430576e-05,9.68781078765106e-06
"PVC","Coastal and ocean water (MP)",4.88844780989024e-05,3.00194204223055e-05
"PET","Soil",0.00473026175780837,0.00278385443497737
"PET","Soil (MP)",0.000180610834127323,0.000126965913583555
"PET","Fresh water",3.50549338139421e-05,2.77233100082961e-05
"PET","Fresh water (MP)",2.21219833244989e-05,1.32621836404371e-05
"PET","Subsurface soil (MP)",9.7775091856171e-05,6.27179442596523e-05
"PET","Coastal and ocean water",0.00025077747025452,0.000202229906420929
"PET","Coastal and ocean water (MP)",7.92801830121331e-05,7.74568832745288e-05
