"mat","dest","mean","sd"
"LDPE","Soil",0.000715740151535302,0.000331300604586266
"LDPE","Soil (MP)",0.000749434052125405,0.000330701470933334
"LDPE","Fresh water",3.37915945274556e-05,2.78003460171932e-05
"LDPE","Fresh water (MP)",2.97071540500826e-06,2.02075135018801e-06
"LDPE","Subsurface soil (MP)",1.32160438220133e-05,9.78728840103982e-06
"LDPE","Coastal and ocean water",7.13695596480722e-05,3.88077250355793e-05
"LDPE","Coastal and ocean water (MP)",1.49502205671528e-05,4.83531305831499e-06
"HDPE","Soil",0.00164846774510657,0.00103296120616526
"HDPE","Soil (MP)",0.000135523962797155,3.75379033093835e-05
"HDPE","Fresh water",4.45551560392219e-05,3.35932452650132e-05
"HDPE","Fresh water (MP)",5.15335221345643e-06,5.64602984310892e-06
"HDPE","Subsurface soil (MP)",4.73656908940241e-05,3.22478358405707e-05
"HDPE","Coastal and ocean water",9.53072343148796e-05,4.89133382373036e-05
"HDPE","Coastal and ocean water (MP)",2.69633387746137e-05,1.21822040856838e-05
"PP","Soil",0.00107981338581432,0.000470719248957713
"PP","Soil (MP)",0.0002648942081588,8.19418435875453e-05
"PP","Fresh water",2.76457162239014e-05,2.07098067634481e-05
"PP","Fresh water (MP)",8.7664453506402e-06,1.34806557652722e-05
"PP","Subsurface soil (MP)",0.000113454383301031,7.20224177613967e-05
"PP","Coastal and ocean water",1.41025032821825e-05,4.34395501210096e-06
"PP","Coastal and ocean water (MP)",3.44717096909713e-05,2.57961414045479e-05
"PS","Soil",0.000564876229895166,0.000281399308881661
"PS","Soil (MP)",9.35933968774514e-05,2.74232988180965e-05
"PS","Fresh water",3.27925252359545e-05,2.553949841826e-05
"PS","Fresh water (MP)",2.73785400476172e-06,2.77251968921693e-06
"PS","Subsurface soil (MP)",2.12900470919748e-05,1.55634202473458e-05
"PS","Coastal and ocean water",3.0907818157132e-06,2.02331363505172e-06
"PS","Coastal and ocean water (MP)",7.0367147856251e-06,5.42465513362508e-06
"EPS","Soil",0.00336310524733465,0.00289870543198339
"EPS","Soil (MP)",6.71540129267256e-05,1.99872333424378e-05
"EPS","Fresh water",1.22103377229494e-05,1.0878910798925e-05
"EPS","Fresh water (MP)",7.29266444340469e-07,4.23961221678178e-07
"EPS","Subsurface soil (MP)",1.07197152933315e-07,1.27579474577689e-07
"EPS","Coastal and ocean water",8.68677154911842e-06,7.16210411757084e-06
"EPS","Coastal and ocean water (MP)",2.6904281784931e-06,2.06790023137916e-06
"PVC","Soil",0.00229561912746706,0.00192439556871476
"PVC","Soil (MP)",0.000234019559056401,6.14545197269881e-05
"PVC","Fresh water",3.69742041892578e-06,3.45327148534138e-06
"PVC","Fresh water (MP)",2.21404705936082e-05,1.28747146994262e-05
"PVC","Subsurface soil (MP)",5.97666954904228e-05,4.12892545873583e-05
"PVC","Coastal and ocean water",4.91863657071472e-07,3.55044626585749e-07
"PVC","Coastal and ocean water (MP)",2.18323497309441e-05,1.57668184685363e-05
"PET","Soil",0.0023312695362972,0.00136830657841888
"PET","Soil (MP)",0.000271922913972402,0.000139164199837427
"PET","Fresh water",8.03817929466612e-05,6.94418631608458e-05
"PET","Fresh water (MP)",8.83291154096676e-06,1.00387252442093e-05
"PET","Subsurface soil (MP)",8.86089213728524e-05,5.26761026838023e-05
"PET","Coastal and ocean water",1.44096867232586e-05,8.62271436623968e-06
"PET","Coastal and ocean water (MP)",3.15181351164332e-05,2.21647413235997e-05
