"mat","dest","mean","sd"
"LDPE","Soil",0.00105556233478928,0.000175136114852064
"LDPE","Soil (MP)",0.000893321597936919,0.000127577394211293
"LDPE","Fresh water",2.1473298481256e-05,5.55229660042029e-06
"LDPE","Fresh water (MP)",4.18328031811783e-06,9.83507654349991e-07
"LDPE","Subsurface soil (MP)",1.17421807230294e-05,3.10318955460226e-06
"LDPE","Coastal and ocean water",7.68267744264106e-05,1.60676570195874e-05
"LDPE","Coastal and ocean water (MP)",1.28610357567734e-05,1.61677346968058e-06
"HDPE","Soil",0.00166012680719134,0.000360125424681282
"HDPE","Soil (MP)",0.000139704032923124,1.28528442720131e-05
"HDPE","Fresh water",2.18742539298676e-05,4.77807086159391e-06
"HDPE","Fresh water (MP)",7.91277462610148e-06,2.00295259748538e-06
"HDPE","Subsurface soil (MP)",2.79903278580609e-05,6.75930911439606e-06
"HDPE","Coastal and ocean water",6.46463780603689e-05,1.30521309051913e-05
"HDPE","Coastal and ocean water (MP)",1.40177011016741e-05,2.28882727086952e-06
"PP","Soil",0.00122536234197669,0.00018577814106008
"PP","Soil (MP)",0.000299265260491889,3.14239736389053e-05
"PP","Fresh water",1.63889453145931e-05,3.5426761951412e-06
"PP","Fresh water (MP)",1.82822692901401e-05,5.65657206621134e-06
"PP","Subsurface soil (MP)",8.32409164449831e-05,1.87223212197044e-05
"PP","Coastal and ocean water",1.50409750452404e-05,3.18532832557815e-06
"PP","Coastal and ocean water (MP)",1.84904984371622e-05,5.60288174310752e-06
"PS","Soil",0.000570344388978267,0.0001076685717401
"PS","Soil (MP)",0.0001004659889659,1.01054110592637e-05
"PS","Fresh water",1.47014476217221e-05,3.62525423338001e-06
"PS","Fresh water (MP)",4.38694630732733e-06,1.06772386010158e-06
"PS","Subsurface soil (MP)",1.27499984407474e-05,3.379474805567e-06
"PS","Coastal and ocean water",8.65872114759554e-06,3.61120484396155e-06
"PS","Coastal and ocean water (MP)",3.73204857517842e-06,1.12070641078446e-06
"EPS","Soil",0.00369655185584703,0.00105055972135145
"EPS","Soil (MP)",8.72319361131272e-05,7.83880737563915e-06
"EPS","Fresh water",8.59832038673747e-06,1.72655824515067e-06
"EPS","Fresh water (MP)",2.31184919807692e-06,3.38830998853315e-07
"EPS","Subsurface soil (MP)",7.83076039174455e-08,2.76167393130334e-08
"EPS","Coastal and ocean water",1.7950107645755e-05,6.43971960471021e-06
"EPS","Coastal and ocean water (MP)",3.56416342839138e-06,8.957177691002e-07
"PVC","Soil",0.0027920906345315,0.000790708066667196
"PVC","Soil (MP)",0.000244229759791902,2.28013376789983e-05
"PVC","Fresh water",2.00135599438121e-06,5.9358500630932e-07
"PVC","Fresh water (MP)",1.98921845226585e-05,3.97258584792845e-06
"PVC","Subsurface soil (MP)",4.30128564039749e-05,1.07196031949047e-05
"PVC","Coastal and ocean water",1.08656125039919e-06,4.69096555845629e-07
"PVC","Coastal and ocean water (MP)",1.69645610397462e-05,4.04998838576136e-06
"PET","Soil",0.00267562863159628,0.000541807204283419
"PET","Soil (MP)",0.00031180402838972,0.000102182410094612
"PET","Fresh water",4.84566155712757e-05,1.33937978872467e-05
"PET","Fresh water (MP)",2.28898850698869e-05,6.67029350376368e-06
"PET","Subsurface soil (MP)",8.57782870659398e-05,1.77081559717116e-05
"PET","Coastal and ocean water",2.61754204156497e-05,1.10157081549433e-05
"PET","Coastal and ocean water (MP)",2.60512178300448e-05,1.14277814716918e-05
