"mat","dest","mean","sd"
"LDPE","Soil",0.000112315583133204,7.15947037629085e-05
"LDPE","Soil (MP)",0.000363520733477973,0.00017052582385843
"LDPE","Fresh water",4.41889721023716e-06,4.51028113788614e-06
"LDPE","Fresh water (MP)",5.23196175955242e-06,2.24738024424556e-06
"LDPE","Subsurface soil (MP)",3.77976368096107e-06,3.68873524313044e-06
"LDPE","Coastal and ocean water",3.51113126794987e-05,2.67288251831285e-05
"LDPE","Coastal and ocean water (MP)",5.51880287580033e-06,3.1155174030609e-06
"HDPE","Soil",0.000618350627669434,0.000306406972650634
"HDPE","Soil (MP)",0.00026393180986133,7.91073066126291e-05
"HDPE","Fresh water",1.89497273829228e-05,1.15440331036063e-05
"HDPE","Fresh water (MP)",1.72449849590736e-05,8.01738308921944e-06
"HDPE","Subsurface soil (MP)",2.92573100308556e-05,2.18548627942882e-05
"HDPE","Coastal and ocean water",9.44417286618187e-05,5.27888341905689e-05
"HDPE","Coastal and ocean water (MP)",1.52496177039114e-05,4.6222667874153e-06
"PP","Soil",0.000508965277715567,0.000210586552507524
"PP","Soil (MP)",0.000565010089063949,0.00017832646518022
"PP","Fresh water",1.4359133575573e-05,9.7933275872593e-06
"PP","Fresh water (MP)",3.55308697397707e-05,1.99423420558587e-05
"PP","Subsurface soil (MP)",7.8289518503649e-05,5.4068449060312e-05
"PP","Coastal and ocean water",1.053164357678e-05,2.69904362982356e-06
"PP","Coastal and ocean water (MP)",5.48540305446497e-06,1.89428838318984e-06
"PS","Soil",0.00025463426247961,0.00014712602660648
"PS","Soil (MP)",0.00014667611942383,5.63322790033578e-05
"PS","Fresh water",1.35660571970946e-05,1.1310423193043e-05
"PS","Fresh water (MP)",1.06019547139284e-05,6.72344397139853e-06
"PS","Subsurface soil (MP)",1.74883273268224e-05,1.49339254212929e-05
"PS","Coastal and ocean water",1.05001733682588e-06,7.8736483824945e-07
"PS","Coastal and ocean water (MP)",6.79952272370617e-07,7.07471432204476e-07
"EPS","Soil",0.000290824369301363,0.000260656661550637
"EPS","Soil (MP)",0.000118130730345501,4.02579018829016e-05
"EPS","Fresh water",3.27084062010224e-06,2.34814642831486e-06
"EPS","Fresh water (MP)",5.29426961236169e-06,2.25408932930885e-06
"EPS","Subsurface soil (MP)",2.34995962984228e-08,2.74722688611534e-08
"EPS","Coastal and ocean water",3.52710490446227e-07,2.80040950886257e-07
"EPS","Coastal and ocean water (MP)",3.70925716808092e-07,3.18189156036506e-07
"PVC","Soil",0.000833557069243059,0.000685654010719909
"PVC","Soil (MP)",0.000474622766517632,0.000197879746821607
"PVC","Fresh water",2.44603428256828e-06,2.64420290404362e-06
"PVC","Fresh water (MP)",6.37568074246299e-05,3.33959473313603e-05
"PVC","Subsurface soil (MP)",5.91130219986311e-05,5.05874112359508e-05
"PVC","Coastal and ocean water",2.13288792323903e-07,1.9653016596898e-07
"PVC","Coastal and ocean water (MP)",3.34045791344817e-06,3.04861899954043e-06
"PET","Soil",0.0015356803155167,0.000893139603744691
"PET","Soil (MP)",0.000570290215733648,0.000244415398168789
"PET","Fresh water",5.7995968525108e-05,4.72502450308231e-05
"PET","Fresh water (MP)",6.67491740379261e-05,5.0875708148952e-05
"PET","Subsurface soil (MP)",8.75370248537032e-05,5.99312976664792e-05
"PET","Coastal and ocean water",4.13942804255756e-06,3.43123735209217e-06
"PET","Coastal and ocean water (MP)",5.81989232573496e-06,6.5988924733971e-06
