"mat","dest","mean","sd"
"LDPE","Soil",0.000842951653603701,0.00042565554221406
"LDPE","Soil (MP)",0.000809412577904244,0.00034794276607425
"LDPE","Fresh water",1.04123041997895e-05,8.7315797968002e-06
"LDPE","Fresh water (MP)",2.26647139242491e-06,1.31887515399278e-06
"LDPE","Subsurface soil (MP)",8.97818599771125e-06,7.2232347023481e-06
"LDPE","Coastal and ocean water",6.02419369680841e-05,2.98268344256304e-05
"LDPE","Coastal and ocean water (MP)",8.04957833513143e-06,2.53741800504212e-06
"HDPE","Soil",0.00216136135497357,0.00147657576407132
"HDPE","Soil (MP)",0.000200892488129222,7.39662835932383e-05
"HDPE","Fresh water",1.53188337980394e-05,1.09922755302992e-05
"HDPE","Fresh water (MP)",4.33728022070564e-06,4.01881816440216e-06
"HDPE","Subsurface soil (MP)",3.18351582257054e-05,2.56637409353016e-05
"HDPE","Coastal and ocean water",7.91299940549532e-05,3.89017890885812e-05
"HDPE","Coastal and ocean water (MP)",1.38198522335724e-05,6.46181520970834e-06
"PP","Soil",0.00138947004419212,0.000628862293322215
"PP","Soil (MP)",0.000506140538888991,0.000155305531791
"PP","Fresh water",9.63202666599819e-06,6.53390149438047e-06
"PP","Fresh water (MP)",1.07553441332399e-05,9.85946549590347e-06
"PP","Subsurface soil (MP)",8.53857881561957e-05,5.88594401254799e-05
"PP","Coastal and ocean water",2.99265627519995e-05,1.78353202506552e-05
"PP","Coastal and ocean water (MP)",1.99768029435044e-05,1.37271742139768e-05
"PS","Soil",0.000417282321310242,0.0002374069566962
"PS","Soil (MP)",0.000140485973719803,3.82446156606498e-05
"PS","Fresh water",7.34578102435909e-06,5.98386693426224e-06
"PS","Fresh water (MP)",2.50435677173909e-06,1.50256441328838e-06
"PS","Subsurface soil (MP)",1.08583153226894e-05,8.90973600707322e-06
"PS","Coastal and ocean water",2.10871046282731e-05,1.70618758545503e-05
"PS","Coastal and ocean water (MP)",3.82167320345358e-06,2.27175977313624e-06
"EPS","Soil",0.0043260007191891,0.00360154734424752
"EPS","Soil (MP)",9.0923227200123e-05,2.26250840150199e-05
"EPS","Fresh water",6.06694014945143e-06,3.95661241962924e-06
"EPS","Fresh water (MP)",1.24849768850396e-06,5.22010884100405e-07
"EPS","Subsurface soil (MP)",7.98448102662817e-08,9.64556966556505e-08
"EPS","Coastal and ocean water",1.64111714036868e-05,1.04701594805411e-05
"EPS","Coastal and ocean water (MP)",2.47364370829772e-06,1.47207918105938e-06
"PVC","Soil",0.00241160016636129,0.00220554337462141
"PVC","Soil (MP)",0.000314061225879027,9.98879682895605e-05
"PVC","Fresh water",7.43057814188375e-07,7.80426776780702e-07
"PVC","Fresh water (MP)",8.17664230448607e-06,5.58470919561302e-06
"PVC","Subsurface soil (MP)",3.24307021518047e-05,2.72689287089912e-05
"PVC","Coastal and ocean water",2.07434507695978e-06,2.15609663510679e-06
"PVC","Coastal and ocean water (MP)",1.90430007445993e-05,1.12119462244917e-05
"PET","Soil",0.00303682185897659,0.00191274483579801
"PET","Soil (MP)",0.000502394492970587,0.000227112981307338
"PET","Fresh water",2.64869404019712e-05,2.21519518859709e-05
"PET","Fresh water (MP)",1.25700180868127e-05,1.07462517148433e-05
"PET","Subsurface soil (MP)",8.77780084020472e-05,5.98959154478513e-05
"PET","Coastal and ocean water",7.2943983720705e-05,6.15146187073598e-05
"PET","Coastal and ocean water (MP)",2.43286056060506e-05,1.68154763145695e-05
