"mat","dest","mean","sd"
"LDPE","Soil",0.00138133029372615,0.000705300567321108
"LDPE","Soil (MP)",0.00118402434965616,0.000670297242847195
"LDPE","Fresh water",2.6570478545636e-05,2.32597434523645e-05
"LDPE","Fresh water (MP)",3.29739576190897e-06,4.20824747032938e-06
"LDPE","Subsurface soil (MP)",5.40219986514683e-06,5.22728766648266e-06
"LDPE","Coastal and ocean water",0.000271946196559348,0.000162324854020899
"LDPE","Coastal and ocean water (MP)",4.19550652556211e-05,1.72034436763789e-05
"HDPE","Soil",0.00211263948468082,0.00138144462878067
"HDPE","Soil (MP)",7.96797736356647e-05,3.16118209916585e-05
"HDPE","Fresh water",3.23672425565569e-05,2.23580100388544e-05
"HDPE","Fresh water (MP)",7.58708283346921e-06,9.225798984638e-06
"HDPE","Subsurface soil (MP)",1.37088965670541e-05,1.1392918259639e-05
"HDPE","Coastal and ocean water",0.000198156896791467,0.000116509347202751
"HDPE","Coastal and ocean water (MP)",3.35797337786334e-05,1.30265489960587e-05
"PP","Soil",0.00156390932054879,0.000730900084486135
"PP","Soil (MP)",0.00023182241004604,0.000100714439607411
"PP","Fresh water",2.39827559736287e-05,1.61077335455222e-05
"PP","Fresh water (MP)",2.0109981619752e-05,2.51410382026045e-05
"PP","Subsurface soil (MP)",4.68154681231082e-05,3.23777382163644e-05
"PP","Coastal and ocean water",3.29156047972688e-05,1.33223923406688e-05
"PP","Coastal and ocean water (MP)",2.50717445289851e-05,1.42453628635028e-05
"PS","Soil",0.000620134340878755,0.000344327180411479
"PS","Soil (MP)",4.95304615211325e-05,2.113770991273e-05
"PS","Fresh water",1.51127094699463e-05,1.31957050467148e-05
"PS","Fresh water (MP)",3.10279880214526e-06,3.93278909701013e-06
"PS","Subsurface soil (MP)",5.1660551774172e-06,4.94904966165407e-06
"PS","Coastal and ocean water",1.18364183970042e-05,1.10115674004519e-05
"PS","Coastal and ocean water (MP)",6.20406454224683e-06,6.23008370913635e-06
"EPS","Soil",0.00392233967112654,0.0034612699424052
"EPS","Soil (MP)",5.22418278443736e-05,1.95286592866893e-05
"EPS","Fresh water",5.98397360872326e-06,5.24936966743733e-06
"EPS","Fresh water (MP)",5.14597596042583e-07,2.91620649503681e-07
"EPS","Subsurface soil (MP)",8.76352920460491e-08,1.11987634665523e-07
"EPS","Coastal and ocean water",7.10453871766607e-05,6.21356066010791e-05
"EPS","Coastal and ocean water (MP)",1.63516314070761e-05,9.91987187891487e-06
"PVC","Soil",0.00315806556564078,0.00273908881085329
"PVC","Soil (MP)",0.000195786406971658,7.47512953057179e-05
"PVC","Fresh water",2.00472934519968e-06,2.04462853465438e-06
"PVC","Fresh water (MP)",1.87556893868887e-05,1.65351103262579e-05
"PVC","Subsurface soil (MP)",2.09211804728165e-05,1.71100574418201e-05
"PVC","Coastal and ocean water",1.86413452288363e-06,1.81632150873297e-06
"PVC","Coastal and ocean water (MP)",3.96851342041481e-05,2.67813556464257e-05
"PET","Soil",0.00294789730413939,0.00169285222184853
"PET","Soil (MP)",0.000374121616348241,0.000156735883115822
"PET","Fresh water",5.31535378340047e-05,3.98936202568991e-05
"PET","Fresh water (MP)",4.37923366611502e-05,4.71931733245255e-05
"PET","Subsurface soil (MP)",8.651400269984e-05,5.51667452626598e-05
"PET","Coastal and ocean water",3.62543011338798e-05,3.3485625767205e-05
"PET","Coastal and ocean water (MP)",7.63416892577246e-05,7.53622114942089e-05
