"mat","dest","mean","sd"
"LDPE","Soil",0.00124416260151769,0.000585137786533482
"LDPE","Soil (MP)",0.00113784649894109,0.000523646423017424
"LDPE","Fresh water",4.77277819563004e-05,3.70407165714578e-05
"LDPE","Fresh water (MP)",6.00419376436502e-06,4.34824898695169e-06
"LDPE","Subsurface soil (MP)",1.43847575083827e-05,1.16678386961994e-05
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.00135318550732293,0.000832135109371487
"HDPE","Soil (MP)",0.00020344147844018,6.11413839922263e-05
"HDPE","Fresh water",2.83120736006282e-05,1.99812861090554e-05
"HDPE","Fresh water (MP)",8.32029972966632e-06,5.77989697522965e-06
"HDPE","Subsurface soil (MP)",2.13982272612406e-05,1.51386050642183e-05
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.0013314790061781,0.000577664204470004
"PP","Soil (MP)",0.000531164986209353,0.000193815337803455
"PP","Fresh water",2.87360889556992e-05,1.97140606217673e-05
"PP","Fresh water (MP)",2.32757054865965e-05,2.1235190705474e-05
"PP","Subsurface soil (MP)",8.74935788558563e-05,5.81799375097199e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000565980683776754,0.000294233243039863
"PS","Soil (MP)",0.000148881263656989,4.75903731347098e-05
"PS","Fresh water",2.85793895485202e-05,2.16930779040287e-05
"PS","Fresh water (MP)",5.81621505485973e-06,3.99642924860447e-06
"PS","Subsurface soil (MP)",1.37126120386222e-05,1.10085648226473e-05
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.0039304090790183,0.00330377919082944
"EPS","Soil (MP)",0.000104417396361465,2.54688928208331e-05
"EPS","Fresh water",1.57122951589058e-05,9.93983991041271e-06
"EPS","Fresh water (MP)",3.14544313562035e-06,1.31986891194782e-06
"EPS","Subsurface soil (MP)",1.15846338742583e-07,1.31481033909797e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.00181508277456343,0.00156211926266934
"PVC","Soil (MP)",0.000304948926827545,8.61315715538575e-05
"PVC","Fresh water",2.36786592582944e-06,2.09325646771616e-06
"PVC","Fresh water (MP)",1.90015600291014e-05,9.93981322817599e-06
"PVC","Subsurface soil (MP)",2.95139087778186e-05,2.13204848362782e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00304841284500983,0.00185139724427653
"PET","Soil (MP)",0.000666313950256228,0.000289628176420782
"PET","Fresh water",9.08675901929527e-05,7.60983167864822e-05
"PET","Fresh water (MP)",3.40031823444696e-05,2.75549774440826e-05
"PET","Subsurface soil (MP)",0.000119688791996251,7.29038847598354e-05
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
