"mat","dest","mean","sd"
"LDPE","Soil",0.000800339512204315,0.000354190525528166
"LDPE","Soil (MP)",0.00122512453319812,0.000687869864787226
"LDPE","Fresh water",2.35881369721469e-05,1.92819312947751e-05
"LDPE","Fresh water (MP)",7.32813467693148e-06,6.03532590411133e-06
"LDPE","Subsurface soil (MP)",1.79223870784407e-05,1.48609465881664e-05
"LDPE","Coastal and ocean water",0.000166808947365413,0.000107482074044745
"LDPE","Coastal and ocean water (MP)",2.84240768181892e-05,1.22178823153071e-05
"HDPE","Soil",0.000464067494780025,0.000255403414361629
"HDPE","Soil (MP)",0.000140438261828809,3.9517197680476e-05
"HDPE","Fresh water",1.09671088134935e-05,7.71016016825663e-06
"HDPE","Fresh water (MP)",9.09919285828111e-06,5.10476794125431e-06
"HDPE","Subsurface soil (MP)",1.78225604788163e-05,1.22885460956048e-05
"HDPE","Coastal and ocean water",5.60881092691649e-05,3.05268736555492e-05
"HDPE","Coastal and ocean water (MP)",1.13688187421225e-05,4.63530202760545e-06
"PP","Soil",0.00026520725401835,0.000115633090047444
"PP","Soil (MP)",0.000191882638424677,4.97055741357642e-05
"PP","Fresh water",5.51800781136945e-06,4.14333531162322e-06
"PP","Fresh water (MP)",1.40171580910654e-05,9.15204806799012e-06
"PP","Subsurface soil (MP)",3.43467871682711e-05,2.20043644449026e-05
"PP","Coastal and ocean water",4.70482622455183e-06,1.22602579882394e-06
"PP","Coastal and ocean water (MP)",6.78271521457729e-06,6.8998607286775e-06
"PS","Soil",0.000156963474622941,8.21531602305581e-05
"PS","Soil (MP)",0.000116852726196063,3.93822048854739e-05
"PS","Fresh water",5.00968925542344e-06,4.19272063968677e-06
"PS","Fresh water (MP)",4.94635038248824e-06,2.26424191147688e-06
"PS","Subsurface soil (MP)",5.43410947535903e-06,4.14973155654821e-06
"PS","Coastal and ocean water",8.47629906434755e-07,6.02568523249869e-07
"PS","Coastal and ocean water (MP)",1.47293765384694e-06,1.61619251294302e-06
"EPS","Soil",0.00142658116235693,0.00120740377160729
"EPS","Soil (MP)",6.690959021029e-05,1.97415261286355e-05
"EPS","Fresh water",8.07851311262716e-06,5.32447843845e-06
"EPS","Fresh water (MP)",4.18589381207672e-06,2.70355919600318e-06
"EPS","Subsurface soil (MP)",9.44457847400295e-08,1.13294973683901e-07
"EPS","Coastal and ocean water",7.01972899917048e-06,5.89015440944966e-06
"EPS","Coastal and ocean water (MP)",5.64061886446801e-06,4.10996237761612e-06
"PVC","Soil",0.000992569864961622,0.000789567927820281
"PVC","Soil (MP)",0.000246983142254908,6.2878820652373e-05
"PVC","Fresh water",1.91818353223487e-06,1.88581772819495e-06
"PVC","Fresh water (MP)",3.6985773578346e-05,1.78104011729352e-05
"PVC","Subsurface soil (MP)",4.40600617840571e-05,3.17919737723829e-05
"PVC","Coastal and ocean water",4.0875350421046e-07,3.09636243370802e-07
"PVC","Coastal and ocean water (MP)",1.52345950913759e-05,1.30782384720348e-05
"PET","Soil",0.000984834194590881,0.000643724399909947
"PET","Soil (MP)",0.000238532602292783,8.64456063481361e-05
"PET","Fresh water",2.73524399546366e-05,2.56403161916978e-05
"PET","Fresh water (MP)",2.61325113925537e-05,1.68611518317218e-05
"PET","Subsurface soil (MP)",5.12955327419376e-05,3.14819798829786e-05
"PET","Coastal and ocean water",4.67658314489947e-06,3.96235751037371e-06
"PET","Coastal and ocean water (MP)",1.77235641356567e-05,1.83006385627821e-05
