"mat","dest","mean","sd"
"LDPE","Soil",0.00296977103960643,0.00134069375947458
"LDPE","Soil (MP)",0.00112765646321278,0.000519647015132498
"LDPE","Fresh water",3.27552750731821e-05,2.85903506525386e-05
"LDPE","Fresh water (MP)",3.31030839909047e-06,2.7751827183313e-06
"LDPE","Subsurface soil (MP)",2.00354714884554e-05,1.48069340162708e-05
"LDPE","Coastal and ocean water",6.20928108557832e-05,3.98166168055306e-05
"LDPE","Coastal and ocean water (MP)",9.55610661304373e-06,5.62910271951057e-06
"HDPE","Soil",0.00434707386159171,0.0027030322792159
"HDPE","Soil (MP)",0.000132649630203926,3.6319730576223e-05
"HDPE","Fresh water",2.90061393897803e-05,2.33181104719335e-05
"HDPE","Fresh water (MP)",5.81878223580945e-06,6.03985339327064e-06
"HDPE","Subsurface soil (MP)",4.50212843628235e-05,3.10235863634647e-05
"HDPE","Coastal and ocean water",5.72650758652672e-05,3.24847453312802e-05
"HDPE","Coastal and ocean water (MP)",1.6677066012051e-05,1.19395039360446e-05
"PP","Soil",0.00321990583157036,0.00141892966352022
"PP","Soil (MP)",0.000289494584907873,9.332297731509e-05
"PP","Fresh water",2.22386262411003e-05,1.69284560256446e-05
"PP","Fresh water (MP)",1.34799960454559e-05,1.49310247945662e-05
"PP","Subsurface soil (MP)",0.000129767966076597,8.20245140378376e-05
"PP","Coastal and ocean water",3.60194877533732e-05,2.28702642048767e-05
"PP","Coastal and ocean water (MP)",3.95982212201035e-05,3.02000196947327e-05
"PS","Soil",0.00186981592453062,0.000824833212058882
"PS","Soil (MP)",0.000102621351800347,2.97907712641154e-05
"PS","Fresh water",2.17928534871301e-05,1.78060088745231e-05
"PS","Fresh water (MP)",3.32934439773785e-06,2.8827513212434e-06
"PS","Subsurface soil (MP)",1.98933544216714e-05,1.43331525094299e-05
"PS","Coastal and ocean water",3.28632121356576e-05,2.47982748640568e-05
"PS","Coastal and ocean water (MP)",8.37875356851169e-06,5.7565050983485e-06
"EPS","Soil",0.00835923015204926,0.00685447761975989
"EPS","Soil (MP)",7.40019329961012e-05,2.01127259969231e-05
"EPS","Fresh water",1.3892525608215e-05,9.26535330019179e-06
"EPS","Fresh water (MP)",1.22942043475128e-06,6.02174076297175e-07
"EPS","Subsurface soil (MP)",1.03052608787797e-07,1.20933178271996e-07
"EPS","Coastal and ocean water",5.66468496380459e-05,4.21968170540018e-05
"EPS","Coastal and ocean water (MP)",5.93754967428734e-06,3.90590579938718e-06
"PVC","Soil",0.00678636920884628,0.00555958356755317
"PVC","Soil (MP)",0.000220312568778709,7.04620980783104e-05
"PVC","Fresh water",3.24295423813885e-06,2.82054693124484e-06
"PVC","Fresh water (MP)",1.26228741633283e-05,1.00509929988441e-05
"PVC","Subsurface soil (MP)",6.85545963406312e-05,4.90123723118052e-05
"PVC","Coastal and ocean water",4.99969076075943e-06,4.00598672932943e-06
"PVC","Coastal and ocean water (MP)",3.64176874068619e-05,2.20009168886705e-05
"PET","Soil",0.00576263436481739,0.00333687166530872
"PET","Soil (MP)",0.000255994268639924,0.000150601424390113
"PET","Fresh water",5.62656287007682e-05,5.11338899990925e-05
"PET","Fresh water (MP)",1.33606310082411e-05,1.28202957555235e-05
"PET","Subsurface soil (MP)",0.000104513766954417,6.26140901253342e-05
"PET","Coastal and ocean water",8.65436090558056e-05,6.91324133304961e-05
"PET","Coastal and ocean water (MP)",5.02018405949665e-05,3.84359305168495e-05
