"mat","dest","mean","sd"
"LDPE","Soil",0.000858210390473805,0.000395962522532175
"LDPE","Soil (MP)",0.00123965022323597,0.000678191106559412
"LDPE","Fresh water",2.43174763035724e-05,1.94179761467659e-05
"LDPE","Fresh water (MP)",5.41719257109413e-06,4.59641658298848e-06
"LDPE","Subsurface soil (MP)",1.8023464652388e-05,1.40921004705331e-05
"LDPE","Coastal and ocean water",0.000249548844904749,0.000161844313436216
"LDPE","Coastal and ocean water (MP)",3.86078454649499e-05,1.6266175930108e-05
"HDPE","Soil",0.00123511678206785,0.000710516818370845
"HDPE","Soil (MP)",0.000154063072840597,5.68817558375107e-05
"HDPE","Fresh water",2.5297478013865e-05,1.67741282809339e-05
"HDPE","Fresh water (MP)",1.08687200644922e-05,9.38970982205453e-06
"HDPE","Subsurface soil (MP)",3.79799884022066e-05,2.73353728745231e-05
"HDPE","Coastal and ocean water",0.000178080702470328,0.000113135859591506
"HDPE","Coastal and ocean water (MP)",2.78205261344181e-05,1.17074654606258e-05
"PP","Soil",0.00102538608150519,0.000463754687895604
"PP","Soil (MP)",0.000401982932541276,0.000153995204851319
"PP","Fresh water",1.96578332207734e-05,1.32278394593292e-05
"PP","Fresh water (MP)",2.5820950900319e-05,2.35699061601348e-05
"PP","Subsurface soil (MP)",0.000111616216576461,7.23416146787318e-05
"PP","Coastal and ocean water",2.04116698961791e-05,6.98523612788561e-06
"PP","Coastal and ocean water (MP)",8.53016112918176e-06,3.08907751361919e-06
"PS","Soil",0.000416433493193565,0.000238340989630952
"PS","Soil (MP)",8.87667333914795e-05,3.18174603883546e-05
"PS","Fresh water",1.47764883600375e-05,1.1937951225899e-05
"PS","Fresh water (MP)",4.95952128151209e-06,4.3761344152957e-06
"PS","Subsurface soil (MP)",1.65506511482837e-05,1.30497373898882e-05
"PS","Coastal and ocean water",3.61831426158786e-07,2.64406497469432e-07
"PS","Coastal and ocean water (MP)",1.88240292954333e-07,2.23669229545495e-07
"EPS","Soil",0.0019474907739959,0.00169963656650275
"EPS","Soil (MP)",6.75149064942676e-05,2.02705719654277e-05
"EPS","Fresh water",7.37019754374945e-06,5.03472617663277e-06
"EPS","Fresh water (MP)",2.16658871472448e-06,1.46622236843115e-06
"EPS","Subsurface soil (MP)",1.26374699848823e-07,1.5730121142297e-07
"EPS","Coastal and ocean water",7.4365525345674e-07,6.22507459354259e-07
"EPS","Coastal and ocean water (MP)",4.03120733611545e-07,3.4060270909294e-07
"PVC","Soil",0.00153988730610129,0.00126023116330826
"PVC","Soil (MP)",0.000311743424107968,0.000102085217985365
"PVC","Fresh water",2.34305657918689e-06,2.33111212244592e-06
"PVC","Fresh water (MP)",2.93486340366148e-05,1.7274830523289e-05
"PVC","Subsurface soil (MP)",5.6481134691786e-05,3.91887139131699e-05
"PVC","Coastal and ocean water",7.02651453895362e-08,5.77015614276119e-08
"PVC","Coastal and ocean water (MP)",9.58165808725471e-07,8.50148688528475e-07
"PET","Soil",0.000154229867826226,0.000105102108440061
"PET","Soil (MP)",0.000156645893857889,4.60400255218998e-05
"PET","Fresh water",4.03695009883543e-06,3.54860984488509e-06
"PET","Fresh water (MP)",6.10276140994954e-06,3.06340802344703e-06
"PET","Subsurface soil (MP)",1.13606905174147e-05,6.39357092014402e-06
"PET","Coastal and ocean water",1.00191996444572e-07,9.86255519806062e-08
"PET","Coastal and ocean water (MP)",1.40334854854887e-07,1.5819863721178e-07
