"mat","dest","mean","sd"
"LDPE","Soil",0.00106237273581971,0.000530737391882191
"LDPE","Soil (MP)",0.00125106762629725,0.000692167755786946
"LDPE","Fresh water",1.36076028913373e-05,1.01246028964639e-05
"LDPE","Fresh water (MP)",2.14475284323882e-06,2.18334154089307e-06
"LDPE","Subsurface soil (MP)",3.88986232346054e-06,4.25695588579776e-06
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.00149919557611232,0.00101901607744814
"HDPE","Soil (MP)",0.000102452184031472,3.62112606696329e-05
"HDPE","Fresh water",1.65446738503906e-05,1.02888869675063e-05
"HDPE","Fresh water (MP)",5.51391868596227e-06,5.14274058748676e-06
"HDPE","Subsurface soil (MP)",1.15376358636388e-05,9.30014937402889e-06
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.0011428299983068,0.000540663999190755
"PP","Soil (MP)",0.000241136069658576,0.000101035340973229
"PP","Fresh water",1.19877668498577e-05,7.204701242989e-06
"PP","Fresh water (MP)",1.18785708618002e-05,1.26186539599954e-05
"PP","Subsurface soil (MP)",3.92847954719769e-05,2.79022935485492e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.000392426687009396,0.0002368960323108
"PS","Soil (MP)",6.62887448048675e-05,2.58316430183309e-05
"PS","Fresh water",7.64882995780411e-06,5.70913792189683e-06
"PS","Fresh water (MP)",1.86593136240741e-06,2.17860242563634e-06
"PS","Subsurface soil (MP)",3.69263785271573e-06,3.89969103088187e-06
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.00294476851104744,0.00257868099037753
"EPS","Soil (MP)",7.14992316860638e-05,2.09879683351409e-05
"EPS","Fresh water",2.23742919195205e-06,2.21815214057183e-06
"EPS","Fresh water (MP)",2.23520289371166e-07,1.29173985838038e-07
"EPS","Subsurface soil (MP)",8.66756184896604e-08,1.08788304286197e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.0023074420759181,0.00200153283090658
"PVC","Soil (MP)",0.000215892439611123,8.55397455900656e-05
"PVC","Fresh water",1.0638774544931e-06,1.02110262153438e-06
"PVC","Fresh water (MP)",1.03389400701668e-05,9.1579167838114e-06
"PVC","Subsurface soil (MP)",1.64331977706216e-05,1.48955431082177e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00222685858871651,0.00138806505922074
"PET","Soil (MP)",0.00041417406537037,0.000206170220113179
"PET","Fresh water",2.84598496313698e-05,1.97652619222953e-05
"PET","Fresh water (MP)",3.32792577898666e-05,3.10970719818731e-05
"PET","Subsurface soil (MP)",9.03508428222748e-05,5.92417291946948e-05
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
