"mat","dest","mean","sd"
"LDPE","Soil",0.00109407878581224,0.000478548052599793
"LDPE","Soil (MP)",0.00125133517088945,0.000681236082806406
"LDPE","Fresh water",3.43090361150054e-05,2.72104387103104e-05
"LDPE","Fresh water (MP)",9.58268580080108e-06,9.297933549405e-06
"LDPE","Subsurface soil (MP)",1.85211869402823e-05,1.6453618957483e-05
"LDPE","Coastal and ocean water",0.000326190545104403,0.000209215106265483
"LDPE","Coastal and ocean water (MP)",5.13482592194126e-05,2.11038090248738e-05
"HDPE","Soil",0.00142380794200911,0.000759968943559432
"HDPE","Soil (MP)",0.000202556398173691,8.5797142319807e-05
"HDPE","Fresh water",3.70202193377003e-05,2.4243318291549e-05
"HDPE","Fresh water (MP)",1.91516333535251e-05,1.79479594943641e-05
"HDPE","Subsurface soil (MP)",3.82782366247639e-05,3.17577719973955e-05
"HDPE","Coastal and ocean water",0.000237553368678148,0.000146862219542379
"HDPE","Coastal and ocean water (MP)",3.78434339341819e-05,1.50840888346384e-05
"PP","Soil",0.00126989842252569,0.000543836560063994
"PP","Soil (MP)",0.000552685458147759,0.000223118600992231
"PP","Fresh water",3.05806737111867e-05,2.10307357621885e-05
"PP","Fresh water (MP)",5.0472808916274e-05,4.76915631340934e-05
"PP","Subsurface soil (MP)",0.000110884102401011,8.18894609608402e-05
"PP","Coastal and ocean water",2.86779265562569e-05,9.41666921058734e-06
"PP","Coastal and ocean water (MP)",1.48284185947996e-05,6.09655068592946e-06
"PS","Soil",0.000728075152602175,0.000366349419121057
"PS","Soil (MP)",0.000110345994843053,4.4026233149026e-05
"PS","Fresh water",2.26706640186871e-05,1.8143080120639e-05
"PS","Fresh water (MP)",9.35886325603649e-06,8.88038567616635e-06
"PS","Subsurface soil (MP)",1.69166649820378e-05,1.47290452300544e-05
"PS","Coastal and ocean water",2.25341399635555e-06,1.49791356704439e-06
"PS","Coastal and ocean water (MP)",1.27764618957235e-06,1.35571536948007e-06
"EPS","Soil",0.00185500111877647,0.00158650578040446
"EPS","Soil (MP)",6.38679942925251e-05,1.99566467608225e-05
"EPS","Fresh water",1.02475267476389e-05,7.01825355134287e-06
"EPS","Fresh water (MP)",3.27653028858184e-06,2.31611902327247e-06
"EPS","Subsurface soil (MP)",8.62196888744664e-08,1.16621983100965e-07
"EPS","Coastal and ocean water",3.91729074763407e-06,3.15073079472878e-06
"EPS","Coastal and ocean water (MP)",2.36647760264064e-06,1.89641672434452e-06
"PVC","Soil",0.00159615859067013,0.00126356519810441
"PVC","Soil (MP)",0.000389856407349989,0.00015628248774938
"PVC","Fresh water",4.20623873552384e-06,4.03562123979428e-06
"PVC","Fresh water (MP)",5.16111476206705e-05,3.29981084981762e-05
"PVC","Subsurface soil (MP)",5.69991874793986e-05,4.80039235158567e-05
"PVC","Coastal and ocean water",4.96777129003489e-07,3.7850544099397e-07
"PVC","Coastal and ocean water (MP)",6.21682541958918e-06,5.49685821309449e-06
"PET","Soil",0.00248859588242968,0.00148386555861593
"PET","Soil (MP)",0.00046956927279366,0.000217264271234724
"PET","Fresh water",8.26997118406002e-05,6.91258849163098e-05
"PET","Fresh water (MP)",4.87646518799969e-05,3.92380732519014e-05
"PET","Subsurface soil (MP)",8.8197121797032e-05,6.03295707655662e-05
"PET","Coastal and ocean water",7.29355976699142e-06,5.86945133250791e-06
"PET","Coastal and ocean water (MP)",1.10053436670244e-05,1.27455429982896e-05
