"mat","dest","mean","sd"
"LDPE","Soil",0.000714750108324282,0.000295724645773795
"LDPE","Soil (MP)",0.00116685368697146,0.000660741916637491
"LDPE","Fresh water",1.83933675864047e-05,1.4404200199035e-05
"LDPE","Fresh water (MP)",2.20993719449761e-07,9.79786923902638e-08
"LDPE","Subsurface soil (MP)",3.41436028355909e-07,1.90821371349416e-07
"LDPE","Coastal and ocean water",3.83155533858671e-05,2.27296489751696e-05
"LDPE","Coastal and ocean water (MP)",8.29556918223423e-06,3.94774948666197e-06
"HDPE","Soil",0.000740915963677436,0.000367080032624831
"HDPE","Soil (MP)",4.94555755969909e-05,2.26945988114113e-05
"HDPE","Fresh water",2.418146416183e-05,1.58363667868732e-05
"HDPE","Fresh water (MP)",1.66135193218049e-06,8.45254088370899e-07
"HDPE","Subsurface soil (MP)",4.60458772496198e-06,2.86396998129438e-06
"HDPE","Coastal and ocean water",2.82806277168587e-05,1.61416955390867e-05
"HDPE","Coastal and ocean water (MP)",1.15969428606185e-05,7.47861271881762e-06
"PP","Soil",0.000778024402162137,0.000335353759355851
"PP","Soil (MP)",0.000129668976778529,7.80626485950219e-05
"PP","Fresh water",2.05721735274338e-05,1.42030691380062e-05
"PP","Fresh water (MP)",3.2508531629631e-06,1.95945026431829e-06
"PP","Subsurface soil (MP)",2.20119272867634e-05,1.57256639007376e-05
"PP","Coastal and ocean water",6.40561371175563e-06,3.07711547216992e-06
"PP","Coastal and ocean water (MP)",3.09875199843563e-05,2.47631715404668e-05
"PS","Soil",0.00050778895230796,0.000257582576254148
"PS","Soil (MP)",3.20826293560064e-05,1.75714006887241e-05
"PS","Fresh water",1.2889521855665e-05,1.05002349979954e-05
"PS","Fresh water (MP)",2.66996806638636e-07,1.34664578106162e-07
"PS","Subsurface soil (MP)",4.47470642786012e-07,4.5569112234761e-07
"PS","Coastal and ocean water",2.83167244288563e-06,2.03097678227495e-06
"PS","Coastal and ocean water (MP)",1.03181524624717e-05,1.03387534332186e-05
"EPS","Soil",0.000763333741246131,0.000648522624602965
"EPS","Soil (MP)",3.84136256973808e-05,1.89771120054172e-05
"EPS","Fresh water",2.68677282816703e-06,2.77334785272905e-06
"EPS","Fresh water (MP)",1.14989935888054e-07,5.9354425542268e-08
"EPS","Subsurface soil (MP)",8.39021598167055e-08,1.07766992676884e-07
"EPS","Coastal and ocean water",2.74812262078684e-05,2.48487731655801e-05
"EPS","Coastal and ocean water (MP)",3.0632890350353e-05,1.42936305745679e-05
"PVC","Soil",0.000743966215358984,0.000547468882930298
"PVC","Soil (MP)",0.000107017797326836,4.5772746572781e-05
"PVC","Fresh water",2.59235377347686e-06,2.62817213521471e-06
"PVC","Fresh water (MP)",2.45266108583622e-05,1.70194950176722e-05
"PVC","Subsurface soil (MP)",6.69577913650874e-06,5.71269070401785e-06
"PVC","Coastal and ocean water",7.82763190591795e-07,6.67864197285405e-07
"PVC","Coastal and ocean water (MP)",6.54710448775807e-05,4.12840811486567e-05
"PET","Soil",0.00169810908333788,0.00102992465598344
"PET","Soil (MP)",0.00011868973027421,7.83283145236119e-05
"PET","Fresh water",5.48568188871727e-05,4.68471921372882e-05
"PET","Fresh water (MP)",2.01984297418066e-05,1.2256213730079e-05
"PET","Subsurface soil (MP)",8.69841415341136e-05,6.01618878030386e-05
"PET","Coastal and ocean water",1.26008560137106e-05,1.09075195206474e-05
"PET","Coastal and ocean water (MP)",0.00019561077472011,0.000167831908357385
