"mat","dest","mean","sd"
"LDPE","Soil",0.000279049460197357,0.000138310289027225
"LDPE","Soil (MP)",0.000455711842772817,0.000181974951272512
"LDPE","Fresh water",5.19077186531236e-06,4.30478116010083e-06
"LDPE","Fresh water (MP)",4.41908716968589e-06,1.90175086880149e-06
"LDPE","Subsurface soil (MP)",4.26660174439659e-06,3.43755866442586e-06
"LDPE","Coastal and ocean water",3.42354269366541e-05,1.83956999467659e-05
"LDPE","Coastal and ocean water (MP)",5.45016142655655e-06,1.59378577756975e-06
"HDPE","Soil",0.00095858885010875,0.000633488027647177
"HDPE","Soil (MP)",0.000125614021934178,3.46336285823255e-05
"HDPE","Fresh water",1.47107069356366e-05,9.13801430496291e-06
"HDPE","Fresh water (MP)",1.14286527822827e-05,6.24339739915239e-06
"HDPE","Subsurface soil (MP)",2.30053491375432e-05,1.71163702696525e-05
"HDPE","Coastal and ocean water",6.23646630233424e-05,3.38085718363111e-05
"HDPE","Coastal and ocean water (MP)",1.07312939673731e-05,3.13885207210349e-06
"PP","Soil",0.000568282302192124,0.000265397273112502
"PP","Soil (MP)",0.000204950354561534,5.94939333110347e-05
"PP","Fresh water",8.46510907728366e-06,5.34359408879846e-06
"PP","Fresh water (MP)",2.10647327838663e-05,1.28440945372394e-05
"PP","Subsurface soil (MP)",5.32600335018653e-05,3.58609996190997e-05
"PP","Coastal and ocean water",6.46831268203554e-06,1.64635007121728e-06
"PP","Coastal and ocean water (MP)",5.03167882549653e-06,2.49140603315352e-06
"PS","Soil",0.000351275244575416,0.000219066245642775
"PS","Soil (MP)",6.1206079250264e-05,2.20314726331886e-05
"PS","Fresh water",9.59259324523232e-06,7.92091605996327e-06
"PS","Fresh water (MP)",6.87736124396809e-06,4.35355949968525e-06
"PS","Subsurface soil (MP)",1.28827740695021e-05,1.11376359731134e-05
"PS","Coastal and ocean water",1.89115392641963e-06,1.41584403278483e-06
"PS","Coastal and ocean water (MP)",1.51625027597856e-06,1.51760603081361e-06
"EPS","Soil",0.000938157491091128,0.00083441937163761
"EPS","Soil (MP)",0.000113461091261661,3.88185360709664e-05
"EPS","Fresh water",5.69237266673018e-06,4.43051242864725e-06
"EPS","Fresh water (MP)",4.3137425466787e-06,1.68402117873582e-06
"EPS","Subsurface soil (MP)",2.9424639644345e-08,3.47838780541662e-08
"EPS","Coastal and ocean water",3.05583570307368e-06,2.70280165375665e-06
"EPS","Coastal and ocean water (MP)",1.19611659524421e-06,8.92118142201875e-07
"PVC","Soil",0.00202589337635812,0.00177217657106883
"PVC","Soil (MP)",0.000195335352034643,7.44607064444496e-05
"PVC","Fresh water",1.39786118668453e-06,1.41728651271422e-06
"PVC","Fresh water (MP)",3.29451861938551e-05,1.89875564317387e-05
"PVC","Subsurface soil (MP)",4.50521135790073e-05,3.78601236875744e-05
"PVC","Coastal and ocean water",3.32424954898785e-07,2.93031968062909e-07
"PVC","Coastal and ocean water (MP)",7.94169555183113e-06,6.46435590662459e-06
"PET","Soil",0.00192860797917074,0.0012711087903348
"PET","Soil (MP)",0.000234783850860867,0.000151707181700011
"PET","Fresh water",3.63409621954152e-05,2.86302896153489e-05
"PET","Fresh water (MP)",4.7659371497246e-05,3.22574232264077e-05
"PET","Subsurface soil (MP)",8.72684799826147e-05,5.9812200703119e-05
"PET","Coastal and ocean water",6.67688584577895e-06,5.53970479805983e-06
"PET","Coastal and ocean water (MP)",1.52715051872397e-05,1.69218657463054e-05
