"mat","dest","mean","sd"
"LDPE","Soil",0.000464881998588011,0.000190880090527831
"LDPE","Soil (MP)",0.0010582526703369,0.000568090243710786
"LDPE","Fresh water",2.34693028563695e-06,1.6627104249537e-06
"LDPE","Fresh water (MP)",2.14635303197698e-06,1.94634264460688e-06
"LDPE","Subsurface soil (MP)",1.72553628596433e-05,1.46716709732873e-05
"LDPE","Coastal and ocean water",0.0021699571636614,0.00132412916953927
"LDPE","Coastal and ocean water (MP)",0.00035491208407165,0.000132324650271727
"HDPE","Soil",0.000595526503596305,0.000305805466504939
"HDPE","Soil (MP)",0.000159103033015356,6.44173185740358e-05
"HDPE","Fresh water",2.2242953253447e-06,1.65892430751344e-06
"HDPE","Fresh water (MP)",4.30579331854193e-06,3.99630937141657e-06
"HDPE","Subsurface soil (MP)",3.60083237148369e-05,2.86771316954518e-05
"HDPE","Coastal and ocean water",0.00162479190197788,0.000978084857060549
"HDPE","Coastal and ocean water (MP)",0.000287840670428254,0.000110164417137004
"PP","Soil",0.000611354688697438,0.000260769124270914
"PP","Soil (MP)",0.000447082561166518,0.000185621845813764
"PP","Fresh water",1.98479295434568e-06,1.57099781383959e-06
"PP","Fresh water (MP)",1.25749733370876e-05,1.11575814409505e-05
"PP","Subsurface soil (MP)",0.000110119087328679,8.17073331131142e-05
"PP","Coastal and ocean water",0.000212366924883613,6.98824067241078e-05
"PP","Coastal and ocean water (MP)",0.000188306425124116,0.000127096001209397
"PS","Soil",0.000277328310350287,0.000152555916627378
"PS","Soil (MP)",9.14390689222511e-05,3.74965098412981e-05
"PS","Fresh water",1.40668822854758e-06,1.26279157277101e-06
"PS","Fresh water (MP)",2.81822488241068e-06,2.42837127871063e-06
"PS","Subsurface soil (MP)",1.76077545666749e-05,1.5347338372907e-05
"PS","Coastal and ocean water",1.08054591003498e-05,8.59480629250466e-06
"PS","Coastal and ocean water (MP)",2.2630749077631e-05,2.35218437394883e-05
"EPS","Soil",0.000835598613387082,0.000724876781957402
"EPS","Soil (MP)",5.36250933856411e-05,1.93854414521436e-05
"EPS","Fresh water",2.15936824157669e-06,1.69186357528703e-06
"EPS","Fresh water (MP)",2.51170561186484e-06,1.83195089960202e-06
"EPS","Subsurface soil (MP)",8.49734124344826e-08,1.08893073132046e-07
"EPS","Coastal and ocean water",1.27619771470932e-05,9.70271419578431e-06
"EPS","Coastal and ocean water (MP)",1.35813222504984e-05,8.59310621838511e-06
"PVC","Soil",0.000723665878224317,0.000578804672323593
"PVC","Soil (MP)",0.000322915588631152,0.000128600038813005
"PVC","Fresh water",2.74442097262551e-07,3.09342273733409e-07
"PVC","Fresh water (MP)",1.34604010956205e-05,9.16741617984267e-06
"PVC","Subsurface soil (MP)",5.89610483900725e-05,5.03561496114858e-05
"PVC","Coastal and ocean water",2.11787799441607e-06,2.10114616388528e-06
"PVC","Coastal and ocean water (MP)",0.000103140829379881,8.11270668908113e-05
"PET","Soil",0.00131502940047336,0.000787146679765793
"PET","Soil (MP)",0.000359550507245845,0.000171778628921668
"PET","Fresh water",5.89145088488268e-06,5.57622641755161e-06
"PET","Fresh water (MP)",1.7872826834631e-05,1.59319904443098e-05
"PET","Subsurface soil (MP)",8.85631815379873e-05,6.1107465373469e-05
"PET","Coastal and ocean water",4.55575995173566e-05,3.75174462215713e-05
"PET","Coastal and ocean water (MP)",0.000128071789499382,0.000111600234953408
