"mat","dest","mean","sd"
"LDPE","Soil",0.00211017163622051,0.00108724959180205
"LDPE","Soil (MP)",0.00118718205511931,0.00059622460628825
"LDPE","Fresh water",2.87957881338693e-05,2.13940192923989e-05
"LDPE","Fresh water (MP)",3.80571309310104e-06,2.99004158390972e-06
"LDPE","Subsurface soil (MP)",8.32762213448114e-06,9.11470754825678e-06
"LDPE","Coastal and ocean water",3.94643850752588e-05,2.16665364432019e-05
"LDPE","Coastal and ocean water (MP)",6.0108894504633e-06,2.06205894688243e-06
"HDPE","Soil",0.00334916583022769,0.00250213765628772
"HDPE","Soil (MP)",0.000101605294300871,3.62706227872221e-05
"HDPE","Fresh water",2.92100514739904e-05,1.77107299455779e-05
"HDPE","Fresh water (MP)",7.30537511673492e-06,6.13030187057e-06
"HDPE","Subsurface soil (MP)",1.93160948113233e-05,1.79766797420429e-05
"HDPE","Coastal and ocean water",2.91849688906924e-05,1.69775201483679e-05
"HDPE","Coastal and ocean water (MP)",4.44954411948882e-06,1.57035480051386e-06
"PP","Soil",0.00210050737441311,0.00103068681771332
"PP","Soil (MP)",0.000260737577281765,9.84926789079785e-05
"PP","Fresh water",2.02448289972328e-05,1.1074253978678e-05
"PP","Fresh water (MP)",1.70821806072275e-05,1.56990846053922e-05
"PP","Subsurface soil (MP)",6.06867031686594e-05,4.84137178041548e-05
"PP","Coastal and ocean water",4.1306252120949e-06,1.06853798934684e-06
"PP","Coastal and ocean water (MP)",1.68870213598939e-06,6.21455981053184e-07
"PS","Soil",0.000728430258068167,0.000402819922696158
"PS","Soil (MP)",7.45922584226563e-05,2.59157535888344e-05
"PS","Fresh water",1.5973121564925e-05,1.15738398808146e-05
"PS","Fresh water (MP)",3.55944229261251e-06,2.76340473296016e-06
"PS","Subsurface soil (MP)",7.72953536680274e-06,8.6796951719576e-06
"PS","Coastal and ocean water",1.07493274235055e-06,8.0820040773751e-07
"PS","Coastal and ocean water (MP)",1.59044083708135e-07,1.78480088740419e-07
"EPS","Soil",0.00744205205106993,0.00608574782603708
"EPS","Soil (MP)",9.81993691095532e-05,2.43158395543068e-05
"EPS","Fresh water",1.485906680917e-05,9.42541507827835e-06
"EPS","Fresh water (MP)",2.6038137765255e-06,1.09954792505616e-06
"EPS","Subsurface soil (MP)",8.8094055138018e-08,1.06369039178176e-07
"EPS","Coastal and ocean water",2.97362565679672e-06,2.30046606429657e-06
"EPS","Coastal and ocean water (MP)",3.78776825674681e-07,3.17232290778871e-07
"PVC","Soil",0.00577746284110901,0.00490152573666719
"PVC","Soil (MP)",0.00023677307318113,7.27850933885491e-05
"PVC","Fresh water",1.86962822084666e-06,1.51669030792675e-06
"PVC","Fresh water (MP)",1.48417913895291e-05,8.8864072908414e-06
"PVC","Subsurface soil (MP)",2.78313734866626e-05,2.6051732159102e-05
"PVC","Coastal and ocean water",1.442787995184e-07,1.09542928473511e-07
"PVC","Coastal and ocean water (MP)",8.53264314624888e-07,7.75287101370603e-07
"PET","Soil",0.00367239567021701,0.00219171678332414
"PET","Soil (MP)",0.00034372685649542,0.000171439163065555
"PET","Fresh water",4.64826966295468e-05,3.02450345163685e-05
"PET","Fresh water (MP)",2.91907781465077e-05,1.95054898760003e-05
"PET","Subsurface soil (MP)",9.000710301487e-05,5.68544131043977e-05
"PET","Coastal and ocean water",2.79588582708085e-06,2.10928404982004e-06
"PET","Coastal and ocean water (MP)",1.8155180957287e-06,2.01327483027755e-06
