"mat","dest","mean","sd"
"LDPE","Soil",0.00129172768108237,0.000643887604291239
"LDPE","Soil (MP)",0.000942797889218443,0.000433661096941494
"LDPE","Fresh water",5.40542637288818e-05,4.50715289240167e-05
"LDPE","Fresh water (MP)",4.87830543687366e-06,2.34923215487496e-06
"LDPE","Subsurface soil (MP)",1.29296106022243e-05,9.3746273045614e-06
"LDPE","Coastal and ocean water",7.50525759431276e-05,3.81138509228519e-05
"LDPE","Coastal and ocean water (MP)",1.27547402476508e-05,4.64978755308623e-06
"HDPE","Soil",0.00250055283584491,0.00176986169771493
"HDPE","Soil (MP)",0.000124162974207543,3.48096922075394e-05
"HDPE","Fresh water",5.71874784766497e-05,4.1907312265779e-05
"HDPE","Fresh water (MP)",9.93298750313735e-06,5.42605148953045e-06
"HDPE","Subsurface soil (MP)",3.58230168877617e-05,2.41015784478457e-05
"HDPE","Coastal and ocean water",7.09823962244603e-05,3.6031212463016e-05
"HDPE","Coastal and ocean water (MP)",1.5530830656099e-05,8.67257036704974e-06
"PP","Soil",0.00175355761908762,0.00089246530939639
"PP","Soil (MP)",0.000221310019024929,9.54266001419533e-05
"PP","Fresh water",4.14252466728828e-05,3.070145703468e-05
"PP","Fresh water (MP)",2.1784698799254e-05,1.49885549531449e-05
"PP","Subsurface soil (MP)",0.000108675197537895,7.18253873841996e-05
"PP","Coastal and ocean water",1.34906191757426e-05,5.0543689818044e-06
"PP","Coastal and ocean water (MP)",2.0052835667638e-05,2.25879037435434e-05
"PS","Soil",0.000611493866031294,0.000340901856274562
"PS","Soil (MP)",6.35081606344563e-05,2.24255550917135e-05
"PS","Fresh water",3.93994243104783e-05,3.31137408724068e-05
"PS","Fresh water (MP)",4.27454233033804e-06,2.74807989362621e-06
"PS","Subsurface soil (MP)",1.59847577467622e-05,1.23325172208248e-05
"PS","Coastal and ocean water",5.88078399557188e-06,4.30565629742161e-06
"PS","Coastal and ocean water (MP)",3.88718756789078e-06,4.35658090871982e-06
"EPS","Soil",0.00570189197125827,0.00506205810369466
"EPS","Soil (MP)",6.34857753937318e-05,1.99682485728524e-05
"EPS","Fresh water",1.90147487233145e-05,1.55196255235519e-05
"EPS","Fresh water (MP)",1.22849169950914e-06,7.7058904112057e-07
"EPS","Subsurface soil (MP)",1.15293682738872e-07,1.40253321420433e-07
"EPS","Coastal and ocean water",2.7648794425695e-05,2.35309527254762e-05
"EPS","Coastal and ocean water (MP)",5.05463362484808e-06,3.76946190612616e-06
"PVC","Soil",0.00286903795548483,0.00250482860292602
"PVC","Soil (MP)",0.000189455275936922,4.95916459403243e-05
"PVC","Fresh water",2.64335706609195e-06,2.52525085135082e-06
"PVC","Fresh water (MP)",1.98274219634689e-05,8.58528389752277e-06
"PVC","Subsurface soil (MP)",3.38465826793396e-05,2.28196914802175e-05
"PVC","Coastal and ocean water",5.34132147379471e-07,3.90080993704181e-07
"PVC","Coastal and ocean water (MP)",1.1121011349617e-05,1.0218400287665e-05
"PET","Soil",0.00325306795898578,0.00195908868719539
"PET","Soil (MP)",0.000240994825678275,0.000156427282633911
"PET","Fresh water",0.000101511529677934,8.58319988509663e-05
"PET","Fresh water (MP)",2.60298051639496e-05,1.63264529182752e-05
"PET","Subsurface soil (MP)",0.000113913231871668,6.96652667151347e-05
"PET","Coastal and ocean water",1.68362215121956e-05,1.2546445781096e-05
"PET","Coastal and ocean water (MP)",3.39284755601233e-05,3.54123615605458e-05
