"mat","dest","mean","sd"
"LDPE","Soil",0.00283752898417935,0.00144429856528943
"LDPE","Soil (MP)",0.00112455018507916,0.000595642611414351
"LDPE","Fresh water",1.73106257870982e-05,1.24604790334485e-05
"LDPE","Fresh water (MP)",4.40985519286936e-06,3.18782718608845e-06
"LDPE","Subsurface soil (MP)",2.09437325176068e-05,1.82598409591247e-05
"LDPE","Coastal and ocean water",2.85571997226762e-06,1.44631236531782e-06
"LDPE","Coastal and ocean water (MP)",1.55938208152522e-06,2.1032862639264e-06
"HDPE","Soil",0.00420739365289693,0.00280577901502327
"HDPE","Soil (MP)",7.98568726939579e-05,3.24815028893441e-05
"HDPE","Fresh water",1.97040782511642e-05,1.18967368334998e-05
"HDPE","Fresh water (MP)",7.18877758878925e-06,6.71583056841516e-06
"HDPE","Subsurface soil (MP)",4.96716626161576e-05,4.07369945225437e-05
"HDPE","Coastal and ocean water",2.33347145976566e-06,1.17462796159671e-06
"HDPE","Coastal and ocean water (MP)",2.32256983982684e-06,4.06632356320999e-06
"PP","Soil",0.00308973836663492,0.00145725874136762
"PP","Soil (MP)",0.000233045407198024,9.44458644545424e-05
"PP","Fresh water",1.47238409974081e-05,8.09600628048473e-06
"PP","Fresh water (MP)",1.78601826776111e-05,1.63296786137483e-05
"PP","Subsurface soil (MP)",0.000140633965952207,0.000100838330390912
"PP","Coastal and ocean water",7.732373579802e-07,3.76310378090007e-07
"PP","Coastal and ocean water (MP)",4.97208209611834e-06,1.01904778228714e-05
"PS","Soil",0.00178530988471086,0.000827028155526361
"PS","Soil (MP)",7.50279469910547e-05,2.55136525511342e-05
"PS","Fresh water",1.17682972957043e-05,7.40630104271047e-06
"PS","Fresh water (MP)",3.98289590771594e-06,2.89601802962105e-06
"PS","Subsurface soil (MP)",2.04733664990426e-05,1.66816774147439e-05
"PS","Coastal and ocean water",6.05890349641159e-07,3.72976207354124e-07
"PS","Coastal and ocean water (MP)",1.09306214360435e-06,1.87561086089195e-06
"EPS","Soil",0.00767926062870287,0.00633023671047436
"EPS","Soil (MP)",7.96852491878927e-05,2.07871243544277e-05
"EPS","Fresh water",1.50883312483934e-05,1.069541603339e-05
"EPS","Fresh water (MP)",2.14527920665193e-06,1.17227348964546e-06
"EPS","Subsurface soil (MP)",1.6470999108127e-07,1.92343902713326e-07
"EPS","Coastal and ocean water",2.0023286403773e-06,1.61702135821801e-06
"EPS","Coastal and ocean water (MP)",4.22118927668218e-07,2.73324876377724e-07
"PVC","Soil",0.0064295299970387,0.00531000676746926
"PVC","Soil (MP)",0.00021090922443168,7.47384577107101e-05
"PVC","Fresh water",2.04062650555586e-06,1.33836024084525e-06
"PVC","Fresh water (MP)",1.38044907678679e-05,1.11052851088734e-05
"PVC","Subsurface soil (MP)",7.31796862331459e-05,5.76179365490919e-05
"PVC","Coastal and ocean water",1.1188344396747e-07,7.16454005273731e-08
"PVC","Coastal and ocean water (MP)",3.60882856442552e-06,6.99469254189262e-06
"PET","Soil",0.00569480312215754,0.00357232928137334
"PET","Soil (MP)",0.000265676696880273,0.000174347524763909
"PET","Fresh water",3.2589468631837e-05,2.21004819731828e-05
"PET","Fresh water (MP)",2.51821492097804e-05,2.075254432355e-05
"PET","Subsurface soil (MP)",0.000161296002545736,0.000102511493228109
"PET","Coastal and ocean water",1.50104454394956e-06,1.134790405459e-06
"PET","Coastal and ocean water (MP)",6.26608312003144e-06,1.14487146945346e-05
