"mat","dest","mean","sd"
"LDPE","Soil",0.000267437749650691,0.000102178122030185
"LDPE","Soil (MP)",0.000689694350917462,0.000288081972071312
"LDPE","Fresh water",1.40538393620587e-06,1.00603070359236e-06
"LDPE","Fresh water (MP)",3.03305295872813e-06,1.25433855244707e-06
"LDPE","Subsurface soil (MP)",9.28599265501279e-06,7.55059875386927e-06
"LDPE","Coastal and ocean water",8.60551423907336e-05,4.40598637639229e-05
"LDPE","Coastal and ocean water (MP)",1.65463122702441e-05,4.66480032564604e-06
"HDPE","Soil",0.000318650802992967,0.00015699804203057
"HDPE","Soil (MP)",0.000175913577131589,4.79523685815258e-05
"HDPE","Fresh water",1.2972943436225e-06,9.34871763035773e-07
"HDPE","Fresh water (MP)",4.10892812019876e-06,2.04361444937204e-06
"HDPE","Subsurface soil (MP)",1.65964730746701e-05,1.25343623373545e-05
"HDPE","Coastal and ocean water",5.83345628184276e-05,2.79984452450542e-05
"HDPE","Coastal and ocean water (MP)",1.42559137191535e-05,4.96853310854409e-06
"PP","Soil",0.000683484310844638,0.000285107680003661
"PP","Soil (MP)",0.000559758744901319,0.000211133920151758
"PP","Fresh water",2.4634862615658e-06,1.8221585047048e-06
"PP","Fresh water (MP)",2.0019847663361e-05,1.37634293440748e-05
"PP","Subsurface soil (MP)",0.000112663600430742,8.13168476540413e-05
"PP","Coastal and ocean water",3.12575898708863e-05,1.25745590461558e-05
"PP","Coastal and ocean water (MP)",3.72176121175088e-05,2.52602713505249e-05
"PS","Soil",0.000271826920538169,0.000150147699758146
"PS","Soil (MP)",0.000114044264413945,4.47259372032027e-05
"PS","Fresh water",1.4776378148158e-06,1.35662632631184e-06
"PS","Fresh water (MP)",5.27906220236245e-06,4.23884255378104e-06
"PS","Subsurface soil (MP)",1.76169564692271e-05,1.553432515337e-05
"PS","Coastal and ocean water",1.12140818130481e-05,8.97661313584427e-06
"PS","Coastal and ocean water (MP)",6.30442189046636e-06,4.81627880418838e-06
"EPS","Soil",0.000833828507653688,0.000724794401743409
"EPS","Soil (MP)",5.94354004813576e-05,1.97650452679706e-05
"EPS","Fresh water",6.30064552839463e-06,5.39600538092365e-06
"EPS","Fresh water (MP)",8.52096686375645e-06,5.91317082036626e-06
"EPS","Subsurface soil (MP)",8.69637779896991e-08,1.14450868741174e-07
"EPS","Coastal and ocean water",3.98074563841696e-06,2.7968652757514e-06
"EPS","Coastal and ocean water (MP)",2.52531783121078e-06,1.97584107424838e-06
"PVC","Soil",0.000318371337443909,0.000254372797277442
"PVC","Soil (MP)",0.000252803285343439,6.4790995916737e-05
"PVC","Fresh water",1.24449002750857e-07,1.32290157549366e-07
"PVC","Fresh water (MP)",1.275246363171e-05,7.62735167405487e-06
"PVC","Subsurface soil (MP)",2.57790049321777e-05,2.02103943199354e-05
"PVC","Coastal and ocean water",9.58185179622812e-07,9.03569086466068e-07
"PVC","Coastal and ocean water (MP)",1.86496327576954e-05,8.76338243114445e-06
"PET","Soil",0.00141042864708052,0.00082835369811246
"PET","Soil (MP)",0.000448284352810743,0.000204444612880803
"PET","Fresh water",6.83696376775279e-06,6.11041852280213e-06
"PET","Fresh water (MP)",4.31457421243248e-05,4.34765129846404e-05
"PET","Subsurface soil (MP)",8.65150053822803e-05,5.92389512827384e-05
"PET","Coastal and ocean water",5.18412457179168e-05,4.11952454309554e-05
"PET","Coastal and ocean water (MP)",3.23839688208482e-05,2.38637532574649e-05
