"mat","dest","mean","sd"
"LDPE","Soil",0.000763225339379433,0.000351418481573435
"LDPE","Soil (MP)",0.0012088124442229,0.000675590656583029
"LDPE","Fresh water",1.78220587132185e-05,1.3772890744238e-05
"LDPE","Fresh water (MP)",4.08313554964971e-06,3.23381722671701e-06
"LDPE","Subsurface soil (MP)",9.82519629195216e-06,1.00462573706661e-05
"LDPE","Coastal and ocean water",1.33774483525067e-06,6.64139760594701e-07
"LDPE","Coastal and ocean water (MP)",4.82407914568039e-07,1.2841864322034e-06
"HDPE","Soil",0.000962498086637267,0.000584311421776546
"HDPE","Soil (MP)",8.69977990138699e-05,3.23440915367551e-05
"HDPE","Fresh water",2.30541946844749e-05,1.50731189883768e-05
"HDPE","Fresh water (MP)",8.02659601804523e-06,5.7097213309514e-06
"HDPE","Subsurface soil (MP)",2.1939492008559e-05,1.90209410721204e-05
"HDPE","Coastal and ocean water",1.07544870430425e-06,5.40748918442904e-07
"HDPE","Coastal and ocean water (MP)",7.79823348642852e-07,2.04679539764262e-06
"PP","Soil",0.000850940388704565,0.000399575111987412
"PP","Soil (MP)",0.000226441060131839,0.000100083066120123
"PP","Fresh water",1.77220456804461e-05,1.12330806657776e-05
"PP","Fresh water (MP)",1.78019794526941e-05,1.47866205557962e-05
"PP","Subsurface soil (MP)",6.83984404364156e-05,5.26768295726219e-05
"PP","Coastal and ocean water",5.61411644061825e-07,3.80027842908877e-07
"PP","Coastal and ocean water (MP)",2.1517180806254e-06,6.33105483036958e-06
"PS","Soil",0.000357571452950335,0.000218262489169816
"PS","Soil (MP)",5.79436767166457e-05,2.31341006826204e-05
"PS","Fresh water",1.07212387842887e-05,8.4807449249421e-06
"PS","Fresh water (MP)",3.36933390471941e-06,2.69097548051446e-06
"PS","Subsurface soil (MP)",9.04994684031644e-06,9.17654946417062e-06
"PS","Coastal and ocean water",4.2150518269174e-07,3.09428637039738e-07
"PS","Coastal and ocean water (MP)",5.2760571036029e-07,1.0815131777388e-06
"EPS","Soil",0.0016394929648332,0.00142679174557918
"EPS","Soil (MP)",6.90413370545255e-05,2.08266480076644e-05
"EPS","Fresh water",3.2981173026341e-06,2.87387012259157e-06
"EPS","Fresh water (MP)",6.71946367384114e-07,3.67500618896316e-07
"EPS","Subsurface soil (MP)",8.71892713816193e-08,1.09258758006487e-07
"EPS","Coastal and ocean water",1.00158015688301e-06,8.36112187878718e-07
"EPS","Coastal and ocean water (MP)",7.98938071372643e-07,7.20805409854111e-07
"PVC","Soil",0.00135066211950786,0.001140215890115
"PVC","Soil (MP)",0.000206796260957573,7.9861466504481e-05
"PVC","Fresh water",1.71508796011812e-06,1.78097847309013e-06
"PVC","Fresh water (MP)",2.05305270920797e-05,1.28132282663576e-05
"PVC","Subsurface soil (MP)",3.27861406824352e-05,2.99808089377643e-05
"PVC","Coastal and ocean water",8.85560546163539e-08,7.77383606273908e-08
"PVC","Coastal and ocean water (MP)",2.48311993881764e-06,3.84718646426124e-06
"PET","Soil",0.00180583197932809,0.00117533983929634
"PET","Soil (MP)",0.000288677533023252,0.000180230024083359
"PET","Fresh water",4.35355198226972e-05,3.25652098406867e-05
"PET","Fresh water (MP)",2.60177066831997e-05,1.80635990419336e-05
"PET","Subsurface soil (MP)",8.96094744944205e-05,6.01756320501065e-05
"PET","Coastal and ocean water",1.67220361004258e-06,1.39995582685281e-06
"PET","Coastal and ocean water (MP)",5.17218537143542e-06,8.60982825947742e-06
