"mat","dest","mean","sd"
"LDPE","Soil",0.000648687395543401,0.000371053026014201
"LDPE","Soil (MP)",0.000421949594816289,0.000159156082319369
"LDPE","Fresh water",4.92796629126607e-05,4.22982179745203e-05
"LDPE","Fresh water (MP)",3.64736760805134e-06,1.87996578483641e-06
"LDPE","Subsurface soil (MP)",3.31489371371462e-06,3.47624967280074e-06
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",0.00423924322649689,0.00306022301343016
"HDPE","Soil (MP)",0.000150973259850387,7.68929193132827e-05
"HDPE","Fresh water",0.000144322005758648,0.00011121290222557
"HDPE","Fresh water (MP)",7.67664545641756e-06,8.58367294590633e-06
"HDPE","Subsurface soil (MP)",2.9787434492226e-05,2.83119969732152e-05
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",0.000915511687994115,0.000437729251228282
"PP","Soil (MP)",0.000243272672506059,7.48225515618506e-05
"PP","Fresh water",3.40052237579301e-05,2.40444733575444e-05
"PP","Fresh water (MP)",8.94154960200837e-06,7.96620377475643e-06
"PP","Subsurface soil (MP)",3.39724486881683e-05,2.52893866465118e-05
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",0.00071378785103733,0.000434344089994914
"PS","Soil (MP)",8.44561827457495e-05,3.97482639711888e-05
"PS","Fresh water",9.76031135771064e-05,8.11086906710577e-05
"PS","Fresh water (MP)",3.15277621219918e-06,4.21259968030154e-06
"PS","Subsurface soil (MP)",1.23003287622388e-05,1.35915428490573e-05
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",0.00886476272906998,0.00727695868866084
"EPS","Soil (MP)",9.5029290973744e-05,2.27488994230874e-05
"EPS","Fresh water",3.84149324365507e-05,3.25474954040169e-05
"EPS","Fresh water (MP)",1.80038313798961e-06,7.60191540550143e-07
"EPS","Subsurface soil (MP)",1.35587309895362e-07,1.51104516803736e-07
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",0.00695982443304312,0.00586918333688633
"PVC","Soil (MP)",0.000326497436183997,0.000116143308405826
"PVC","Fresh water",9.33130013406487e-06,8.69080438960341e-06
"PVC","Fresh water (MP)",3.13153047065915e-05,1.83105096371718e-05
"PVC","Subsurface soil (MP)",4.46787463951864e-05,3.97887138487103e-05
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",0.00422487318388535,0.002416392199462
"PET","Soil (MP)",0.000585570132620855,0.000262149652878325
"PET","Fresh water",0.000227313109222595,0.000184829968084086
"PET","Fresh water (MP)",2.85945114608076e-05,2.82729371812155e-05
"PET","Subsurface soil (MP)",0.000138657003306508,8.57439902223615e-05
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
