"mat","dest","mean","sd"
"LDPE","Soil",0.00109069933886836,0.000525531068547953
"LDPE","Soil (MP)",0.00119126575803755,0.000653771196437794
"LDPE","Fresh water",2.12429204749645e-05,1.5429057011752e-05
"LDPE","Fresh water (MP)",6.8054512875458e-06,5.09881782120055e-06
"LDPE","Subsurface soil (MP)",1.92478130267433e-05,1.65812778219631e-05
"LDPE","Coastal and ocean water",7.88049353720048e-05,4.6180231066776e-05
"LDPE","Coastal and ocean water (MP)",1.54416195015719e-05,6.50665080245611e-06
"HDPE","Soil",0.0014529598403007,0.00097680975496498
"HDPE","Soil (MP)",9.41800329854508e-05,3.44026326646033e-05
"HDPE","Fresh water",2.4739300635934e-05,1.52019407046701e-05
"HDPE","Fresh water (MP)",1.37900359717801e-05,9.95352901987828e-06
"HDPE","Subsurface soil (MP)",4.01050039664145e-05,3.28165618769177e-05
"HDPE","Coastal and ocean water",5.7894925451181e-05,3.45268456026463e-05
"HDPE","Coastal and ocean water (MP)",1.59270092582615e-05,8.72177807335619e-06
"PP","Soil",0.00115072293570385,0.000543092716089207
"PP","Soil (MP)",0.000245690629846025,9.79028860118798e-05
"PP","Fresh water",1.89768060671589e-05,1.06810045165755e-05
"PP","Fresh water (MP)",3.45210813774604e-05,2.58004214268512e-05
"PP","Subsurface soil (MP)",0.000112855043253142,8.19536440004566e-05
"PP","Coastal and ocean water",8.92512387196391e-06,2.75499132749583e-06
"PP","Coastal and ocean water (MP)",2.43088531526943e-05,2.00667756207583e-05
"PS","Soil",0.000526172204485298,0.000305412445169918
"PS","Soil (MP)",5.82363486324755e-05,2.26690739123582e-05
"PS","Fresh water",1.42785420900799e-05,9.76402078126706e-06
"PS","Fresh water (MP)",6.630608688169e-06,4.98038646107584e-06
"PS","Subsurface soil (MP)",1.78305091005054e-05,1.54022132536394e-05
"PS","Coastal and ocean water",2.91184748790828e-06,2.19118067385764e-06
"PS","Coastal and ocean water (MP)",6.05287754793871e-06,5.52629476483082e-06
"EPS","Soil",0.0027161653846224,0.00239959290022646
"EPS","Soil (MP)",6.03143955372295e-05,1.97068172211537e-05
"EPS","Fresh water",8.51230863707873e-06,5.47215440429501e-06
"EPS","Fresh water (MP)",2.11217237721242e-06,1.2651486489358e-06
"EPS","Subsurface soil (MP)",8.26959246884505e-08,1.05472390869725e-07
"EPS","Coastal and ocean water",2.80788763810128e-05,2.46085451026052e-05
"EPS","Coastal and ocean water (MP)",1.00793115084089e-05,6.65746760149578e-06
"PVC","Soil",0.00217384968542318,0.00181796846470958
"PVC","Soil (MP)",0.000205241491678585,6.83137013474981e-05
"PVC","Fresh water",2.5421299020501e-06,1.77895715517364e-06
"PVC","Fresh water (MP)",2.97919735688138e-05,1.69131989424779e-05
"PVC","Subsurface soil (MP)",5.73688361866083e-05,4.59938482854923e-05
"PVC","Coastal and ocean water",4.66257368552708e-07,3.84177806264546e-07
"PVC","Coastal and ocean water (MP)",2.85908801314922e-05,2.10211632314605e-05
"PET","Soil",0.00234403873089642,0.00156057319146332
"PET","Soil (MP)",0.000214298005972774,0.000138760512554142
"PET","Fresh water",4.30906158544155e-05,2.94514893438062e-05
"PET","Fresh water (MP)",3.18134665040947e-05,2.05670821927857e-05
"PET","Subsurface soil (MP)",8.65109805910385e-05,5.85759925946251e-05
"PET","Coastal and ocean water",8.44453801473696e-06,7.03871035949215e-06
"PET","Coastal and ocean water (MP)",4.91911769084757e-05,4.88698059578517e-05
