"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000511538714789325,0.000125117148452106
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",1.44875950760092e-05,4.56931690776484e-06
"Pre-consumer processes","Subsurface soil (MP)",6.30902670765274e-06,5.31888569206422e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00581397235249632,0.00265663640883043
"ConsumerFilms","Soil (MP)",0.000290224845377342,0.000109931518715992
"ConsumerFilms","Fresh water",6.1784713992267e-05,3.22319484255297e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",1.15397130061512e-05,5.89644268596726e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.0064390139641255,0.00405822190852654
"ConsumerBags","Soil (MP)",0.000291394732998183,0.000137669406401596
"ConsumerBags","Fresh water",6.91952559499253e-05,5.06453433661305e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",1.28678491757687e-05,9.15723258200943e-06
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.0061857678655318,0.00543875986173966
"ConsumerBottles","Soil (MP)",5.89539152008097e-05,2.71326418860441e-05
"ConsumerBottles","Fresh water",7.00453562224973e-05,6.60416574901603e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",1.31676423567735e-05,1.23794513037969e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00210408638099647,0.000849087718854677
"ConsumerOther","Soil (MP)",5.84692067747732e-05,2.00821012064367e-05
"ConsumerOther","Fresh water",2.17047718008259e-05,1.03223774979578e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",4.10089941893462e-06,1.8840750949339e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.0013721992085607,0.000346001180425037
"AgriculturalPackagingFilms","Soil (MP)",0.000290301599839527,0.000137732350516928
"AgriculturalPackagingFilms","Fresh water",7.13042814815382e-07,3.03343267256778e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",2.06325343288155e-07,9.19980362307498e-08
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0128532800434785,0.00770692899825449
