"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",9.38081019356593e-05,2.29967114380945e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",2.50416228846427e-06,7.89661524952373e-07
"Pre-consumer processes","Subsurface soil (MP)",1.97699026672145e-06,1.31287509032173e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",1.90842487054054e-07,3.15070701850626e-07
"ConsumerFilms","Soil",0.00797160512537253,0.00361162745739366
"ConsumerFilms","Soil (MP)",1.90949791271865e-05,7.22582021302319e-06
"ConsumerFilms","Fresh water",0.000189748107324936,0.000105633120457146
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",9.2906017255312e-06,4.33498629242453e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.0087380114255511,0.00540081571966035
"ConsumerBags","Soil (MP)",1.91823470136732e-05,9.20133442833637e-06
"ConsumerBags","Fresh water",0.000211195656856899,0.000156622858702819
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",1.03009176153987e-05,6.4395313720191e-06
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00883321266294603,0.00716560759832916
"ConsumerBottles","Soil (MP)",3.85760237650948e-06,1.74847831680856e-06
"ConsumerBottles","Fresh water",0.000215816442261627,0.00021352923209034
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",1.05220627055709e-05,8.67272847229268e-06
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00319488336353234,0.00116425013542439
"ConsumerOther","Soil (MP)",3.84758278740277e-06,1.33351194748167e-06
"ConsumerOther","Fresh water",6.82633613857519e-05,3.32506332256253e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",3.38890486184135e-06,1.32760581330668e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00155507780169462,0.000435479046672712
"AgriculturalPackagingFilms","Soil (MP)",1.90979388290632e-05,9.13753299723767e-06
"AgriculturalPackagingFilms","Fresh water",4.81865517275759e-06,2.16787990203445e-06
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",3.24302263468756e-07,1.41371635523671e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0132528157913736,0.0077518615928915
"AgriculturalPackagingBottles","Soil (MP)",3.8768052761579e-06,2.51165110960904e-06
"AgriculturalPackagingBottles","Fresh water",4.83255234320098e-06,2.8352006944621e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",3.24452341746804e-07,1.87893036394498e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.00101338751263432,0.000772104834482282
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.00179277643727089,0.000759620094916989
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000441954591880126,0.000273980254357116
"OtherNonConsumerFilms","Fresh water (MP)",0,0
