"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",3.66901219253501e-05,1.45585089762058e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",4.62496352780533e-07,2.58045402550461e-07
"Pre-consumer processes","Subsurface soil (MP)",1.08483080418087e-06,8.49937963516082e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00327198218946109,0.00139165333602994
"ConsumerFilms","Soil (MP)",0.000305346009292552,0.000112961310843981
"ConsumerFilms","Fresh water",6.6986860385388e-05,3.68013108158939e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",0,0
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.0036044340624972,0.00209566153041074
"ConsumerBags","Soil (MP)",0.000306928579430483,0.000146688139745899
"ConsumerBags","Fresh water",7.46215945830768e-05,5.41786086598261e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0,0
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.0033798705256777,0.00290681269337584
"ConsumerBottles","Soil (MP)",6.14924874172552e-05,2.78630529700078e-05
"ConsumerBottles","Fresh water",7.54020191897361e-05,7.53805731738702e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0,0
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00111596435925755,0.000436796027508253
"ConsumerOther","Soil (MP)",6.177416464804e-05,2.10521613559443e-05
"ConsumerOther","Fresh water",2.31173802931943e-05,1.14235167046823e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",0,0
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00123048973331766,0.000338030946188776
"AgriculturalPackagingFilms","Soil (MP)",0.000306952201018964,0.000144690205438647
"AgriculturalPackagingFilms","Fresh water",3.04397544575863e-07,1.32310548920795e-07
