"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",4.36639969513789e-05,1.51352639832935e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",4.30752736838781e-07,2.57525844902863e-07
"Pre-consumer processes","Subsurface soil (MP)",1.54463265963642e-06,1.09819132006956e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00583308792787813,0.00245476477320644
"ConsumerFilms","Soil (MP)",2.11624844758282e-05,7.91144711996184e-06
"ConsumerFilms","Fresh water",0.000262009306570141,0.000148419739330895
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",4.9058271712852e-05,2.20193748671107e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00640653428137976,0.00368161475028349
"ConsumerBags","Soil (MP)",2.11801656593108e-05,1.02464308012199e-05
"ConsumerBags","Fresh water",0.000285777071092824,0.000218307659468225
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",5.40492824557819e-05,3.26939270372607e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00658576843954881,0.00514039877142846
"ConsumerBottles","Soil (MP)",4.24396404118864e-06,1.94686154708326e-06
"ConsumerBottles","Fresh water",0.000297041021578463,0.000310482458033083
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",5.54668378178155e-05,4.52700683596741e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.0024356640140643,0.000814455727141685
"ConsumerOther","Soil (MP)",4.25899610311686e-06,1.47526871320739e-06
"ConsumerOther","Fresh water",9.35541267344731e-05,4.73111808662784e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",1.79771348983027e-05,6.90918538586974e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00146933521065592,0.000403975038135613
"AgriculturalPackagingFilms","Soil (MP)",2.11154109332376e-05,1.00229823503151e-05
"AgriculturalPackagingFilms","Fresh water",5.33247024992021e-06,2.8174149451889e-06
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.72060418797635e-06,7.38998252451653e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0131536138401954,0.00772663934912515
"AgriculturalPackagingBottles","Soil (MP)",4.28534203858519e-06,2.74084754243974e-06
"AgriculturalPackagingBottles","Fresh water",5.31844726488185e-06,3.74835666332652e-06
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",1.72087146586484e-06,9.95759283791649e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000466930018485399,0.000357322730266202
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.00112510358792345,0.000435151862742052
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",0.000403565874911261,0.000260913568058381
"OtherNonConsumerFilms","Fresh water (MP)",0,0
"OtherNonConsumerFilms","Subsurface soil (MP)",0,0
