"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000183642896802976,4.94991955526924e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",4.8771539095522e-06,1.73230627415981e-06
"Pre-consumer processes","Subsurface soil (MP)",2.90475354529975e-06,1.84761177076465e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00534461493411679,0.00241168508372418
"ConsumerFilms","Soil (MP)",0.000139590771590656,5.20856102882093e-05
"ConsumerFilms","Fresh water",0.00011103369773772,5.78750171427164e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",0,0
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00582899515509451,0.00350824435000832
"ConsumerBags","Soil (MP)",0.000139734475919563,6.6757669616255e-05
"ConsumerBags","Fresh water",0.00012418500500016,8.94940706273771e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",0,0
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00584165490087774,0.00484690858528816
"ConsumerBottles","Soil (MP)",2.82398710518647e-05,1.26929279445445e-05
"ConsumerBottles","Fresh water",0.00012816703727185,0.000125363367363893
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",0,0
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00200197630218844,0.000752990366517742
"ConsumerOther","Soil (MP)",2.82699799703887e-05,9.74052539450029e-06
"ConsumerOther","Fresh water",3.91458958029447e-05,1.85916864462774e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",0,0
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00125879348673897,0.000329150228167681
"AgriculturalPackagingFilms","Soil (MP)",0.000138982492223544,6.53948407259341e-05
"AgriculturalPackagingFilms","Fresh water",1.51571342477715e-06,6.55375746117192e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",0,0
