"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.00011888402906868,2.48004160034381e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",3.10865672382795e-06,7.98866331126326e-07
"Pre-consumer processes","Subsurface soil (MP)",1.21648291685391e-06,8.46561174689637e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",3.50873564460412e-07,2.63723846623264e-07
"ConsumerFilms","Soil",0.00339034619872506,0.001419774091316
"ConsumerFilms","Soil (MP)",0.000285123645235809,0.00010691169514568
"ConsumerFilms","Fresh water",0.000108994618534584,6.012852855893e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",2.83155867100485e-06,1.3129146774052e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00370661853420937,0.00214250389013407
"ConsumerBags","Soil (MP)",0.0002849688666655,0.000135820039727449
"ConsumerBags","Fresh water",0.000119995030865428,8.85236089878641e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",3.11312476448592e-06,1.99892824422599e-06
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00347005378949657,0.00286183246908481
"ConsumerBottles","Soil (MP)",5.76412050629588e-05,2.65228158049303e-05
"ConsumerBottles","Fresh water",0.000123656355918836,0.000123711405464988
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",3.17642515358056e-06,2.67476345323744e-06
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00120501607352981,0.000453551426585424
"ConsumerOther","Soil (MP)",5.76557433624438e-05,1.98776171316573e-05
"ConsumerOther","Fresh water",3.77507420709932e-05,1.86475173059054e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",9.81982499766455e-07,4.07030908412763e-07
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00127316105486172,0.000336464262137152
"AgriculturalPackagingFilms","Soil (MP)",0.000284762066308553,0.000133128113571675
"AgriculturalPackagingFilms","Fresh water",8.18167460401945e-07,3.74396291443286e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",2.89745072039542e-08,1.22782900763081e-08
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0127220513150433,0.00772262197267948
"AgriculturalPackagingBottles","Soil (MP)",5.75049495787676e-05,3.68767466976546e-05
"AgriculturalPackagingBottles","Fresh water",8.19354715564956e-07,4.96226679125593e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",2.91489158430707e-08,1.6592023276063e-08
