"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",3.64733606234125e-05,1.45106466961941e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",6.94314781972919e-07,4.98536331424985e-07
"Pre-consumer processes","Subsurface soil (MP)",1.19411060740088e-06,8.62500630510642e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00357727952175283,0.00146590334398642
"ConsumerFilms","Soil (MP)",0.000386552320252678,0.000144260972852043
"ConsumerFilms","Fresh water",7.91397158113189e-05,4.55751310183797e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",2.35408754529789e-05,1.1022207717017e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00392046028078679,0.00215856411340184
"ConsumerBags","Soil (MP)",0.000388212997025819,0.000185349689833577
"ConsumerBags","Fresh water",8.82209261887232e-05,7.06209183209915e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",2.59321169070428e-05,1.64093641232864e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00358709939656199,0.00293874514226518
"ConsumerBottles","Soil (MP)",7.80340625975224e-05,3.57624022053251e-05
"ConsumerBottles","Fresh water",8.93629449670249e-05,9.437706732004e-05
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",2.63994754400653e-05,2.29417267596596e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00124069720063718,0.000453859443559659
"ConsumerOther","Soil (MP)",7.81940530313089e-05,2.71483829885483e-05
"ConsumerOther","Fresh water",2.75223562498915e-05,1.44264279720882e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",8.22447147797872e-06,3.42267885614102e-06
