"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000273730312458355,8.35515561833481e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",3.14733414739041e-06,6.34765596638567e-07
"Pre-consumer processes","Subsurface soil (MP)",1.50054567073594e-06,9.27908096850234e-07
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",3.79982336067267e-06,2.30557798914489e-06
"ConsumerFilms","Soil",0.0042529342247958,0.00164410599078988
"ConsumerFilms","Soil (MP)",2.87919120507179e-05,1.0893860999837e-05
"ConsumerFilms","Fresh water",6.12177988425242e-06,3.03164553339453e-06
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",3.31664499823573e-05,1.90159479621199e-05
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00462518138657871,0.00243856741565908
"ConsumerBags","Soil (MP)",2.86690997275448e-05,1.37058105531604e-05
"ConsumerBags","Fresh water",6.73012395887063e-06,4.56418880038395e-06
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",3.66802057417356e-05,3.01859800737148e-05
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00466017356177216,0.00329017098349156
"ConsumerBottles","Soil (MP)",5.77279423377612e-06,2.60934387074569e-06
"ConsumerBottles","Fresh water",6.8861203278114e-06,6.10877087100722e-06
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",3.759751441669e-05,3.91213677585145e-05
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00196321310652366,0.000589277476898603
"ConsumerOther","Soil (MP)",5.79802263126023e-06,1.98305076914636e-06
"ConsumerOther","Fresh water",2.35507049376812e-06,9.78493086596514e-07
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",1.23376095448466e-05,6.06556683568015e-06
"ConsumerOther","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingFilms","Soil",0.00162533243488763,0.000457385531431743
"AgriculturalPackagingFilms","Soil (MP)",2.87419597887918e-05,1.36602739078875e-05
"AgriculturalPackagingFilms","Fresh water",3.88360553552183e-07,1.67141539596618e-07
"AgriculturalPackagingFilms","Fresh water (MP)",0,0
"AgriculturalPackagingFilms","Subsurface soil (MP)",0,0
"AgriculturalPackagingFilms","Coastal and ocean water",1.48164612473442e-06,7.30372061378223e-07
"AgriculturalPackagingFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPackagingBottles","Soil",0.0133044572846278,0.00769211328008709
"AgriculturalPackagingBottles","Soil (MP)",5.8037981154884e-06,3.71411258525484e-06
"AgriculturalPackagingBottles","Fresh water",3.81065376518702e-07,2.2343619907398e-07
"AgriculturalPackagingBottles","Fresh water (MP)",0,0
"AgriculturalPackagingBottles","Subsurface soil (MP)",0,0
"AgriculturalPackagingBottles","Coastal and ocean water",1.4600311572643e-06,9.72743529768513e-07
"AgriculturalPackagingBottles","Coastal and ocean water (MP)",0,0
"BuildingPackagingFilms","Soil",0.000133742157058898,0.000100679508022776
"BuildingPackagingFilms","Soil (MP)",0,0
"BuildingPackagingFilms","Fresh water",0,0
"BuildingPackagingFilms","Fresh water (MP)",0,0
"BuildingPackagingFilms","Subsurface soil (MP)",0,0
"BuildingPackagingFilms","Coastal and ocean water",0,0
"BuildingPackagingFilms","Coastal and ocean water (MP)",0,0
"OtherNonConsumerFilms","Soil",0.000937762132654384,0.00038740899753981
"OtherNonConsumerFilms","Soil (MP)",0,0
"OtherNonConsumerFilms","Fresh water",4.33189262071532e-06,2.47567502795817e-06
