"prod","dest","mean","sd"
"Pre-consumer processes","Soil",0,0
"Pre-consumer processes","Soil (MP)",0.000275140140886051,8.10976896592145e-05
"Pre-consumer processes","Fresh water",0,0
"Pre-consumer processes","Fresh water (MP)",6.76902104740528e-06,2.38872978089018e-06
"Pre-consumer processes","Subsurface soil (MP)",1.78007408229248e-06,1.27692695110893e-06
"Pre-consumer processes","Coastal and ocean water",0,0
"Pre-consumer processes","Coastal and ocean water (MP)",0,0
"ConsumerFilms","Soil",0.00280133983741818,0.00119522416485868
"ConsumerFilms","Soil (MP)",0.000146459967309074,5.41181863732036e-05
"ConsumerFilms","Fresh water",0.000115915436276826,6.66023676173551e-05
"ConsumerFilms","Fresh water (MP)",0,0
"ConsumerFilms","Subsurface soil (MP)",0,0
"ConsumerFilms","Coastal and ocean water",9.91172368031301e-06,4.86487203084878e-06
"ConsumerFilms","Coastal and ocean water (MP)",0,0
"ConsumerBags","Soil",0.00307800473925869,0.00185144247220062
"ConsumerBags","Soil (MP)",0.000146091326548401,7.05870373363106e-05
"ConsumerBags","Fresh water",0.000128044893930666,9.89165877787746e-05
"ConsumerBags","Fresh water (MP)",0,0
"ConsumerBags","Subsurface soil (MP)",0,0
"ConsumerBags","Coastal and ocean water",1.09561905309413e-05,7.14400199841508e-06
"ConsumerBags","Coastal and ocean water (MP)",0,0
"ConsumerBottles","Soil",0.00300565255780963,0.00245066864794057
"ConsumerBottles","Soil (MP)",2.98594372337362e-05,1.38696136223739e-05
"ConsumerBottles","Fresh water",0.000132392233563881,0.000133608498025964
"ConsumerBottles","Fresh water (MP)",0,0
"ConsumerBottles","Subsurface soil (MP)",0,0
"ConsumerBottles","Coastal and ocean water",1.12675275888465e-05,9.84113333889111e-06
"ConsumerBottles","Coastal and ocean water (MP)",0,0
"ConsumerOther","Soil",0.00099210457285834,0.00037713315145564
"ConsumerOther","Soil (MP)",2.97921992287354e-05,1.01978521880078e-05
"ConsumerOther","Fresh water",4.02189494634158e-05,2.10721213799583e-05
"ConsumerOther","Fresh water (MP)",0,0
"ConsumerOther","Subsurface soil (MP)",0,0
"ConsumerOther","Coastal and ocean water",3.45524684911984e-06,1.52749922542732e-06
